rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,semanticScholarUrl,openAccessPdf,githubUrl,workType,language,relevanceReason,abstract
1,1972,Introduction to Statistical Pattern Recognition,K. Fukunaga,Unknown venue,1972,6870,456,162.23,"EEG, MEG, and Electrophysiology",ECoG,"Positions Introduction to Statistical Pattern Recognition within EEG, MEG, and Electrophysiology.","high citation signal (6,870)","Low signal-to-noise ratio, artifacts, and source-localization uncertainty complicate interpretation.; Many studies rely on controlled tasks and may not generalize to everyday behavior or clinical monitoring.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",,f1277592f221ea26fa1d2321a38b64c58b33d75b,https://www.semanticscholar.org/paper/f1277592f221ea26fa1d2321a38b64c58b33d75b,https://www.semanticscholar.org/paper/f1277592f221ea26fa1d2321a38b64c58b33d75b,,,paper,unknown,ecog,
2,1972,Human memory and the medial temporal region of the brain.,Philip M. Corsi,Unknown venue,1972,1567,128,141.64,Cognitive and Systems Neuroscience,human,Positions Human memory and the medial temporal region of the brain. within Cognitive and Systems Neuroscience.,"high citation signal (1,567); human evidence signal","Task designs can simplify cognition enough that ecological validity becomes uncertain.; Cross-species alignment between circuits, behavior, and subjective experience remains imperfect.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",,788530227e9013511b46fdb5d462bb1c8052d430,https://www.semanticscholar.org/paper/788530227e9013511b46fdb5d462bb1c8052d430,https://www.semanticscholar.org/paper/788530227e9013511b46fdb5d462bb1c8052d430,,,paper,unknown,brain; brain in title,
3,1972,Visual properties of neurons in inferotemporal cortex of the Macaque.,"C. G. Gross, C. Rocha-Miranda, D. B. Bender",Journal of Neurophysiology,1972,1553,46,146.47,"Cellular, Molecular, and Synaptic Neuroscience",non-human,"Positions Visual properties of neurons in inferotemporal cortex of the Macaque. within Cellular, Molecular, and Synaptic Neuroscience.","high citation signal (1,553); open-access PDF metadata","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1152/JN.1972.35.1.96,3c523f408efb0b32eccdbc12e9e57fb9b3b19c46,https://doi.org/10.1152/jn.1972.35.1.96,https://www.semanticscholar.org/paper/3c523f408efb0b32eccdbc12e9e57fb9b3b19c46,,,JournalArticle,unknown,cortex; neuron; neuroscience term,
4,1972,Localization of the glial fibrillary acidic protein in astrocytes by immunofluorescence.,"A. Bignami, L. Eng, D. Dahl, C. Uyeda",Brain Research,1972-08-25,1468,45,145.26,"Cellular, Molecular, and Synaptic Neuroscience",,"Positions Localization of the glial fibrillary acidic protein in astrocytes by immunofluorescence. within Cellular, Molecular, and Synaptic Neuroscience.","high citation signal (1,468); recognized venue","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1016/0006-8993(72)90398-8,0942c9a5a8981651c66a30376b1a73de6e55e822,https://doi.org/10.1016/0006-8993(72)90398-8,https://www.semanticscholar.org/paper/0942c9a5a8981651c66a30376b1a73de6e55e822,,,JournalArticle,unknown,glia,
5,1972,Brain of the firm,"S. Beer, Ìîçã Ôèðìû, Ñòýôôîðä Áèð, Êðàòêàÿ àííîòàöèÿ",Unknown venue,1972,1190,6,135.49,General Brain Science and Reviews,,Positions Brain of the firm within General Brain Science and Reviews.,"high citation signal (1,190)","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.2307/1533075,e3bb8ed48f26079675f08dcab91aee2ab61798eb,https://doi.org/10.2307/1533075,https://www.semanticscholar.org/paper/e3bb8ed48f26079675f08dcab91aee2ab61798eb,,,paper,unknown,brain; brain in title,
6,1972,Persistent vegetative state after brain damage. A syndrome in search of a name.,"B. Jennett, F. Plum",The Lancet,1972-04-01,1091,22,145.92,General Brain Science and Reviews,,Positions Persistent vegetative state after brain damage. A syndrome in search of a name. within General Brain Science and Reviews.,"high citation signal (1,091); recognized venue","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1016/S0140-6736(72)90242-5,e17af50d2452125d5f8a2f323913574246045705,https://doi.org/10.1016/s0140-6736(72)90242-5,https://www.semanticscholar.org/paper/e17af50d2452125d5f8a2f323913574246045705,,,JournalArticle,unknown,brain; brain in title,
7,1972,"Dopamine-sensitive adenylate cyclase in caudate nucleus of rat brain, and its similarity to the ""dopamine receptor"".","J. Kebabian, G. Petzold, P. Greengard",Proceedings of the National Academy of Sciences of the United States of America,1972-08-01,969,9,147.99,General Brain Science and Reviews,non-human,"Positions Dopamine-sensitive adenylate cyclase in caudate nucleus of rat brain, and its similarity to the ""dopamine receptor"". within General Brain Science and Reviews.",high citation signal (969); recognized venue; open-access PDF metadata,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1073/PNAS.69.8.2145,6947ff09fbe00966b4ab33959bcf38cf3253d7f3,https://doi.org/10.1073/pnas.69.8.2145,https://www.semanticscholar.org/paper/6947ff09fbe00966b4ab33959bcf38cf3253d7f3,,,JournalArticle,unknown,brain; brain in title,
8,1972,Brain Serotonin Content: Physiological Regulation by Plasma Neutral Amino Acids,"J. Fernstrom, R. Wurtman",Science,1972-10-27,859,8,141.62,General Brain Science and Reviews,,Positions Brain Serotonin Content: Physiological Regulation by Plasma Neutral Amino Acids within General Brain Science and Reviews.,high citation signal (859); recognized venue,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1126/science.178.4059.414,1a086d3bdaadc2d12dc3904288ede96066e5e1e6,https://doi.org/10.1126/science.178.4059.414,https://www.semanticscholar.org/paper/1a086d3bdaadc2d12dc3904288ede96066e5e1e6,,,JournalArticle,unknown,brain; brain in title,
9,1972,Magnetoencephalography: Detection of the Brain's Electrical Activity with a Superconducting Magnetometer,D. Cohen,Science,1972-02-11,784,24,141.18,"EEG, MEG, and Electrophysiology",MEG,"Positions Magnetoencephalography: Detection of the Brain's Electrical Activity with a Superconducting Magnetometer within EEG, MEG, and Electrophysiology.",high citation signal (784); recognized venue,"Low signal-to-noise ratio, artifacts, and source-localization uncertainty complicate interpretation.; Many studies rely on controlled tasks and may not generalize to everyday behavior or clinical monitoring.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1126/science.175.4022.664,8a530c2588a3468d9707a5640e941ceb1af793da,https://doi.org/10.1126/science.175.4022.664,https://www.semanticscholar.org/paper/8a530c2588a3468d9707a5640e941ceb1af793da,,,JournalArticle,unknown,brain; brain in title,
10,1972,"Growth and cultivation of dissociated neurons and glial cells from embryonic chick, rat and human brain in flask cultures.","J. Booher, M. Sensenbrenner",Neurobiology,1972,779,10,140.27,"Cellular, Molecular, and Synaptic Neuroscience",human;non-human,"Positions Growth and cultivation of dissociated neurons and glial cells from embryonic chick, rat and human brain in flask cultures. within Cellular, Molecular, and Synaptic Neuroscience.",high citation signal (779); human evidence signal,"Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Non-human findings need careful translation to human brain organization and clinical outcomes.",,c3429ddb88a37abb6fe3a10d9a935d5c6268aab5,https://www.semanticscholar.org/paper/c3429ddb88a37abb6fe3a10d9a935d5c6268aab5,https://www.semanticscholar.org/paper/c3429ddb88a37abb6fe3a10d9a935d5c6268aab5,,,JournalArticle,unknown,brain; neuron; glia; brain in title; neuroscience term,
