rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,openAccessPdf,workType,language,relevanceReason,abstract
1,1926,On thalamic and tectal nuclei and fiber paths in the brain of the American alligator,"G. C. Huber, E. Crosby",Unknown venue,1926-02-01,171,5,103.65,General Brain Science and Reviews,,Positions On thalamic and tectal nuclei and fiber paths in the brain of the American alligator within General Brain Science and Reviews.,high citation signal (171); open-access PDF metadata,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1002/CNE.900400107,b658587e25978ba6c10f56dc0c2d56a7df0bef94,https://doi.org/10.1002/CNE.900400107,http://deepblue.lib.umich.edu/bitstream/2027.42/49895/1/900400107_ftp.pdf,paper,unknown,brain; brain in title,
2,1926,"ON THE FUNCTION OF THE RIGHT HEMISPHERE OF THE BRAIN IN RELATION TO THE LEFT IN SPEECH, MUSIC AND CALCULATION",S. Henschen,Unknown venue,1926-03-01,114,1,93.41,General Brain Science and Reviews,,"Positions ON THE FUNCTION OF THE RIGHT HEMISPHERE OF THE BRAIN IN RELATION TO THE LEFT IN SPEECH, MUSIC AND CALCULATION within General Brain Science and Reviews.",high citation signal (114),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1093/BRAIN/49.1.110,7681485e365add603a869d30a3bd9a9b40914b6a,https://doi.org/10.1093/BRAIN/49.1.110,,paper,unknown,brain; brain in title,
3,1926,A FILTERABLE VIRUS PRESENT IN THE SUBMAXILLARY GLANDS OF GUINEA PIGS,"R. Cole, A. Kuttner",Journal of Experimental Medicine,1926-11-30,100,0,93.67,"EEG, MEG, and Electrophysiology",EEG;human;non-human,"In the lesions of herpes simplex and similar conditions due to filterable viruses, cells are present which show characteristic alterations, particularly in the nucleus.",high citation signal (100); open-access PDF metadata; human evidence signal,"Low signal-to-noise ratio, artifacts, and source-localization uncertainty complicate interpretation.; Many studies rely on controlled tasks and may not generalize to everyday behavior or clinical monitoring.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1084/jem.44.6.855,86af9814e1b735175d2bb4a07b57f100d9a3bc3c,https://doi.org/10.1084/jem.44.6.855,https://rupress.org/jem/article-pdf/44/6/855/1177686/855.pdf,JournalArticle,unknown,brain; cerebral,"In the lesions of herpes simplex and similar conditions due to filterable viruses, cells are present which show characteristic alterations, particularly in the nucleus. The nucleus of these cells contains a mass which stains with acid dyes. Surrounding this mass is a clear space or halo, within which there are large granules staining with basic stains. These cells are little if at all enlarged. In a few human cases, especially in infants, enlarged cells have been found which contain nuclei showing changes similar to those seen in the abnormal cells of herpes simplex. In the ducts of the submaxillary glands of guinea pigs, Jackson observed structures which she considered to be protozoan parasites. Our own studies indicate, however, that these structures are greatly swollen epithelial cells with nuclei having the same characters as the nuclei of the atypical cells in the lesions of herpes simplex. These cells are usually surrounded by a mononuclear cellular reaction. They were found in 84 per cent of the full grown guinea pigs examined but they were present in only three of forty-three young guinea pigs less than 1 month old. The resemblance of these cells, except as regards size, to the atypical cells present in lesions due to filterable viruses suggested that they also may be the result of an infection with a similar agent. That they are usually not present in guinea pigs less than 1 month old indicates that natural infection usually occurs after this period. Experiments were therefore undertaken to determine whether or not an infective agent is concerned in this condition and if so to learn something of its nature. When an emulsion of the submaxillary glands of full grown guinea pigs is injected into the brains of young guinea pigs the animals have fever and exhibit symptoms of cerebral irritation. They usually die in 5 to 7 days and in sections of the brain a diffuse subacute meningitis is found. In the exudate there are large numbers of cells having all the characteristics of the abnormal cells of herpes simplex. Similar cells are present in the lesions resulting from the injection of the same emulsion into the testicle, lung, tongue, and submaxillary glands of young guinea pigs. In none of these lesions, however, are the cells greatly enlarged as they are in the lesions in old guinea pigs. These results support the view that the lesion in the submaxillary gland of old guinea pigs is due to an infective agent. Attempts were therefore made to transmit this agent through a series of young guinea pigs. When the injections were all made into the same organ all the experiments but one gave negative results, but when the site of injection was changed at each transfer it was possible in a number of instances to reproduce the lesions through two animals in series and in one experiment through three animals in series. By modifying the technique, efforts were made to transmit the infection indefinitely but these attempts were unsuccessful. No explanation can be offered for this failure. Studies made to determine some of the properties of the infective agent have shown that it is destroyed by heating at 54° for 1 hour, and that it is not injured by preservation in 50 per cent glycerol for as long as 11 days. After the material had remained in 50 per cent glycerol for 28 days, however, it was found to be no longer infective. The infective agent was not held back by a Berkefeld N filter which was impermeable to bacteria. It seems probable therefore that the infective agent belongs in the group of filterable viruses, though further work will be necessary to learn more of its exact nature. These observations present additional evidence that the presence of cells with nuclear inclusions in any lesion indicates that the injury is probably due to an infective agent belonging in the group of filterable viruses."
4,1926,TREATMENT OF CHRONIC ABSCESS OF THE BRAIN BY TAPPING: PRELIMINARY NOTE,W. Dandy,Unknown venue,1926-10-30,71,0,84.98,General Brain Science and Reviews,,Positions TREATMENT OF CHRONIC ABSCESS OF THE BRAIN BY TAPPING: PRELIMINARY NOTE within General Brain Science and Reviews.,high citation signal (71),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1001/JAMA.1926.02680180049012,f7e30f170724aecbc223b70c652699b35a37e11d,https://doi.org/10.1001/JAMA.1926.02680180049012,,paper,unknown,brain; brain in title,
5,1926,Stria terminalis and amygdala in the brain of the opossum (didelphis virginiana),H. van Der Sprenkel,Unknown venue,1926-12-01,68,2,86.21,General Brain Science and Reviews,,Positions Stria terminalis and amygdala in the brain of the opossum (didelphis virginiana) within General Brain Science and Reviews.,high citation signal (68),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1002/cne.900420203,f62facf1852bb4c73e327d81bddcf21f4bf71a2f,https://doi.org/10.1002/cne.900420203,,paper,unknown,brain; amygdala; brain in title,
6,1926,THE SPONTANEOUS ESCAPE OF CEREBROSPINAL FLUID THROUGH THE NOSE: ITS OCCURRENCE WITH BRAIN TUMOR,C. Locke,Unknown venue,1926-03-01,49,0,78.42,Clinical Neurology and Neurodegeneration,,Positions THE SPONTANEOUS ESCAPE OF CEREBROSPINAL FLUID THROUGH THE NOSE: ITS OCCURRENCE WITH BRAIN TUMOR within Clinical Neurology and Neurodegeneration.,high citation signal (49),"Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1001/ARCHNEURPSYC.1926.02200210030003,bc12768e90cb106f41f775c2f43e98cf10864a81,https://doi.org/10.1001/ARCHNEURPSYC.1926.02200210030003,,paper,unknown,brain; brain in title,
7,1926,STUDIES ON THE CENTRAL VISUAL SYSTEM: I. THE ANATOMIC PROJECTION OF THE RETINAL QUADRANTS ON THE STRIATE CORTEX OF THE RABBIT,"T. J. Putnam, Irma Kellers Putnam",Unknown venue,1926-07-01,36,0,73.0,General Brain Science and Reviews,,Positions STUDIES ON THE CENTRAL VISUAL SYSTEM: I. THE ANATOMIC PROJECTION OF THE RETINAL QUADRANTS ON THE STRIATE CORTEX OF THE RABBIT within General Brain Science and Reviews.,high citation signal (36),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1001/ARCHNEURPSYC.1926.02200250004001,959a57734c3be752180d6baf8ee334ef868b392a,https://doi.org/10.1001/ARCHNEURPSYC.1926.02200250004001,,Review,unknown,cortex; neuroscience term,
8,1926,SARCOMATOSIS OF THE BRAIN,B. M. Fried,Unknown venue,1926-02-01,29,0,69.22,General Brain Science and Reviews,,Positions SARCOMATOSIS OF THE BRAIN within General Brain Science and Reviews.,high citation signal (29),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1001/ARCHNEURPSYC.1926.02200200056004,41f50b98a045528d4c08e5d046e19c861be6026a,https://doi.org/10.1001/ARCHNEURPSYC.1926.02200200056004,,paper,unknown,brain; brain in title,
9,1926,XVII.-The brain of Archæopteryx,T. Edinger,Unknown venue,1926-07-01,22,1,64.44,General Brain Science and Reviews,,Positions XVII.-The brain of Archæopteryx within General Brain Science and Reviews.,high citation signal (22),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1080/00222932608633488,5a8de45211b4226ad2fde21f771b5d9ab340829d,https://doi.org/10.1080/00222932608633488,,paper,unknown,brain; brain in title,
10,1926,"A Study of the Paths of Infection to the Brain, Meninges and Venous Blood-Sinuses from Neighbouring Peripheral Foci of Inflammation: With Microscopic Examination of the Olfactory Nasal Mucouss Membrane, Ethmoidal and Sphenoidal Air-Sinuses and the Meninges","A. Turner, F. E. Reynolds",Journal of Laryngology and Otology,1926-06-01,19,0,64.92,General Brain Science and Reviews,,"Positions A Study of the Paths of Infection to the Brain, Meninges and Venous Blood-Sinuses from Neighbouring Peripheral Foci of Inflammation: With Microscopic Examination of the Olfactory Nasal Mucouss Membrane, Ethmoidal and Sphenoidal Air-Sinuses and the Meninges within General Brain Science and Reviews.",high citation signal (19); open-access PDF metadata,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1017/S0022215100029583,ed5de4cf7b4d522de0dabd2857b550dd1012c262,https://doi.org/10.1017/S0022215100029583,https://journals.sagepub.com/doi/pdf/10.1177/003591572601900740,JournalArticle,unknown,brain; brain in title,
