rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,semanticScholarUrl,openAccessPdf,githubUrl,workType,language,relevanceReason,abstract
1,1932,CEREBRAL VASODILATOR NERVES AND THEIR PATHWAY FROM THE MEDULLA OBLONGATA: WITH OBSERVATIONS ON THE PIAL AND INTRACEREBRAL VASCULAR PLEXUS,"J. Chorobski, W. Penfield",Unknown venue,1932-12-01,350,5,107.49,General Brain Science and Reviews,,Positions CEREBRAL VASODILATOR NERVES AND THEIR PATHWAY FROM THE MEDULLA OBLONGATA: WITH OBSERVATIONS ON THE PIAL AND INTRACEREBRAL VASCULAR PLEXUS within General Brain Science and Reviews.,high citation signal (350),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1001/ARCHNEURPSYC.1932.02240060016002,2111c24bda5b3448787310f68fbed41d7eea91af,https://doi.org/10.1001/archneurpsyc.1932.02240060016002,https://www.semanticscholar.org/paper/2111c24bda5b3448787310f68fbed41d7eea91af,,,paper,unknown,cerebral,
2,1932,"THE BLOOD FLOW IN THE BRAIN AND THE LEG OF MAN, AND THE CHANGES INDUCED BY ALTERATION OF BLOOD GASES.","W. Lennox, E. Gibbs",Journal of Clinical Investigation,1932-11-01,178,3,106.77,Clinical Neurology and Neurodegeneration,human;non-human,"Positions THE BLOOD FLOW IN THE BRAIN AND THE LEG OF MAN, AND THE CHANGES INDUCED BY ALTERATION OF BLOOD GASES. within Clinical Neurology and Neurodegeneration.",high citation signal (178); open-access PDF metadata; human evidence signal,"Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1172/JCI100470,fe478fd357553d32e9369d2787b83d4db4973afd,https://doi.org/10.1172/jci100470,https://www.semanticscholar.org/paper/fe478fd357553d32e9369d2787b83d4db4973afd,http://www.jci.org/articles/view/100470/files/pdf,,JournalArticle,unknown,brain; brain in title,
3,1932,Monoamine Innervation of Cerebral Cortex and a Theory of the Role of Monoamines in Cerebral Cortex and Basal Ganglia,"J. Fallon, S. Loughlin",Unknown venue,1932,174,3,106.97,"Cellular, Molecular, and Synaptic Neuroscience",,"Positions Monoamine Innervation of Cerebral Cortex and a Theory of the Role of Monoamines in Cerebral Cortex and Basal Ganglia within Cellular, Molecular, and Synaptic Neuroscience.",high citation signal (174),"Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1007/978-1-4615-6616-8_2,07beefb4df1e73df22cb9e111d424d8bfe6f8066,https://doi.org/10.1007/978-1-4615-6616-8_2,https://www.semanticscholar.org/paper/07beefb4df1e73df22cb9e111d424d8bfe6f8066,,,paper,unknown,cerebral; cortex; basal ganglia; glia; neuroscience term,
4,1932,Narcosis and Oxidations of the Brain,"J. H. Quastel, A. H. Wheatley",Unknown venue,1932-11-01,100,0,94.07,General Brain Science and Reviews,,Positions Narcosis and Oxidations of the Brain within General Brain Science and Reviews.,high citation signal (100); open-access PDF metadata,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1098/RSPB.1932.0078,4a8ade7ac869813e001b8fa249c9e95cd8ed914f,https://doi.org/10.1098/rspb.1932.0078,https://www.semanticscholar.org/paper/4a8ade7ac869813e001b8fa249c9e95cd8ed914f,,,paper,unknown,brain; brain in title,
5,1932,Oxidations by the brain.,"J. H. Quastel, A. H. Wheatley",Biochemical Journal,1932,90,0,92.2,General Brain Science and Reviews,,Positions Oxidations by the brain. within General Brain Science and Reviews.,high citation signal (90); open-access PDF metadata,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1042/BJ0260725,d200cbbe24018694f4dc0b9a582b0b98c454241c,https://doi.org/10.1042/bj0260725,https://www.semanticscholar.org/paper/d200cbbe24018694f4dc0b9a582b0b98c454241c,https://europepmc.org/articles/pmc1260965?pdf=render,,JournalArticle,unknown,brain; brain in title,
6,1932,An Experimental Study of Thalamic Connections in the Rat,W. E. Clark,Unknown venue,1932,88,1,98.2,"EEG, MEG, and Electrophysiology",EEG;non-human,"With the exception of the work of von Monakow (1895), Probst (1900), Wallenberg (1900), Sachs (1909) and Glorieux (1929), experimental observations on the connections of thalamic nuclei are isolated and scattered in the literature of neurology.",high citation signal (88); open-access PDF metadata,"Low signal-to-noise ratio, artifacts, and source-localization uncertainty complicate interpretation.; Many studies rely on controlled tasks and may not generalize to everyday behavior or clinical monitoring.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1098/RSTB.1932.0009,db4e2e18f78a51c1e5a5d62cbb5b7a7bada3bf39,https://doi.org/10.1098/rstb.1932.0009,https://www.semanticscholar.org/paper/db4e2e18f78a51c1e5a5d62cbb5b7a7bada3bf39,,,Review,unknown,brain; cerebral; cortex; neuroscience term,"With the exception of the work of von Monakow (1895), Probst (1900), Wallenberg (1900), Sachs (1909) and Glorieux (1929), experimental observations on the connections of thalamic nuclei are isolated and scattered in the literature of neurology. Recent studies of the structure of the mammalian thalamus, based on the examination of normal material, have led to a much more complete definition of the nuclear components of the thalamus. Hence the time is ripe for a renewed investigation by experimental methods of this important part of the brain. The difficulties of applying to the thalamus the method of study by Marchi degeneration are, obviously, great, because it is not easy to produce isolated lesions of the thalamus without serious injury to adjacent parts of the brain. It is desirable that the experimental material should be examined as extensively as possible in serial sections so that the precise limit of the lesion may be ascertained. From this point of view it is of advantage to use the brain of a small mammal. In selecting the albino rat for experiments, it has been borne in mind that the diencephalon of this laboratory animal has been studied anatomically in considerable detail by Gurdjian (1927), while the cerebral cortex has been submitted to a very complete survey histologically by Fortuyn (1914). The publications of these authors provide a fairly comprehensive anatomical basis for the interpretation of Marchi sections."
7,1932,AUTONOMIC DISCHARGES ELICITED BY PHYSIOLOGICAL STIMULI IN MID-BRAIN PREPARATIONS,A. D. Keller,Unknown venue,1932-04-30,86,1,89.59,General Brain Science and Reviews,non-human,Positions AUTONOMIC DISCHARGES ELICITED BY PHYSIOLOGICAL STIMULI IN MID-BRAIN PREPARATIONS within General Brain Science and Reviews.,high citation signal (86),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1152/AJPLEGACY.1932.100.3.576,8112939f442215c94f5e80ad472e277467dd748c,https://doi.org/10.1152/ajplegacy.1932.100.3.576,https://www.semanticscholar.org/paper/8112939f442215c94f5e80ad472e277467dd748c,,,paper,unknown,brain; brain in title,
8,1932,"The Effects of the Injection of Normal Brain Emulsion into Rabbits, with Special Reference to the Aetiology of the Paralytic Accidents of Antirabic Treatment",E. Hurst,Journal of Hygiene,1932-01-01,71,0,87.98,General Brain Science and Reviews,,"Positions The Effects of the Injection of Normal Brain Emulsion into Rabbits, with Special Reference to the Aetiology of the Paralytic Accidents of Antirabic Treatment within General Brain Science and Reviews.",high citation signal (71); open-access PDF metadata,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1017/S0022172400017800,5d02bb2a3f4c6898a288fa66f0c7638a12942fca,https://doi.org/10.1017/s0022172400017800,https://www.semanticscholar.org/paper/5d02bb2a3f4c6898a288fa66f0c7638a12942fca,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/FEBC6657BEE825049AF32B48B05D2E6F/S0022172400017800a.pdf/div-class-title-the-effects-of-the-injection-of-normal-brain-emulsion-into-rabbits-with-special-reference-to-the-aetiology-of-the-paralytic-accidents-of-antirabic-treatment-div.pdf,,JournalArticle,unknown,brain; brain in title,
9,1932,SPONTANEOUS SUBARACHNOID HEMORRHAGE: ITS RELATION TO ANEURYSMS OF CEREBRAL BLOOD VESSELS,"I. Strauss, J. Globus, S. Ginsburg",Unknown venue,1932-05-01,69,0,78.47,"Cerebrovascular, Metabolism, and Brain Injury",,"Positions SPONTANEOUS SUBARACHNOID HEMORRHAGE: ITS RELATION TO ANEURYSMS OF CEREBRAL BLOOD VESSELS within Cerebrovascular, Metabolism, and Brain Injury.",high citation signal (69),"Acute injury studies can be sensitive to timing, severity, comorbidity, and treatment heterogeneity.; Animal models may not capture human vascular risk, injury complexity, or rehabilitation context.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1001/ARCHNEURPSYC.1932.02230170096004,59dd735bfed5ba31b5ba5070fd04a383cb9209fa,https://doi.org/10.1001/archneurpsyc.1932.02230170096004,https://www.semanticscholar.org/paper/59dd735bfed5ba31b5ba5070fd04a383cb9209fa,,,paper,unknown,cerebral,
10,1932,The Brain of the Insectivora,W. E. Clark,Unknown venue,1932-12-01,64,1,83.14,General Brain Science and Reviews,,Positions The Brain of the Insectivora within General Brain Science and Reviews.,high citation signal (64),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1111/J.1096-3642.1932.TB01574.X,3d509246a3791035d5556c7538ad3ff02c0f6700,https://doi.org/10.1111/j.1096-3642.1932.tb01574.x,https://www.semanticscholar.org/paper/3d509246a3791035d5556c7538ad3ff02c0f6700,,,paper,unknown,brain; brain in title,
