rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,openAccessPdf,githubUrl,workType,language,relevanceReason,abstract
1,1975,Assessment of outcome after severe brain damage.,"B. Jennett, M. Bond",The Lancet,1975-03-01,7895,433,181.53,General Brain Science and Reviews,,Positions Assessment of outcome after severe brain damage. within General Brain Science and Reviews.,"high citation signal (7,895); recognized venue","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1016/S0140-6736(75)92830-5,71436b8d36236c645749bd54b949d3cb6229773d,https://doi.org/10.1016/S0140-6736(75)92830-5,,,JournalArticle,unknown,brain; brain in title,
2,1975,A Short Portable Mental Status Questionnaire for the Assessment of Organic Brain Deficit in Elderly Patients †,E. Pfeiffer,Journal of The American Geriatrics Society,1975-10-01,5373,337,163.81,Clinical Neurology and Neurodegeneration,human,Positions A Short Portable Mental Status Questionnaire for the Assessment of Organic Brain Deficit in Elderly Patients † within Clinical Neurology and Neurodegeneration.,"high citation signal (5,373); human evidence signal","Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1111/J.1532-5415.1975.TB00927.X,c2c01bc027ca411ef2a039c09fded199a9ee4278,https://doi.org/10.1111/J.1532-5415.1975.TB00927.X,,,JournalArticle,unknown,brain; brain in title,
3,1975,Identification of two related pentapeptides from the brain with potent opiate agonist activity,"J. Hughes, T. Smith, H. Kosterlitz, L. Fothergill, B. Morgan, H. Morris",Nature,1975-12-01,3598,41,167.39,General Brain Science and Reviews,,Positions Identification of two related pentapeptides from the brain with potent opiate agonist activity within General Brain Science and Reviews.,"high citation signal (3,598); recognized venue","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1038/258577a0,23cb847d59d8c696f8bbf284f4189275003de0e2,https://doi.org/10.1038/258577a0,,,JournalArticle,unknown,brain; brain in title,
4,1975,Cerebral blood flow in dementia.,"V. Hachinski, L. Iliff, Elias Zilhka, G. D. Boulay, V. McAllister, J. Marshall, et al.",Archives of Neurology,1975-09-01,1862,19,149.54,Clinical Neurology and Neurodegeneration,,Positions Cerebral blood flow in dementia. within Clinical Neurology and Neurodegeneration.,"high citation signal (1,862); recognized venue","Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1001/ARCHNEUR.1975.00490510088009,9b8b3070979e9b56434a8e023efa767e4845be3d,https://doi.org/10.1001/ARCHNEUR.1975.00490510088009,,,JournalArticle,unknown,cerebral,
5,1975,Substance p: localization in the central nervous system and in some primary sensory neurons,"T. Hökfelt, J-O. Kellerth, G. Nilsson, B. Pernow",Science,1975-11-28,1017,8,144.66,"Cellular, Molecular, and Synaptic Neuroscience",,"Positions Substance p: localization in the central nervous system and in some primary sensory neurons within Cellular, Molecular, and Synaptic Neuroscience.","high citation signal (1,017); recognized venue","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1126/science.242075,5a8cbf993bd67c49161d58878b2c944230524a61,https://doi.org/10.1126/science.242075,,,JournalArticle,unknown,neuron; neuroscience term,
6,1975,Isolation of an endogenous compound from the brain with pharmacological properties similar to morphine.,J. Hughes,Brain Research,1975-05-02,967,6,143.75,General Brain Science and Reviews,,Positions Isolation of an endogenous compound from the brain with pharmacological properties similar to morphine. within General Brain Science and Reviews.,high citation signal (967); recognized venue,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1016/0006-8993(75)90391-1,9d1988dca8964c0772eacf2cb2b53b85bbc5bb04,https://doi.org/10.1016/0006-8993(75)90391-1,,,JournalArticle,unknown,brain; brain in title,
7,1975,Chronic inflammatory polyradiculoneuropathy.,"P. Dyck, A. Lais, Michiya Ohta, James A. Bastron, H. Okazaki, R. Groover",Mayo Clinic proceedings,1975-11-01,920,28,127.26,Clinical Neurology and Neurodegeneration,human;non-human,"The diagnostic criteria, natural history, nerve conduction characteristics, pathology, laboratory features, and efficacy of corticosteroid treatment have been evaluated personally in 53 patients with chronic inflammatory polyradiculoneuropathy (CIP) who were followed up for an average of about 7.5 years.",high citation signal (920); human evidence signal,"Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1016/s0025-6196(25)09732-0,f3e858fde93aaf8fd91144bcacad85f2cec58596,https://doi.org/10.1016/s0025-6196(25)09732-0,,,JournalArticle; CaseReport,unknown,brain,"The diagnostic criteria, natural history, nerve conduction characteristics, pathology, laboratory features, and efficacy of corticosteroid treatment have been evaluated personally in 53 patients with chronic inflammatory polyradiculoneuropathy (CIP) who were followed up for an average of about 7.5 years. These were patients whose monophasic neurologic deficit had not crested by 6 months, patients with recurrences, and patients with a steady or stepwise progression. The typical features of CIP include absence of an associated disease, frequent history of preceding infection or receipt of foreign protein, and tendency to involve cranial, truncal, and proximal as well as distal limb structures and to have diffusely slow conduction velocity of peripheral nerves. The most marked slowing is often very proximal. The pathologic features include serous edema, mononuclear cell infiltrates (especially in perivascular areas, but without evidence of vasculitis), macrophage-induced segmental demyelination, and hypertrophic neuritis. If our patients are representative, complete recovery occurs only infrequently; about 60% of patients are able to be ambulatory and work, 25% become confined to a wheelchair or become bedridden, and approximately 10% die from their disease. Although the bulk of the pathologic changes affect spinal roots and proximal nerves, the brain and spinal cord may be involved also. Degeneration into linear rows of myelin ovoids is the predominant type of myelinated fiber degeneration of the sural nerve at the ankle."
8,1975,Inhibition of both noradrenergic and serotonergic neurons in brain by the alpha-adrenergic agonist clonidine.,"T. Svensson, B. Bunney, G. Aghajanian",Brain Research,1975-07-11,903,15,150.52,"Cellular, Molecular, and Synaptic Neuroscience",,"Positions Inhibition of both noradrenergic and serotonergic neurons in brain by the alpha-adrenergic agonist clonidine. within Cellular, Molecular, and Synaptic Neuroscience.",high citation signal (903); recognized venue,"Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1016/0006-8993(75)90276-0,0f31f815cf98fb90ea8da41c280a2c7aeafdf786,https://doi.org/10.1016/0006-8993(75)90276-0,,,JournalArticle,unknown,brain; neuron; brain in title; neuroscience term,
9,1975,Regional Cerebral Blood Flow Estimated by 133Xenon Inhalation,"W. Obrist, H. Thompson, H. Wang, W. Wilkinson",Stroke,1975-05-01,858,5,126.6,Clinical Neurology and Neurodegeneration,,Positions Regional Cerebral Blood Flow Estimated by 133Xenon Inhalation within Clinical Neurology and Neurodegeneration.,high citation signal (858); open-access PDF metadata,"Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1161/01.STR.6.3.245,3ef12225a9c2269e3c84aa1ef2e7ac902a25a7a3,https://doi.org/10.1161/01.STR.6.3.245,https://www.ahajournals.org/doi/pdf/10.1161/01.STR.6.3.245,,JournalArticle; Study,unknown,cerebral,
10,1975,Auditory brain stem responses in neurological disease.,"A. Starr, L. Achor",Archives of Neurology,1975-11-01,764,8,139.52,Clinical Neurology and Neurodegeneration,,Positions Auditory brain stem responses in neurological disease. within Clinical Neurology and Neurodegeneration.,high citation signal (764); recognized venue,"Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1001/ARCHNEUR.1975.00490530083009,c1dc7e2525a9fcd90c4a5513183541d0e9b3165e,https://doi.org/10.1001/ARCHNEUR.1975.00490530083009,,,JournalArticle,unknown,brain; brain in title,
