rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,openAccessPdf,githubUrl,workType,language,relevanceReason,abstract
1,1994,"Descartes' error: emotion, reason, and the human brain. avon books",A. Damasio,Unknown venue,1994,5659,196,164.74,General Brain Science and Reviews,human,"Positions Descartes' error: emotion, reason, and the human brain. avon books within General Brain Science and Reviews.","high citation signal (5,659); human evidence signal","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",,f7034bcd3f6addd7b2801f289cd17c6acd3e1835,https://www.semanticscholar.org/paper/f7034bcd3f6addd7b2801f289cd17c6acd3e1835,,,paper,unknown,brain; brain in title,
2,1994,Developmental and regional expression in the rat brain and functional properties of four NMDA receptors.,"H. Monyer, N. Burnashev, D. Laurie, B. Sakmann, P. Seeburg",Neuron,1994-03-01,3602,325,168.61,"Brain Development, Plasticity, and Connectomics",non-human,"Positions Developmental and regional expression in the rat brain and functional properties of four NMDA receptors. within Brain Development, Plasticity, and Connectomics.","high citation signal (3,602); recognized venue","Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1016/0896-6273(94)90210-0,08e1cd913aac0aac9613a3c1d8337c59646baa20,https://doi.org/10.1016/0896-6273(94)90210-0,,,JournalArticle,unknown,brain; brain in title,
3,1994,"Non-invasive electrical and magnetic stimulation of the brain, spinal cord and roots: basic principles and procedures for routine clinical application. Report of an IFCN committee.","P. Rossini, A. Barker, A. Berardelli, M. Caramia, G. Caruso, R. Cracco, et al.",Electroencephalography and Clinical Neurophysiology,1994-08-01,3209,142,156.93,"EEG, MEG, and Electrophysiology",EEG;human;stimulation,"Positions Non-invasive electrical and magnetic stimulation of the brain, spinal cord and roots: basic principles and procedures for routine clinical application. Report of an IFCN committee. within EEG, MEG, and Electrophysiology.","high citation signal (3,209); human evidence signal","Low signal-to-noise ratio, artifacts, and source-localization uncertainty complicate interpretation.; Many studies rely on controlled tasks and may not generalize to everyday behavior or clinical monitoring.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1016/0013-4694(94)90029-9,4e21e900221c7fef46e80a044bfa34fe2c5ebd78,https://doi.org/10.1016/0013-4694(94)90029-9,,,Review; JournalArticle,unknown,brain; brain in title,
4,1994,Low resolution electromagnetic tomography: a new method for localizing electrical activity in the brain.,"R. Pascual-Marqui, C. Michel, D. Lehmann",International Journal of Psychophysiology,1994-10-01,2942,254,152.97,Clinical Neurology and Neurodegeneration,human,Positions Low resolution electromagnetic tomography: a new method for localizing electrical activity in the brain. within Clinical Neurology and Neurodegeneration.,"high citation signal (2,942); human evidence signal","Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1016/0167-8760(84)90014-X,d11f1ac25a813dda546cd2cb7a6cd157afa194dd,https://doi.org/10.1016/0167-8760(84)90014-X,,,JournalArticle; ClinicalTrial,unknown,brain; brain in title,
5,1994,Glutamate uptake into astrocytes stimulates aerobic glycolysis: a mechanism coupling neuronal activity to glucose utilization.,"L. Pellerin, P. Magistretti",Proceedings of the National Academy of Sciences of the United States of America,1994-10-25,2861,147,166.27,"Cellular, Molecular, and Synaptic Neuroscience",,"Positions Glutamate uptake into astrocytes stimulates aerobic glycolysis: a mechanism coupling neuronal activity to glucose utilization. within Cellular, Molecular, and Synaptic Neuroscience.","high citation signal (2,861); recognized venue; open-access PDF metadata","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1073/PNAS.91.22.10625,157512eedf3671f310688fbe3f8c21981d38ebb7,https://doi.org/10.1073/PNAS.91.22.10625,https://www.pnas.org/doi/pdf/10.1073/pnas.91.22.10625,,JournalArticle,unknown,neuron; neuroscience term,
6,1994,Functional and effective connectivity in neuroimaging: A synthesis,Karl J. Friston,Unknown venue,1994,2518,128,147.17,"Brain Development, Plasticity, and Connectomics",connectome,"Positions Functional and effective connectivity in neuroimaging: A synthesis within Brain Development, Plasticity, and Connectomics.","high citation signal (2,518); open-access PDF metadata","Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1002/HBM.460020107,350b242223298ce94c27559c256f5a407a0e3813,https://doi.org/10.1002/HBM.460020107,http://www.fil.ion.ucl.ac.uk/~karl/Functional%20and%20effective%20connectivity%20in%20neuroimaging.pdf,,paper,unknown,neuroimaging,
7,1994,"Descartes' Error. Emotion, Reason and the Human Brain. New York (Grosset/Putnam) 1994.",A. Damasio,Unknown venue,1994,2504,96,150.07,General Brain Science and Reviews,human,"Positions Descartes' Error. Emotion, Reason and the Human Brain. New York (Grosset/Putnam) 1994. within General Brain Science and Reviews.","high citation signal (2,504); human evidence signal","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",,d9ab59551de21734f9d8d10955f953cf9566aba7,https://www.semanticscholar.org/paper/d9ab59551de21734f9d8d10955f953cf9566aba7,,,paper,unknown,brain; brain in title,
8,1994,Long-distance neuronal migration in the adult mammalian brain.,"C. Lois, A. Álvarez-Buylla",Science,1994-05-20,2427,131,170.71,"Cellular, Molecular, and Synaptic Neuroscience",human;non-human,"Positions Long-distance neuronal migration in the adult mammalian brain. within Cellular, Molecular, and Synaptic Neuroscience.","high citation signal (2,427); recognized venue; human evidence signal","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1126/SCIENCE.8178174,3cd005321fff8d8be05dbd6f7d338b4a47641916,https://doi.org/10.1126/SCIENCE.8178174,,,JournalArticle,unknown,brain; neuron; brain in title; neuroscience term,
9,1994,The representing brain: Neural correlates of motor intention and imagery,M. Jeannerod,Behavioral and Brain Sciences,1994-06-01,2369,149,161.87,Cognitive and Systems Neuroscience,,Positions The representing brain: Neural correlates of motor intention and imagery within Cognitive and Systems Neuroscience.,"high citation signal (2,369); recognized venue","Task designs can simplify cognition enough that ecological validity becomes uncertain.; Cross-species alignment between circuits, behavior, and subjective experience remains imperfect.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1017/S0140525X00034026,057af1f68c392771d5550325b741f5fab9a9c686,https://doi.org/10.1017/S0140525X00034026,,,paper,unknown,brain; neural; brain in title,
10,1994,Disruption of the mouse mdr1a P-glycoprotein gene leads to a deficiency in the blood-brain barrier and to increased sensitivity to drugs.,"A. Schinkel, J. Smit, O. Tellingen, J. Beijnen, E. Wagenaar, L. V. Deemter, et al.",Cell,1994-05-20,2315,93,160.66,General Brain Science and Reviews,non-human,Positions Disruption of the mouse mdr1a P-glycoprotein gene leads to a deficiency in the blood-brain barrier and to increased sensitivity to drugs. within General Brain Science and Reviews.,"high citation signal (2,315); recognized venue","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1016/0092-8674(94)90212-7,31f35ad5857b42d34ac48f4cd0de7926439135c3,https://doi.org/10.1016/0092-8674(94)90212-7,,,JournalArticle,unknown,brain; brain in title,
