rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,openAccessPdf,githubUrl,workType,language,relevanceReason,abstract
1,2006,Astrocyte-endothelial interactions at the blood-brain barrier,"N. Abbott, L. Rönnbäck, E. Hansson",Nature Reviews Neuroscience,2006,5329,332,174.46,General Brain Science and Reviews,,Positions Astrocyte-endothelial interactions at the blood-brain barrier within General Brain Science and Reviews.,"high citation signal (5,329); recognized venue","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1038/nrn1824,a394bc7547b0efc2a65e17afc6ab9885a260f651,https://doi.org/10.1038/nrn1824,,,Review; JournalArticle,unknown,brain; brain in title,
2,2006,Rhythms of the brain,G. Buzsáki,Unknown venue,2006,5150,468,161.85,General Brain Science and Reviews,,Positions Rhythms of the brain within General Brain Science and Reviews.,"high citation signal (5,150)","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1093/acprof:oso/9780195301069.001.0001,7b10922cab71f51b1f08326d8cac1d8fa3bca685,https://doi.org/10.1093/acprof:oso/9780195301069.001.0001,,,paper,unknown,brain; brain in title,
3,2006,The Epidemiology and Impact of Traumatic Brain Injury: A Brief Overview,"J. Langlois, Wesley Rutland-Brown, M. Wald",The journal of head trauma rehabilitation,2006-09-01,3826,379,156.5,"Cerebrovascular, Metabolism, and Brain Injury",,"Positions The Epidemiology and Impact of Traumatic Brain Injury: A Brief Overview within Cerebrovascular, Metabolism, and Brain Injury.","high citation signal (3,826)","Acute injury studies can be sensitive to timing, severity, comorbidity, and treatment heterogeneity.; Animal models may not capture human vascular risk, injury complexity, or rehabilitation context.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1097/00001199-200609000-00001,ab051f794d19a5cf77fb710cfac85c88281d5607,https://doi.org/10.1097/00001199-200609000-00001,,,JournalArticle; Review,unknown,brain; brain in title,
4,2006,Meeting of minds: the medial frontal cortex and social cognition,"D. Amodio, C. Frith",Nature Reviews Neuroscience,2006-04-01,3746,264,168.12,Cognitive and Systems Neuroscience,,Positions Meeting of minds: the medial frontal cortex and social cognition within Cognitive and Systems Neuroscience.,"high citation signal (3,746); recognized venue","Task designs can simplify cognition enough that ecological validity becomes uncertain.; Cross-species alignment between circuits, behavior, and subjective experience remains imperfect.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1038/nrn1884,42d6aa17ce3a64333a99f1643f881ab7519c721a,https://doi.org/10.1038/nrn1884,,,Review; JournalArticle,unknown,cortex; neuroscience term,
5,2006,Neuronal ensemble control of prosthetic devices by a human with tetraplegia,"L. Hochberg, M. Serruya, G. Friehs, Jon A. Mukand, M. Saleh, A. Caplan, et al.",Nature,2006-07-01,3417,133,167.66,"Cellular, Molecular, and Synaptic Neuroscience",human,"Positions Neuronal ensemble control of prosthetic devices by a human with tetraplegia within Cellular, Molecular, and Synaptic Neuroscience.","high citation signal (3,417); recognized venue; human evidence signal","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1038/nature04970,a8b16f6bf073464912d8cd24f0dff7ff03fa7f18,https://doi.org/10.1038/nature04970,,,JournalArticle,unknown,neuron; neuroscience term,
6,2006,Dynamical Systems in Neuroscience: The Geometry of Excitability and Bursting,E. Izhikevich,Unknown venue,2006-11-01,3318,422,153.93,General Brain Science and Reviews,,Positions Dynamical Systems in Neuroscience: The Geometry of Excitability and Bursting within General Brain Science and Reviews.,"high citation signal (3,318)","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.7551/mitpress/2526.001.0001,c90778b804faf8d3ad7cd6164865809394fa58e5,https://doi.org/10.7551/mitpress/2526.001.0001,,,Review,unknown,neuroscience; neuroscience term,
7,2006,"Intraneuronal β-Amyloid Aggregates, Neurodegeneration, and Neuron Loss in Transgenic Mice with Five Familial Alzheimer's Disease Mutations: Potential Factors in Amyloid Plaque Formation","Holly Oakley, Sarah L. Cole, Sreemathi Logan, E. Maus, Peizhen Shao, J. Craft, et al.",Journal of Neuroscience,2006-10-04,3179,398,176.56,"Cellular, Molecular, and Synaptic Neuroscience",EEG;non-human,"Mutations in the genes for amyloid precursor protein (APP) and presenilins (PS1, PS2) increase production of β-amyloid 42 (Aβ42) and cause familial Alzheimer's disease (FAD).","high citation signal (3,179); recognized venue; open-access PDF metadata","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1523/JNEUROSCI.1202-06.2006,df73919e97d45599303916f09fd95b7c343ea8c8,https://doi.org/10.1523/JNEUROSCI.1202-06.2006,https://www.jneurosci.org/content/jneuro/26/40/10129.full.pdf,,JournalArticle; Study,unknown,brain; cerebral; cortical; neuron; neuroscience term,"Mutations in the genes for amyloid precursor protein (APP) and presenilins (PS1, PS2) increase production of β-amyloid 42 (Aβ42) and cause familial Alzheimer's disease (FAD). Transgenic mice that express FAD mutant APP and PS1 overproduce Aβ42 and exhibit amyloid plaque pathology similar to that found in AD, but most transgenic models develop plaques slowly. To accelerate plaque development and investigate the effects of very high cerebral Aβ42 levels, we generated APP/PS1 double transgenic mice that coexpress five FAD mutations (5XFAD mice) and additively increase Aβ42 production. 5XFAD mice generate Aβ42 almost exclusively and rapidly accumulate massive cerebral Aβ42 levels. Amyloid deposition (and gliosis) begins at 2 months and reaches a very large burden, especially in subiculum and deep cortical layers. Intraneuronal Aβ42 accumulates in 5XFAD brain starting at 1.5 months of age (before plaques form), is aggregated (as determined by thioflavin S staining), and occurs within neuron soma and neurites. Some amyloid deposits originate within morphologically abnormal neuron soma that contain intraneuronal Aβ. Synaptic markers synaptophysin, syntaxin, and postsynaptic density-95 decrease with age in 5XFAD brain, and large pyramidal neurons in cortical layer 5 and subiculum are lost. In addition, levels of the activation subunit of cyclin-dependent kinase 5, p25, are elevated significantly at 9 months in 5XFAD brain, although an upward trend is observed by 3 months of age, before significant neurodegeneration or neuron loss. Finally, 5XFAD mice have impaired memory in the Y-maze. Thus, 5XFAD mice rapidly recapitulate major features of AD amyloid pathology and may be useful models of intraneuronal Aβ42-induced neurodegeneration and amyloid plaque formation."
8,2006,"Traumatic brain injury in the United States; emergency department visits, hospitalizations, and deaths","J. Langlois, Wesley Rutland-Brown, K. Thomas",Unknown venue,2006,2974,174,151.96,"Cerebrovascular, Metabolism, and Brain Injury",,"Positions Traumatic brain injury in the United States; emergency department visits, hospitalizations, and deaths within Cerebrovascular, Metabolism, and Brain Injury.","high citation signal (2,974)","Acute injury studies can be sensitive to timing, severity, comorbidity, and treatment heterogeneity.; Animal models may not capture human vascular risk, injury complexity, or rehabilitation context.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1037/e721222007-001,3e2f49552edbd90f06c98a7b1c6ac43f75fbd24e,https://doi.org/10.1037/e721222007-001,,,paper,unknown,brain; brain in title,
9,2006,A randomized trial of deep-brain stimulation for Parkinson's disease.,"G. Deuschl, C. Schade-Brittinger, P. Krack, J. Volkmann, H. Schäfer, K. Bötzel, et al.",New England Journal of Medicine,2006-08-31,2818,112,155.19,Clinical Neurology and Neurodegeneration,stimulation,Positions A randomized trial of deep-brain stimulation for Parkinson's disease. within Clinical Neurology and Neurodegeneration.,"high citation signal (2,818); open-access PDF metadata","Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1056/NEJMOA060281,78493e305f7f70251009b582159e38eb688b359b,https://doi.org/10.1056/NEJMOA060281,https://www.nejm.org/doi/pdf/10.1056/NEJMoa060281?articleTools=true,,Study; JournalArticle,unknown,brain; brain in title,
10,2006,Self-referential processing in our brain - A meta-analysis of imaging studies on the self,"G. Northoff, A. Heinzel, M. D. Greck, F. Bermpohl, H. Dobrowolny, J. Panksepp",NeuroImage,2006-05-15,2706,196,162.26,General Brain Science and Reviews,,Positions Self-referential processing in our brain - A meta-analysis of imaging studies on the self within General Brain Science and Reviews.,"high citation signal (2,706); recognized venue","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1016/J.NEUROIMAGE.2005.12.002,6fb1736d7375305e712c3f0d64d0c600afce2113,https://doi.org/10.1016/J.NEUROIMAGE.2005.12.002,,,MetaAnalysis; JournalArticle; Review,unknown,brain; brain in title,
