rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,openAccessPdf,githubUrl,workType,language,relevanceReason,abstract
1,1978,"Anatomical evidence of direct projections from the nucleus of the solitary tract to the hypothalamus, amygdala, and other forebrain structures in the rat.","J. A. Ricardo, J. A. Ricardo, E. T. Koh, E. T. Koh",Brain Research,1978-09-15,1391,36,153.49,General Brain Science and Reviews,non-human,"Positions Anatomical evidence of direct projections from the nucleus of the solitary tract to the hypothalamus, amygdala, and other forebrain structures in the rat. within General Brain Science and Reviews.","high citation signal (1,391); recognized venue","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1016/0006-8993(78)91125-3,aa73874e9b4d9993c0579d6640818ff5ecc55002,https://doi.org/10.1016/0006-8993(78)91125-3,,,JournalArticle,unknown,brain; amygdala; brain in title,
2,1978,Amygdaloid projections to subcortical structures within the basal forebrain and brainstem in the rat and cat,"J. Krettek, J. Price",The Journal of comparative neurology,1978-03-15,1300,49,152.28,Clinical Neurology and Neurodegeneration,non-human,Positions Amygdaloid projections to subcortical structures within the basal forebrain and brainstem in the rat and cat within Clinical Neurology and Neurodegeneration.,"high citation signal (1,300); recognized venue","Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1002/cne.901780204,8e63a947588f395ae1ee6e7df17c78d93cffa626,https://doi.org/10.1002/cne.901780204,,,JournalArticle,unknown,brain; cortical; brain in title,
3,1978,Brain energy metabolism,B. Siesjö,Unknown venue,1978,1267,39,136.61,"Cerebrovascular, Metabolism, and Brain Injury",,"Positions Brain energy metabolism within Cerebrovascular, Metabolism, and Brain Injury.","high citation signal (1,267)","Acute injury studies can be sensitive to timing, severity, comorbidity, and treatment heterogeneity.; Animal models may not capture human vascular risk, injury complexity, or rehabilitation context.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",,e571dcbb6587bd2a41439ef65ffc4dabd4df270a,https://www.semanticscholar.org/paper/e571dcbb6587bd2a41439ef65ffc4dabd4df270a,,,paper,unknown,brain; brain in title,
4,1978,Evidence for a morphological sex difference within the medial preoptic area of the rat brain.,"R. Gorski, J. Gordon, J. Shryne, A. Southam",Brain Research,1978-06-16,1220,32,149.13,General Brain Science and Reviews,non-human,Positions Evidence for a morphological sex difference within the medial preoptic area of the rat brain. within General Brain Science and Reviews.,"high citation signal (1,220); recognized venue","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1016/0006-8993(78)90723-0,40f4b0871a968db8e1f6714f1109d0b27953c43a,https://doi.org/10.1016/0006-8993(78)90723-0,,,JournalArticle; Study,unknown,brain; brain in title,
5,1978,Measurement of local cerebral blood flow with iodo [14C] antipyrine.,"O. Sakurada, C. Kennedy, J. Jehle, J. Brown, G. L. Carbin, L. Sokoloff",American Journal of Physiology,1978,1098,40,128.04,General Brain Science and Reviews,,Positions Measurement of local cerebral blood flow with iodo [14C] antipyrine. within General Brain Science and Reviews.,"high citation signal (1,098)","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1152/AJPHEART.1978.234.1.H59,53de9a1a3a95b18bde88121c90bd91f400ca958f,https://doi.org/10.1152/AJPHEART.1978.234.1.H59,,,JournalArticle,unknown,cerebral,
6,1978,Changes in brain weights during the span of human life: Relation of brain weights to body heights and body weights,"A. Dekaban, D. Sadowsky",Annals of Neurology,1978-10-01,1065,46,146.69,Clinical Neurology and Neurodegeneration,human,Positions Changes in brain weights during the span of human life: Relation of brain weights to body heights and body weights within Clinical Neurology and Neurodegeneration.,"high citation signal (1,065); recognized venue; human evidence signal","Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1002/ana.410040410,bcf789288739e1814e93b75770b2edd24e4c64dd,https://doi.org/10.1002/ana.410040410,,,JournalArticle; Study; Review,unknown,brain; brain in title,
7,1978,"Intracortical connectivity of architectonic fields in the somatic sensory, motor and parietal cortex of monkeys","E. Jones, J. D. Coulter, S. Hendry",The Journal of comparative neurology,1978-09-15,942,39,147.68,Clinical Neurology and Neurodegeneration,non-human;connectome,"Positions Intracortical connectivity of architectonic fields in the somatic sensory, motor and parietal cortex of monkeys within Clinical Neurology and Neurodegeneration.",high citation signal (942); recognized venue,"Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1002/cne.901810206,4755c9aa25f1c7bbf99d961a12e4de011a488781,https://doi.org/10.1002/cne.901810206,,,JournalArticle; Study,unknown,cortex; cortical; neuroscience term,
8,1978,Tolerance of locus coeruleus neurones to morphine and suppression of withdrawal response by clonidine,G. Aghajanian,Nature,1978-11-09,813,18,140.64,"Cellular, Molecular, and Synaptic Neuroscience",,"Positions Tolerance of locus coeruleus neurones to morphine and suppression of withdrawal response by clonidine within Cellular, Molecular, and Synaptic Neuroscience.",high citation signal (813); recognized venue,"Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1038/276186A0,5eb1aa0aa58c345e101446aea58c039354db135a,https://doi.org/10.1038/276186A0,,,JournalArticle,unknown,neuron; neuroscience term,
9,1978,Responses of cerebral arteries and arterioles to acute hypotension and hypertension.,"H. Kontos, E. P. Wei, R. Navari, J. Levasseur, W. Rosenblum, J. Patterson",American Journal of Physiology,1978-04-01,802,36,122.39,General Brain Science and Reviews,,Positions Responses of cerebral arteries and arterioles to acute hypotension and hypertension. within General Brain Science and Reviews.,high citation signal (802),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1152/AJPHEART.1978.234.4.H371,122aad0b2374fc4c708b190444373dd851b5087c,https://doi.org/10.1152/AJPHEART.1978.234.4.H371,,,JournalArticle,unknown,cerebral,
10,1978,Immunohistochemical localization of enkephalin in rat brain and spinal cord,"M. Sar, Walter E. Stumpf, Richard J. Miller, Kwen-Jen Chang, P. Cuatrecasas",The Journal of comparative neurology,1978-11-01,787,7,141.25,Clinical Neurology and Neurodegeneration,non-human,Positions Immunohistochemical localization of enkephalin in rat brain and spinal cord within Clinical Neurology and Neurodegeneration.,high citation signal (787); recognized venue,"Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1002/cne.901820103,b306301cc0069a36bb1ddf95180ee1e20c680825,https://doi.org/10.1002/cne.901820103,,,JournalArticle,unknown,brain; brain in title,
