rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,openAccessPdf,workType,language,relevanceReason,abstract
1,1916,Amino acids,"Francesco Sciacca, Daniel Bell",Botanical Gazette,1916-04-01,1232,58,141.11,"Cellular, Molecular, and Synaptic Neuroscience",,Amino acids are the basic structural building units of protein and other biomolecules; they are also utilized as an energy source.,"high citation signal (1,232); open-access PDF metadata","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1007/978-94-011-2262-7,5e5f9824fe9634d5ca1e400a3db14947d18fcfb9,https://doi.org/10.1007/978-94-011-2262-7,https://doi.org/10.1007/726.1438-2199,paper,unknown,brain; neuron; neuroscience term,"Amino acids are the basic structural building units of protein and other biomolecules; they are also utilized as an energy source. Daily intake of dietary protein is necessary to present tissue protein breakdown to supply the continuous, critical amino acid needs. The suppression of stomach acid can strongly inhibit digestion of dietary protein in the stomach. Impaired digestion and assimilation account for some of the individual variability of protein requirements. Utilization of amino acids is highly tissue and time dependent. Plasma from blood drawn at any given moment will reflect the state of the dynamic flux of amino acids leaving sites such as skeletal muscle and flowing into sites of utilization in the liver, brain and other tissues. During sleep, many tissues are more actively removing amino acids from the blood for tissue repair, neuronal plasticity and detoxification. In the morning, cortisol rises and amino acids are broken down from skeletal muscle and oxidized for energy."
2,1916,"Disturbances of Vision from Cerebral Lesions, with Special Reference to the Cortical Representation of the Macula","W. Lister, G. Holmes",Proceedings of the Royal Society of Medicine,1916-06-01,233,4,105.2,General Brain Science and Reviews,,"Positions Disturbances of Vision from Cerebral Lesions, with Special Reference to the Cortical Representation of the Macula within General Brain Science and Reviews.",high citation signal (233); open-access PDF metadata,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1177/003591571600901711,3bfc1c43b85d46b869eb13cb0b02339be9f26ff2,https://doi.org/10.1177/003591571600901711,https://doi.org/10.1177/003591571600901711,JournalArticle,unknown,cerebral; cortical,
3,1916,"A NEW FAMILIAL, INFANTILE FORM OF DIFFUSE BRAIN-SCLEROSIS",K. Krabbe,Unknown venue,1916-06-01,220,2,108.17,General Brain Science and Reviews,,"Positions A NEW FAMILIAL, INFANTILE FORM OF DIFFUSE BRAIN-SCLEROSIS within General Brain Science and Reviews.",high citation signal (220); open-access PDF metadata,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1093/BRAIN/39.1-2.74,afab640c3b23e557b21c9d3808003fc0ae95669f,https://doi.org/10.1093/BRAIN/39.1-2.74,https://zenodo.org/record/1431646/files/article.pdf,paper,unknown,brain; brain in title,
4,1916,The effect of hypophysectomy in the early embryo upon the rowth and development of the frog,Philip E. M. Smith,Unknown venue,1916-10-01,98,0,90.11,"Brain Development, Plasticity, and Connectomics",human;non-human,The extirpation of the hypophysjs in the adult frog has not given uniform results.,high citation signal (98); open-access PDF metadata; human evidence signal,"Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1002/ar.1090110302,bd1fe632148357edb1055245784d396f997d44b6,https://doi.org/10.1002/ar.1090110302,https://zenodo.org/record/1842812/files/article.pdf,paper,unknown,brain,"The extirpation of the hypophysjs in the adult frog has not given uniform results. Caselli ('00) and Gaglio ('02) who reported no changes following hypophysectomies were followed by Boteano ('06) who reported a neuromuscular asthenia in the operated animals. Houssay ('10) came to the conclusion that the removal of the gland was followed by death. Adler ('14) burned out the hypophysis of a 20 mm. Rana temporaria larvae with the electric cautery. Out of the 1200 operated animals three were found to have been hypophysectomized, not, however, without great injury to the surrounding soft parts, particularly the brain. In not one of those three animals did hjnd legs develop beyond a small bud, and transformation did not take place, the specimens remaining as neotonic tadpoles. This work was commenced in the Spring of 1914, repeated in 1915, and again in 1916, Diemyctylus torosus, Rana pipiens, and Rana boylei being successively used. In this paper the results obtained with the California yellow-legged frog, R. boylei are reported. Shortly after the closure of the medullary plate, Kopsch's stages d-e, was found to be the size in which the hypophysial invagination could be most successfully removed. About 200 larvae of this stage were operated upon. I n specimens of this size the hypophysis was successfully removed in over 60 per cent of the operated animals. Approximately 30 per cent of those animals in which the gland was extirpated did 57"
5,1916,Regeneration in the brain of amblystoma. I. The regeneration of the forebrain,H. Burr,Unknown venue,1916-04-01,49,0,84.62,General Brain Science and Reviews,non-human,Up to the present time the data dealing with regeneration in the central nervous system have been exceedingly conflicting.,high citation signal (49); open-access PDF metadata,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1002/cne.900260203,63f4d4f9b2a7a26516204649eddac1c4650b036c,https://doi.org/10.1002/cne.900260203,https://zenodo.org/record/2401376/files/article.pdf,paper,unknown,brain; cerebral; brain in title,"Up to the present time the data dealing with regeneration in the central nervous system have been exceedingly conflicting. The early workers reported the regeneration of various definitive parts after they were extirpated. As far back as 1890 Danielewsky found that the removal of the cerebral hemispheres of the frog resulted in the formation of a 'cerebral mass' which he believed contained embryonic nerve cells, though this mass was in no way a new hemisphere. More recently Bell, in 1907, removed the 'lateral half' of the brain of the frog and found that the brain nearly always is reformed though never does it reach the normal size. On the other hand, Schaper ('98) found that the removal of portions or of the entire brain of Rana esculenta was never followed by regeneration. Rubin in 1903 working with Rana fusca larvae found that no regeneration occurred after the removal of the brain or of parts of it. The results of experiments published elsewhere (Burr '16) show conclusively that the nasal placode of Amblystoma and also of the frog does not regenerate when it is completely removed. In addition, the large amount of work by Lewis and others has shown that the eye will not regenerate when all of the anlage is removed. It was deemed probable, therefore, that complete extirpation of the cerebral hemisphere would not be followed by even a partial regeneration of the part removed. The discrepancy in the results previously reported might be due to incomplete operations. The regeneration of parts of"
6,1916,EXPERIMENTAL RESEARCHES ON SENSORY LOCALISATIONS IN THE CEREBRAL CORTEX,J. G. D. de Barenne,Unknown venue,1916-04-26,46,1,82.3,General Brain Science and Reviews,,Positions EXPERIMENTAL RESEARCHES ON SENSORY LOCALISATIONS IN THE CEREBRAL CORTEX within General Brain Science and Reviews.,high citation signal (46); open-access PDF metadata,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1113/EXPPHYSIOL.1916.SP000214,cbb9d89a28b5c30f57e0c5b817e5d6839a7861e0,https://doi.org/10.1113/EXPPHYSIOL.1916.SP000214,https://physoc.onlinelibrary.wiley.com/doi/pdf/10.1113/expphysiol.1916.sp000214,paper,unknown,cerebral; cortex; neuroscience term,
7,1916,"Studies on cell division in the albino rat (Mus norvegicus, var. alba). II. Experiments on technique, with description of a method for demonstrating the cytological details of dividing cells in brain and testis",E. Allen,Unknown venue,1916-07-01,43,1,80.32,General Brain Science and Reviews,non-human,"Positions Studies on cell division in the albino rat (Mus norvegicus, var. alba). II. Experiments on technique, with description of a method for demonstrating the cytological details of dividing cells in brain and testis within General Brain Science and Reviews.",high citation signal (43); open-access PDF metadata,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1002/AR.1090100903,3107bf97b9b21f39f7974da887d4c9a93d50d2d4,https://doi.org/10.1002/AR.1090100903,https://zenodo.org/records/2328436/files/article.pdf,paper,unknown,brain; brain in title,
8,1916,Movements of Foreign Bodies in the Brain,"G. Vilvandré, J. D. Morgan",Unknown venue,1916-06-01,35,0,72.5,General Brain Science and Reviews,,Positions Movements of Foreign Bodies in the Brain within General Brain Science and Reviews.,high citation signal (35),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1259/ARE.1916.0003,2e8c7f88b2924750d011d93cbcc63cf9871f18fd,https://doi.org/10.1259/ARE.1916.0003,,paper,unknown,brain; brain in title,
9,1916,STUDIES ON THE PINEAL GLAND: I. EXPERIMENTAL OBSERVATIONS,G. Horrax,Unknown venue,1916-05-01,22,0,61.44,General Brain Science and Reviews,,"Introductory The ancients believed that the pineal body or cornarium, as it was called, regulated the flow of vital spirits from the brain to the spinal cord, acting in this capacity in a manner similar to the pylorus of the stomach.",high citation signal (22); open-access PDF metadata,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1001/ARCHINTE.1916.00080110020002,97bd526e7b9599393b13b55d8d163d655a69b69d,https://doi.org/10.1001/ARCHINTE.1916.00080110020002,https://zenodo.org/records/1497804/files/article.pdf,paper,unknown,brain,"Introductory The ancients believed that the pineal body or cornarium, as it was called, regulated the flow of vital spirits from the brain to the spinal cord, acting in this capacity in a manner similar to the pylorus of the stomach. It was assumed that it was a part of the brain, capable of movement, and stood as a guard between the third and fourth ventricles. But it is remarkable to find in the works of Galen, 10 whose name still clings to the neighboring veins, that he used the term ""acervulus"" in describing the psammona or sand bodies found in the gland, and in his works recur such illuminating statements as the following: ""The pineal was devised for the same purpose as the other glands of the body."" In the first place, ""it is in substance glandular,"" and, observing that the blood supply came from the same"
10,1916,NEW EVIDENCE IN FAVOR OF A CHIEF VASOCONSTRICTOR CENTER IN THE BRAIN: Studies in Vasomotor Reflex Arcs. IV,S. W. Ranson,Unknown venue,1916-12-01,17,0,60.03,General Brain Science and Reviews,,Positions NEW EVIDENCE IN FAVOR OF A CHIEF VASOCONSTRICTOR CENTER IN THE BRAIN: Studies in Vasomotor Reflex Arcs. IV within General Brain Science and Reviews.,high citation signal (17),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1152/AJPLEGACY.1916.42.1.1,f5512b67df84c1f111c8d73d27cf6f2256b688f0,https://doi.org/10.1152/AJPLEGACY.1916.42.1.1,,paper,unknown,brain; brain in title,
