rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,openAccessPdf,githubUrl,workType,language,relevanceReason,abstract
1,1965,"BLOCKADE OF ENDOGENOUS NOREPINEPHRINE SYNTHESIS BY ALPHA-METHYL-TYROSINE, AN INHIBITOR OF TYROSINE HYDROXYLASE.","S. Spector, A. Sjoerdsma, S. Udenfriend",Journal of Pharmacology and Experimental Therapeutics,1965-01-01,846,3,124.55,General Brain Science and Reviews,non-human,"Repeated administration of the tyrosine hydroxylase inhibitor, α-methyl-tyrosine to guinea pigs decreased catecholamine levels in brain stem, caudate nucleus, heart and spleen to undetectable levels.",high citation signal (846),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1016/s0022-3565(25)26954-3,2c48cd2b8203249aae912db146884d3806d1c3a4,https://doi.org/10.1016/s0022-3565(25)26954-3,,,JournalArticle,unknown,brain,"Repeated administration of the tyrosine hydroxylase inhibitor, α-methyl-tyrosine to guinea pigs decreased catecholamine levels in brain stem, caudate nucleus, heart and spleen to undetectable levels. Serotonin was unaffected. That the catecholamine decrease was a consequence of inhibition of tyrosine hydroxylase was shown by the following: tissue concentrations of norepinephrine failed to rise following monoamine oxidase inhibition and decarboxylase inhibitors failed to block the α-methyl-tyrosine effect; the conversion of tyrosine-C14 to norepinephrine was inhibited whereas that from dopa-H3 was not; and there was a normal uptake of exogenous norepinephrine by heart and spleen in animals pretreated with α-methyl-tyrosine. Preliminary studies of the pharmacologic consequences of blockade of norepinephrine synthesis indicate impairment of motor activity and mild sedation in cats and guinea pigs and a reduction of the tyramine and norepinephrine pressor responses in guinea pigs and rats."
2,1965,"Lipid composition of the normal human brain: gray matter, white matter, and myelin.","J. O'brien, E. L. Sampson",Journal of Lipid Research,1965-10-01,779,22,129.07,General Brain Science and Reviews,human,"Positions Lipid composition of the normal human brain: gray matter, white matter, and myelin. within General Brain Science and Reviews.",high citation signal (779); human evidence signal,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",,bf5508b3da65da47f0d99e367f5281bf986b5713,https://www.semanticscholar.org/paper/bf5508b3da65da47f0d99e367f5281bf986b5713,,,JournalArticle,unknown,brain; brain in title,
3,1965,The migration of neuroblasts in the developing cerebral cortex.,"M. Berry, A. W. Rogers",Journal of Anatomy,1965-10-01,701,14,129.17,General Brain Science and Reviews,non-human,Positions The migration of neuroblasts in the developing cerebral cortex. within General Brain Science and Reviews.,high citation signal (701),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",,b477f019e55756b86b2c56983bdb06fa3f6176d0,https://www.semanticscholar.org/paper/b477f019e55756b86b2c56983bdb06fa3f6176d0,,,JournalArticle,unknown,cerebral; cortex; neuroscience term,
4,1965,Brain Mechanisms and Intelligence: A Quantitative Study of Injuries to the Brain,K. Lashley,Unknown venue,1965-04-01,587,10,126.98,General Brain Science and Reviews,non-human,and the various theories of antibody production are discussed and critically reviewed.,high citation signal (587); open-access PDF metadata,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1037/10017-000,c2773f1957953e0edfba12f3e5be96911de37ac5,https://doi.org/10.1037/10017-000,http://hdl.handle.net/2027/uiug.30112000476660,,Review,unknown,brain; brain in title,"and the various theories of antibody production are discussed and critically reviewed. The chapters on virus diseases have been extensively rewritten. One valuable feature of ""Topley and Wilson"" has always been its extensive bibliography; anyone proposing to make an intensive study of any particular aspect of bacteriology or immunity is well advised to consult the bibliography to orientate his reading usefully. In this edition the bibliography is extensive and up to date. To sum up, the possession of the new edition of ""Topley and Wilson"" is a necessity for all laboratories concerned with bacteriology and immunology. There is no other textbook to compare with it."
5,1965,"COMPARISON OF SUBCORTICAL, CORTICAL AND SCALP ACTIVITY USING CHRONICALLY INDWELLING ELECTRODES IN MAN.","R. Cooper, A. Winter, H. J. Crow, W. Walter",Electroencephalography and Clinical Neurophysiology,1965-02-01,566,13,118.53,"EEG, MEG, and Electrophysiology",EEG;human,"Positions COMPARISON OF SUBCORTICAL, CORTICAL AND SCALP ACTIVITY USING CHRONICALLY INDWELLING ELECTRODES IN MAN. within EEG, MEG, and Electrophysiology.",high citation signal (566); human evidence signal,"Low signal-to-noise ratio, artifacts, and source-localization uncertainty complicate interpretation.; Many studies rely on controlled tasks and may not generalize to everyday behavior or clinical monitoring.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1016/0013-4694(65)90088-X,5df2355ed0ca3c9829a05bf56c5db000db1d562f,https://doi.org/10.1016/0013-4694(65)90088-X,,,JournalArticle,unknown,cortical,
6,1965,Effect of alterations in the arterial carbon dioxide tension on the blood flow through the cerebral cortex at normal and low arterial blood pressures.,"A. Harper, H. I. Glass, L. Orkin",Journal of Neurology Neurosurgery & Psychiatry,1965-10-01,558,24,140.07,Clinical Neurology and Neurodegeneration,non-human,Positions Effect of alterations in the arterial carbon dioxide tension on the blood flow through the cerebral cortex at normal and low arterial blood pressures. within Clinical Neurology and Neurodegeneration.,high citation signal (558); recognized venue; open-access PDF metadata,"Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1136/jnnp.28.5.449,298aa90f13652d8b02dafb5f9eef556f9d907f48,https://doi.org/10.1136/jnnp.28.5.449,https://jnnp.bmj.com/content/jnnp/28/5/449.full.pdf,,JournalArticle,unknown,cerebral; cortex; neuroscience term,
7,1965,"Visually-guided maze learning in man: effects of bilateral hippocampal, bilateral frontal, and unilateral cerebral lesions",B. Milner,Unknown venue,1965-11-01,555,24,115.77,Cognitive and Systems Neuroscience,,"Positions Visually-guided maze learning in man: effects of bilateral hippocampal, bilateral frontal, and unilateral cerebral lesions within Cognitive and Systems Neuroscience.",high citation signal (555),"Task designs can simplify cognition enough that ecological validity becomes uncertain.; Cross-species alignment between circuits, behavior, and subjective experience remains imperfect.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1016/0028-3932(65)90005-9,66a3ce58895d8ddab293e2412eb7616555f867f7,https://doi.org/10.1016/0028-3932(65)90005-9,,,paper,unknown,cerebral,
8,1965,Evidence for the existence of monoamine neurons in the central nervous system,K. Fuxe,Zeitschrift für Zellforschung und Mikroskopische Anatomie,1965-02-09,539,15,121.25,"Cellular, Molecular, and Synaptic Neuroscience",,"Positions Evidence for the existence of monoamine neurons in the central nervous system within Cellular, Molecular, and Synaptic Neuroscience.",high citation signal (539),"Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1007/BF00337069,8c2dc3ddfe995ff82c879d9f8b6f67201246fabc,https://doi.org/10.1007/BF00337069,,,JournalArticle,unknown,neuron; neuroscience term,
9,1965,Post-Natal Origin of Microneurones in the Rat Brain,"J. Altman, G. D. Das",Nature,1965-08-28,510,12,141.45,"Cellular, Molecular, and Synaptic Neuroscience",non-human,"Positions Post-Natal Origin of Microneurones in the Rat Brain within Cellular, Molecular, and Synaptic Neuroscience.",high citation signal (510); recognized venue,"Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1038/207953A0,0fdaf6edefe310f0b220f8400b6726bcccc2f6e6,https://doi.org/10.1038/207953A0,,,JournalArticle,unknown,brain; neuron; brain in title; neuroscience term,
10,1965,"SUBCELLULAR DISTRIBUTION OF THE ENZYMES OF THE GLUTAMIC ACID, GLUTAMINE AND γ-AMINOBUTYRIC ACID CYCLES IN RAT BRAIN *","L. Salganicoff, E. Robertis",Unknown venue,1965-04-01,499,2,121.06,General Brain Science and Reviews,non-human,"Positions SUBCELLULAR DISTRIBUTION OF THE ENZYMES OF THE GLUTAMIC ACID, GLUTAMINE AND γ-AMINOBUTYRIC ACID CYCLES IN RAT BRAIN * within General Brain Science and Reviews.",high citation signal (499),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1111/j.1471-4159.1965.tb06766.x,d8a9dacaea5061b609fac10d5b414c53e9a06e92,https://doi.org/10.1111/j.1471-4159.1965.tb06766.x,,,paper,unknown,brain; brain in title,
