rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,openAccessPdf,githubUrl,workType,language,relevanceReason,abstract
1,1952,Some psychiatric implications of physiological studies on frontotemporal portion of limbic system (visceral brain).,P. Maclean,Electroencephalography and Clinical Neurophysiology,1952-11-01,711,15,128.63,"EEG, MEG, and Electrophysiology",EEG;human,"Positions Some psychiatric implications of physiological studies on frontotemporal portion of limbic system (visceral brain). within EEG, MEG, and Electrophysiology.",high citation signal (711); human evidence signal,"Low signal-to-noise ratio, artifacts, and source-localization uncertainty complicate interpretation.; Many studies rely on controlled tasks and may not generalize to everyday behavior or clinical monitoring.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1016/0013-4694(52)90073-4,c8a2445bd6af3de5dabfb336fb6ec2d8ec48278d,https://doi.org/10.1016/0013-4694(52)90073-4,,,JournalArticle,unknown,brain; brain in title,
2,1952,Congenital familial nonhemolytic jaundice with kernicterus.,"J. Crigler, V. A. Najjar",Pediatrics,1952-08-01,499,6,116.26,Clinical Neurology and Neurodegeneration,human;non-human,Seven patients with congenital familial nonhemolytic jaundice with kernicterus are presented.,high citation signal (499); human evidence signal,"Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1542/peds.10.2.169,37ba0a0a263426a4fdbd8cac8d56b11d48870567,https://doi.org/10.1542/peds.10.2.169,,,JournalArticle,unknown,brain,"Seven patients with congenital familial nonhemolytic jaundice with kernicterus are presented. Six of these were hospitalized and studied. One was diagnosed by history. The abnormality appears to be genetically determined, being inherited most likely as a lethal recessive characteristic. The only abnormal laboratory findings are pronounced elevation of indirect serum bilirubin and delayed excretion of injected bilirubin. Pathologically, bile thrombi in the canaliculi were found in all patients studied, with very slight periportal fibrosis present in the liver sections from Cases 1, 5 and 6. In the single brain examined, Case 2, kernicterus was described. The prognosis is extremely poor, the patients generally dying in the first year of life. No therapeutic measures have been found helpful. The similarity to a previously described disease, familial nonhemolytic jaundice, is discussed."
3,1952,BRAIN METABOLISM AND CEREBRAL DISORDERS,M. Ostow,Ulster medical journal,1952-05-01,428,19,122.11,"Cerebrovascular, Metabolism, and Brain Injury",,"Positions BRAIN METABOLISM AND CEREBRAL DISORDERS within Cerebrovascular, Metabolism, and Brain Injury.",high citation signal (428); open-access PDF metadata,"Acute injury studies can be sensitive to timing, severity, comorbidity, and treatment heterogeneity.; Animal models may not capture human vascular risk, injury complexity, or rehabilitation context.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1176/ajp.108.11.878-a,b91e10e5e491308c7cf01d38a1a00225d99f1027,https://doi.org/10.1176/ajp.108.11.878-a,https://europepmc.org/articles/pmc1521040?pdf=render,,paper,unknown,brain; cerebral; brain in title,
4,1952,Book Review: Psychopathology and Education of the Brain-Injured Child,Unknown authors,Unknown venue,1952-10-01,408,0,124.25,"Brain Development, Plasticity, and Connectomics",,"Positions Book Review: Psychopathology and Education of the Brain-Injured Child within Brain Development, Plasticity, and Connectomics.",high citation signal (408); synthesis or review value,"Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1177/030802265201500413,f49da8642f101ad41f4821fef314c1766c1a570a,https://doi.org/10.1177/030802265201500413,,,Review,unknown,brain; brain in title,
5,1952,PHYSIOLOGY OF INSECT DIAPAUSE. IV. THE BRAIN AND PROTHORACIC GLANDS AS AN ENDOCRINE SYSTEM IN THE CECROPIA SILKWORM,Carroll M. Williams,Unknown venue,1952-08-01,338,5,118.27,"Brain Development, Plasticity, and Connectomics",human;stimulation,1. The pupation and adult development of the Cecropia silkworm are under the control of a hormonal system consisting of the brain and prothoracic glands.,high citation signal (338); open-access PDF metadata; human evidence signal,"Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.2307/1538411,a8e80ddbac10dc389ff0ff5618b120f0aecf3c77,https://doi.org/10.2307/1538411,https://www.biodiversitylibrary.org/partpdf/2318,,paper,unknown,brain; brain in title,"1. The pupation and adult development of the Cecropia silkworm are under the control of a hormonal system consisting of the brain and prothoracic glands. The adult development of the pupa is controlled by the same ""brain hormone"" and ""prothoracic gland hormone"" which, at an earlier stage in the life history, control the pupation of the larva.2. Though the brain gives leadership to the endocrine events that preside over pupation and adult development, it apparently does so by supplying a tropic hormonal stimulus for the prothoracic glands. The latter's ""growth and differentiation hormone,"" secreted under stimulation of the brain hormone, then reacts with the larval tissues to promote pupation or with the pupal tissues to promote adult development.3. The pupal diapause is a state of endocrine deficiency resulting from a temporary failure of the brain in secreting its tropic hormone following pupation. What the pupal tissues require is the prothoracic glands' growth and differentiation hormone. But this fact..."
6,1952,"Pharmacologic Dissociation of Behavior and EEG ""Sleep Patterns"" in Dogs",A. Wikler,Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine,1952-02-01,246,0,102.37,"EEG, MEG, and Electrophysiology",EEG,"Positions Pharmacologic Dissociation of Behavior and EEG ""Sleep Patterns"" in Dogs within EEG, MEG, and Electrophysiology.",high citation signal (246),"Low signal-to-noise ratio, artifacts, and source-localization uncertainty complicate interpretation.; Many studies rely on controlled tasks and may not generalize to everyday behavior or clinical monitoring.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.3181/00379727-79-19345,64c68ab605445d8241616cdf665126eb6b1931de,https://doi.org/10.3181/00379727-79-19345,,,JournalArticle,unknown,eeg,
7,1952,"FUNCTIONAL SIGNIFICANCE OF THE NEUROSECRETORY BRAIN CELLS AND THE CORPUS CARDIACUM IN THE FEMALE BLOW-FLY, CALLIPHORA ERYTHROCEPHALA MEIG",E. Thomsen,Unknown venue,1952-03-01,232,5,106.12,General Brain Science and Reviews,,"Positions FUNCTIONAL SIGNIFICANCE OF THE NEUROSECRETORY BRAIN CELLS AND THE CORPUS CARDIACUM IN THE FEMALE BLOW-FLY, CALLIPHORA ERYTHROCEPHALA MEIG within General Brain Science and Reviews.",high citation signal (232),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",,b78ed8d3567be529850bb57d215ac25143018d03,https://www.semanticscholar.org/paper/b78ed8d3567be529850bb57d215ac25143018d03,,,paper,unknown,brain; brain in title,
8,1952,An ascending reticular activating system in the brain stem.,H. Magoun,The Harvey lectures,1952-02-01,230,2,105.96,General Brain Science and Reviews,,Positions An ascending reticular activating system in the brain stem. within General Brain Science and Reviews.,high citation signal (230),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1001/ARCHNEURPSYC.1952.02320140013002,b5b775e89b6b76fa2eab7aafcd5ca9fb2de7f500,https://doi.org/10.1001/ARCHNEURPSYC.1952.02320140013002,,,JournalArticle,unknown,brain; brain in title,
9,1952,Disturbances of consciousness with lesions of the brain-stem and diencephalon.,H. Cairns,Brain : a journal of neurology,1952-06-01,196,1,115.1,Clinical Neurology and Neurodegeneration,,Positions Disturbances of consciousness with lesions of the brain-stem and diencephalon. within Clinical Neurology and Neurodegeneration.,high citation signal (196); recognized venue,"Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1093/BRAIN/75.2.109,a29a3b70e010bd8c01ab4309061c34631a7189a8,https://doi.org/10.1093/BRAIN/75.2.109,,,JournalArticle,unknown,brain; brain in title,
10,1952,In vivo Inhibition of Liver and Brain Monoamine Oxidase by 1-Isonicotinyl-2-Isopropyl Hydrazine.∗,"E. Zeller, J. Barsky",Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine,1952-11-01,194,1,102.91,General Brain Science and Reviews,,Positions In vivo Inhibition of Liver and Brain Monoamine Oxidase by 1-Isonicotinyl-2-Isopropyl Hydrazine.∗ within General Brain Science and Reviews.,high citation signal (194),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.3181/00379727-81-19910,62d4c87c6dd98c03ccbf2b60d852fa378c4c35dd,https://doi.org/10.3181/00379727-81-19910,,,JournalArticle,unknown,brain; brain in title,
