rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,openAccessPdf,workType,language,relevanceReason,abstract
1,2018,The UK Biobank resource with deep phenotyping and genomic data,"Clare Bycroft, C. Freeman, D. Petkova, G. Band, L. Elliott, Kevin Sharp, et al.",Nature,2018-10-01,7629,734,179.12,"Brain Development, Plasticity, and Connectomics",human,"The UK Biobank project is a prospective cohort study with deep genetic and phenotypic data collected on approximately 500,000 individuals from across the United Kingdom, aged between 40 and 69 at recruitment.","high citation signal (7,629); recognized venue; open-access PDF metadata; human evidence signal","Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1038/s41586-018-0579-z,a9cc79a5df0f7802145401b464e4bb30c23b8efa,https://doi.org/10.1038/s41586-018-0579-z,https://www.nature.com/articles/s41586-018-0579-z.pdf,JournalArticle,unknown,brain,"The UK Biobank project is a prospective cohort study with deep genetic and phenotypic data collected on approximately 500,000 individuals from across the United Kingdom, aged between 40 and 69 at recruitment. The open resource is unique in its size and scope. A rich variety of phenotypic and health-related information is available on each participant, including biological measurements, lifestyle indicators, biomarkers in blood and urine, and imaging of the body and brain. Follow-up information is provided by linking health and medical records. Genome-wide genotype data have been collected on all participants, providing many opportunities for the discovery of new genetic associations and the genetic bases of complex traits. Here we describe the centralized analysis of the genetic data, including genotype quality, properties of population structure and relatedness of the genetic data, and efficient phasing and genotype imputation that increases the number of testable variants to around 96 million. Classical allelic variation at 11 human leukocyte antigen genes was imputed, resulting in the recovery of signals with known associations between human leukocyte antigen alleles and many diseases. Deep phenotype and genome-wide genetic data from 500,000 individuals from the UK Biobank, describing population structure and relatedness in the cohort, and imputation to increase the number of testable variants to 96 million."
2,2018,"Global surveillance of trends in cancer survival: analysis of individual records for 37,513,025 patients diagnosed with one of 18 cancers during 2000-2014 from 322 population-based registries in 71 countries (CONCORD-3)","C. Allemani, T. Matsuda, V. D. Carlo, R. Harewood, M. Matz, M. Nikšić, et al.",The Lancet,2018-01-31,4127,169,173.66,"EEG, MEG, and Electrophysiology",EEG;ECoG;human;non-human,"Background In 2015, the second cycle of the CONCORD programme established global surveillance of cancer survival, as a metric of the effectiveness of health systems and to inform global policy on cancer control.","high citation signal (4,127); recognized venue; open-access PDF metadata; human evidence signal","Low signal-to-noise ratio, artifacts, and source-localization uncertainty complicate interpretation.; Many studies rely on controlled tasks and may not generalize to everyday behavior or clinical monitoring.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1016/S0140-6736(17)33326-3,8d2df9e7f08a76b779ad38d101af0a0f5526e981,https://doi.org/10.1016/S0140-6736(17)33326-3,https://www.um.edu.mt/library/oar/bitstream/123456789/60465/1/Global_surveillance_of_trends_in_cancer_survival_2000%e2%80%9314_CONCORD-3_analysis_2018.pdf,JournalArticle,unknown,brain; ecog,"Background In 2015, the second cycle of the CONCORD programme established global surveillance of cancer survival, as a metric of the effectiveness of health systems and to inform global policy on cancer control. Methods CONCORD-3 updates the world-wide surveillance of cancer survival to 2014, with individual data for 37.5 million patients diagnosed with cancer during the 15-year period 2000-2014. Data were provided by 322 population-based cancer registries in 71 countries and territories, of which 47 provided data with 100% population coverage. The study includes 18 cancers or groups of cancers: oesophagus, stomach, colon, rectum, liver, pancreas, lung, breast (women), cervix, ovary, prostate and melanoma of the skin in adults, and brain tumours, leukaemias and lymphomas in both adults and children. Standardised quality control procedures were applied; errors were rectified by the registry concerned. We estimated five-year net survival. Estimates were age-standardised with the International Cancer Survival Standard weights. Findings For most cancers, five-year net survival remains among the highest in the world in the US and Canada, in Australia and New Zealand, and in Finland, Iceland, Norway and Sweden. For many cancers, Denmark is closing the survival gap with the other Nordic countries. Survival trends are generally increasing, even for some of the more lethal cancers: in some countries, survival has increased by up to 5% for cancers of the liver, pancreas and lung. For women diagnosed during 2010-2014, the predicted five-year survival for breast cancer is now close to 90% in the US and in Australia, but international differences remain very wide, with levels as low as 40% in South Africa. For gastrointestinal cancers, the highest levels of five-year survival are seen in South-East Asia, in Korea for cancers of the stomach (69%), colon (72%) and rectum (71%), in Japan for oesophageal cancer (36%) and in Taiwan for liver cancer (28%). By contrast, in the same world region, survival is generally lower than elsewhere for melanoma of the skin (60% in Korea, 52% in Taiwan, 50% in China), and for both lymphoid malignancies (53% in Korea, 51% in Taiwan, 38% in China) and myeloid malignancies (46% in Korea, 33% in Taiwan, 25% in China). For children diagnosed during 2010-2014, five-year survival for acute lymphoblastic leukaemia ranged from 66% in Thailand to 95% in Finland. Five-year survival from brain tumours in children is higher than for adults, and the global range is very wide (from 45% in Thailand to 80% in Sweden and Denmark). Interpretation The CONCORD programme enables timely comparisons of the overall effectiveness of health systems in providing care for 18 cancers that collectively represent 75% of all cancers diagnosed world-wide every year. It contributes to the evidence base for global policy on cancer control. From 2017, the Organisation for Economic Co-operation and Development will use findings from the CONCORD programme as the official benchmark of cancer survival, among their indicators of the quality of health care in 48 countries world-wide. It is crucial for governments to recognise population-based cancer registries as key policy tools that can be used to evaluate both the impact of cancer prevention strategies and the effectiveness of health systems for all patients diagnosed with cancer."
3,2018,Thrombectomy for Stroke at 6 to 16 Hours with Selection by Perfusion Imaging,"G. Albers, M. Marks, S. Kemp, S. Christensen, J. Tsai, Santiago Ortega-Gutierrez, et al.",New England Journal of Medicine,2018-01-24,4082,171,159.06,Clinical Neurology and Neurodegeneration,human;non-human,Background Thrombectomy is currently recommended for eligible patients with stroke who are treated within 6 hours after the onset of symptoms.,"high citation signal (4,082); open-access PDF metadata; human evidence signal","Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1056/NEJMoa1713973,ebb91cd38fecfe1b51160c0322d35219ba7d47f6,https://doi.org/10.1056/NEJMoa1713973,https://www.nejm.org/doi/pdf/10.1056/NEJMoa1713973?articleTools=true,Study; JournalArticle,unknown,brain; cerebral,"Background Thrombectomy is currently recommended for eligible patients with stroke who are treated within 6 hours after the onset of symptoms. Methods We conducted a multicenter, randomized, open-label trial, with blinded outcome assessment, of thrombectomy in patients 6 to 16 hours after they were last known to be well and who had remaining ischemic brain tissue that was not yet infarcted. Patients with proximal middle-cerebral-artery or internal-carotid-artery occlusion, an initial infarct size of less than 70 ml, and a ratio of the volume of ischemic tissue on perfusion imaging to infarct volume of 1.8 or more were randomly assigned to endovascular therapy (thrombectomy) plus standard medical therapy (endovascular-therapy group) or standard medical therapy alone (medical-therapy group). The primary outcome was the ordinal score on the modified Rankin scale (range, 0 to 6, with higher scores indicating greater disability) at day 90. Results The trial was conducted at 38 U.S. centers and terminated early for efficacy after 182 patients had undergone randomization (92 to the endovascular-therapy group and 90 to the medical-therapy group). Endovascular therapy plus medical therapy, as compared with medical therapy alone, was associated with a favorable shift in the distribution of functional outcomes on the modified Rankin scale at 90 days (odds ratio, 2.77; P<0.001) and a higher percentage of patients who were functionally independent, defined as a score on the modified Rankin scale of 0 to 2 (45% vs. 17%, P<0.001). The 90-day mortality rate was 14% in the endovascular-therapy group and 26% in the medical-therapy group (P=0.05), and there was no significant between-group difference in the frequency of symptomatic intracranial hemorrhage (7% and 4%, respectively; P=0.75) or of serious adverse events (43% and 53%, respectively; P=0.18). Conclusions Endovascular thrombectomy for ischemic stroke 6 to 16 hours after a patient was last known to be well plus standard medical therapy resulted in better functional outcomes than standard medical therapy alone among patients with proximal middle-cerebral-artery or internal-carotid-artery occlusion and a region of tissue that was ischemic but not yet infarcted. (Funded by the National Institute of Neurological Disorders and Stroke; DEFUSE 3 ClinicalTrials.gov number, NCT02586415.)"
4,2018,RNA velocity of single cells,"G. L. Manno, Ruslan A. Soldatov, Amit Zeisel, Emelie Braun, Hannah Hochgerner, Viktor Petukhov, et al.",Nature,2018-08-01,3543,223,177.71,"Cellular, Molecular, and Synaptic Neuroscience",single-cell;human;non-human,RNA abundance is a powerful indicator of the state of individual cells.,"high citation signal (3,543); recognized venue; open-access PDF metadata; human evidence signal","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1038/s41586-018-0414-6,b6116e1d2c16e435b1b236c2e6ff0735551f91de,https://doi.org/10.1038/s41586-018-0414-6,https://europepmc.org/articles/pmc6130801,Study; JournalArticle,unknown,brain; neural; hippocampus; neuroscience term,"RNA abundance is a powerful indicator of the state of individual cells. Single-cell RNA sequencing can reveal RNA abundance with high quantitative accuracy, sensitivity and throughput1. However, this approach captures only a static snapshot at a point in time, posing a challenge for the analysis of time-resolved phenomena such as embryogenesis or tissue regeneration. Here we show that RNA velocity-the time derivative of the gene expression state-can be directly estimated by distinguishing between unspliced and spliced mRNAs in common single-cell RNA sequencing protocols. RNA velocity is a high-dimensional vector that predicts the future state of individual cells on a timescale of hours. We validate its accuracy in the neural crest lineage, demonstrate its use on multiple published datasets and technical platforms, reveal the branching lineage tree of the developing mouse hippocampus, and examine the kinetics of transcription in human embryonic brain. We expect RNA velocity to greatly aid the analysis of developmental lineages and cellular dynamics, particularly in humans. RNA velocity, estimated in single cells by comparison of spliced and unspliced mRNA, is a good indicator of transcriptome dynamics and will provide a useful tool for analysis of developmental lineage."
5,2018,In situ immune response and mechanisms of cell damage in central nervous system of fatal cases microcephaly by Zika virus,"R. Azevedo, J. R. de Sousa, M. T. Araújo, A. J. Martins Filho, B. N. de Alcântara, Fernanda M C Araújo, et al.",Scientific Reports,2018-01-08,2582,3,161.62,"Cellular, Molecular, and Synaptic Neuroscience",non-human,"Zika virus (ZIKV) has recently caused a pandemic disease, and many cases of ZIKV infection in pregnant women resulted in abortion, stillbirth, deaths and congenital defects including microcephaly, which now has been proposed as ZIKV congenital syndrome.","high citation signal (2,582); open-access PDF metadata","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1038/s41598-017-17765-5,e9e36d0c726216f8da64d79990a9183a2821c6e1,https://doi.org/10.1038/s41598-017-17765-5,https://www.nature.com/articles/s41598-017-17765-5.pdf,JournalArticle,unknown,brain; neuron; neural; glia; microglia; neuroscience term,"Zika virus (ZIKV) has recently caused a pandemic disease, and many cases of ZIKV infection in pregnant women resulted in abortion, stillbirth, deaths and congenital defects including microcephaly, which now has been proposed as ZIKV congenital syndrome. This study aimed to investigate the in situ immune response profile and mechanisms of neuronal cell damage in fatal Zika microcephaly cases. Brain tissue samples were collected from 15 cases, including 10 microcephalic ZIKV-positive neonates with fatal outcome and five neonatal control flavivirus-negative neonates that died due to other causes, but with preserved central nervous system (CNS) architecture. In microcephaly cases, the histopathological features of the tissue samples were characterized in three CNS areas (meninges, perivascular space, and parenchyma). The changes found were mainly calcification, necrosis, neuronophagy, gliosis, microglial nodules, and inflammatory infiltration of mononuclear cells. The in situ immune response against ZIKV in the CNS of newborns is complex. Despite the predominant expression of Th2 cytokines, other cytokines such as Th1, Th17, Treg, Th9, and Th22 are involved to a lesser extent, but are still likely to participate in the immunopathogenic mechanisms of neural disease in fatal cases of microcephaly caused by ZIKV."
6,2018,Blood-brain barrier breakdown in Alzheimer's disease and other neurodegenerative disorders,"Melanie D. Sweeney, A. Sagare, B. Zlokovic",Nature Reviews Neurology,2018-01-29,2564,84,177.89,Clinical Neurology and Neurodegeneration,human;non-human;connectome,The blood-brain barrier (BBB) is a continuous endothelial membrane within brain microvessels that has sealed cell-to-cell contacts and is sheathed by mural vascular cells and perivascular astrocyte end-feet.,"high citation signal (2,564); recognized venue; open-access PDF metadata; human evidence signal","Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1038/nrneurol.2017.188,4d92c092b2819e1ed90219e4dbb45c7fe3d87806,https://doi.org/10.1038/nrneurol.2017.188,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5829048,Review; JournalArticle,unknown,brain; neuron; neuroimaging; brain in title; neuroscience term,"The blood-brain barrier (BBB) is a continuous endothelial membrane within brain microvessels that has sealed cell-to-cell contacts and is sheathed by mural vascular cells and perivascular astrocyte end-feet. The BBB protects neurons from factors present in the systemic circulation and maintains the highly regulated CNS internal milieu, which is required for proper synaptic and neuronal functioning. BBB disruption allows influx into the brain of neurotoxic blood-derived debris, cells and microbial pathogens and is associated with inflammatory and immune responses, which can initiate multiple pathways of neurodegeneration. This Review discusses neuroimaging studies in the living human brain and post-mortem tissue as well as biomarker studies demonstrating BBB breakdown in Alzheimer disease, Parkinson disease, Huntington disease, amyotrophic lateral sclerosis, multiple sclerosis, HIV-1-associated dementia and chronic traumatic encephalopathy. The pathogenic mechanisms by which BBB breakdown leads to neuronal injury, synaptic dysfunction, loss of neuronal connectivity and neurodegeneration are described. The importance of a healthy BBB for therapeutic drug delivery and the adverse effects of disease-initiated, pathological BBB breakdown in relation to brain delivery of neuropharmaceuticals are briefly discussed. Finally, future directions, gaps in the field and opportunities to control the course of neurological diseases by targeting the BBB are presented."
7,2018,Gene discovery and polygenic prediction from a 1.1-million-person GWAS of educational attainment,"James J. Lee, Robbee Wedow, A. Okbay, E. Kong, Omeed Maghzian, Meghan Zacher, et al.",Nature Genetics,2018-07-23,2154,177,164.36,"Cellular, Molecular, and Synaptic Neuroscience",non-human,"Here we conducted a large-scale genetic association analysis of educational attainment in a sample of approximately 1.1 million individuals and identify 1,271 independent genome-wide-significant SNPs.","high citation signal (2,154); recognized venue; open-access PDF metadata","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1038/s41588-018-0147-3,d49aaa352d4d714f564ea6d8f79b51f558f42ef9,https://doi.org/10.1038/s41588-018-0147-3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6393768,MetaAnalysis; JournalArticle,unknown,brain; neuron; neuroscience term,"Here we conducted a large-scale genetic association analysis of educational attainment in a sample of approximately 1.1 million individuals and identify 1,271 independent genome-wide-significant SNPs. For the SNPs taken together, we found evidence of heterogeneous effects across environments. The SNPs implicate genes involved in brain-development processes and neuron-to-neuron communication. In a separate analysis of the X chromosome, we identify 10 independent genome-wide-significant SNPs and estimate a SNP heritability of around 0.3% in both men and women, consistent with partial dosage compensation. A joint (multi-phenotype) analysis of educational attainment and three related cognitive phenotypes generates polygenic scores that explain 11-13% of the variance in educational attainment and 7-10% of the variance in cognitive performance. This prediction accuracy substantially increases the utility of polygenic scores as tools in research. Gene discovery and polygenic predictions from a genome-wide association study of educational attainment in 1.1 million individuals."
8,2018,CBTRUS Statistical Report: Primary Brain and Other Central Nervous System Tumors Diagnosed in the United States in 2011-2015.,"Q. Ostrom, H. Gittleman, Gabrielle Truitt, Alexander L. Boscia, C. Kruchko, J. Barnholtz-Sloan",Neuro-Oncology,2018-10-01,2102,116,148.72,General Brain Science and Reviews,,Positions CBTRUS Statistical Report: Primary Brain and Other Central Nervous System Tumors Diagnosed in the United States in 2011-2015. within General Brain Science and Reviews.,"high citation signal (2,102); open-access PDF metadata","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1093/neuonc/noy131,79935d69e799e01d46e1871888bc7c775ea63d92,https://doi.org/10.1093/neuonc/noy131,https://academic.oup.com/neuro-oncology/article-pdf/20/suppl_4/iv1/26608165/noy131.pdf,JournalArticle,unknown,brain; brain in title,
9,2018,The Adolescent Brain Cognitive Development (ABCD) study: Imaging acquisition across 21 sites,"B. J. Casey, T. Cannonier, M. Conley, Alexandra O Cohen, D. Barch, M. Heitzeg, et al.",Developmental Cognitive Neuroscience,2018-03-14,2077,234,162.9,"Brain Development, Plasticity, and Connectomics",human;non-human,"The ABCD study is recruiting and following the brain development and health of over 10,000 9-10 year olds through adolescence.","high citation signal (2,077); recognized venue; open-access PDF metadata; human evidence signal","Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1016/j.dcn.2018.03.001,abeb5bc02ea3f80b67cf58e3e290448af38933e5,https://doi.org/10.1016/j.dcn.2018.03.001,https://doi.org/10.1016/j.dcn.2018.03.001,Review; Study; JournalArticle,unknown,brain; brain in title,"The ABCD study is recruiting and following the brain development and health of over 10,000 9-10 year olds through adolescence. The imaging component of the study was developed by the ABCD Data Analysis and Informatics Center (DAIC) and the ABCD Imaging Acquisition Workgroup. Imaging methods and assessments were selected, optimized and harmonized across all 21 sites to measure brain structure and function relevant to adolescent development and addiction. This article provides an overview of the imaging procedures of the ABCD study, the basis for their selection and preliminary quality assurance and results that provide evidence for the feasibility and age-appropriateness of procedures and generalizability of findings to the existent literature."
10,2018,"Identifying the Best Machine Learning Algorithms for Brain Tumor Segmentation, Progression Assessment, and Overall Survival Prediction in the BRATS Challenge","S. Bakas, M. Reyes, A. Jakab, S. Bauer, M. Rempfler, Alessandro Crimi, et al.",arXiv.org,2018-11-05,2000,93,150.43,Neuroimaging and Brain Mapping,MRI;human;non-human,"Gliomas are the most common primary brain malignancies, with different degrees of aggressiveness, variable prognosis and various heterogeneous histologic sub-regions, i.e., peritumoral edematous/invaded tissue, necrotic core, active and non-enhancing core.","high citation signal (2,000); human evidence signal","Scanner, protocol, site, and preprocessing variation can limit reproducibility across cohorts.; Associational imaging biomarkers often need stronger longitudinal or intervention evidence before causal claims are made.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.17863/CAM.38755,2cebf0212380f83b7171fb5660f842c8d7043f60,https://doi.org/10.17863/CAM.38755,,JournalArticle,unknown,brain; mri; brain in title,"Gliomas are the most common primary brain malignancies, with different degrees of aggressiveness, variable prognosis and various heterogeneous histologic sub-regions, i.e., peritumoral edematous/invaded tissue, necrotic core, active and non-enhancing core. This intrinsic heterogeneity is also portrayed in their radio-phenotype, as their sub-regions are depicted by varying intensity profiles disseminated across multi-parametric magnetic resonance imaging (mpMRI) scans, reflecting varying biological properties. Their heterogeneous shape, extent, and location are some of the factors that make these tumors difficult to resect, and in some cases inoperable. The amount of resected tumoris a factor also considered in longitudinal scans, when evaluating the apparent tumor for potential diagnosis of progression. Furthermore, there is mounting evidence that accurate segmentation of the various tumor sub-regions can offer the basis for quantitative image analysis towards prediction of patient overall survival. This study assesses thestate-of-the-art machine learning (ML) methods used for brain tumor image analysis in mpMRI scans, during the last seven instances of the International Brain Tumor Segmentation (BraTS) challenge, i.e., 2012-2018. Specifically, we focus on i) evaluating segmentations of the various glioma sub-regions in pre-operative mpMRI scans, ii) assessing potential tumor progression by virtue of longitudinal growth of tumor sub-regions, beyond use of the RECIST/RANO criteria, and iii) predicting the overall survival from pre-operative mpMRI scans of patients that underwent gross tota lresection. Finally, we investigate the challenge of identifying the best ML algorithms for each of these tasks, considering that apart from being diverse on each instance of the challenge, the multi-institutional mpMRI BraTS dataset has also been a continuously evolving/growing dataset."
