rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,openAccessPdf,githubUrl,workType,language,relevanceReason,abstract
1,2019,The Microbiota-Gut-Brain Axis.,"J. Cryan, Kenneth J. O'Riordan, C. Cowan, K. Sandhu, T. Bastiaanssen, Marcus Boehme, et al.",Physiological Reviews,2019-10-01,3426,123,165.91,"Brain Development, Plasticity, and Connectomics",human;non-human,The importance of the gut-brain axis in maintaining homeostasis has long been appreciated.,"high citation signal (3,426); open-access PDF metadata; human evidence signal","Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1152/physrev.00018.2018,2eab14181e1fa161d6cdc041e87a8427305c995a,https://doi.org/10.1152/physrev.00018.2018,https://cora.ucc.ie/bitstreams/a996f5fe-ef28-4be6-94ab-14a45e3057d2/download,,JournalArticle,unknown,brain; neural; glia; microglia; brain in title,"The importance of the gut-brain axis in maintaining homeostasis has long been appreciated. However, the past 15 yr have seen the emergence of the microbiota (the trillions of microorganisms within and on our bodies) as one of the key regulators of gut-brain function and has led to the appreciation of the importance of a distinct microbiota-gut-brain axis. This axis is gaining ever more traction in fields investigating the biological and physiological basis of psychiatric, neurodevelopmental, age-related, and neurodegenerative disorders. The microbiota and the brain communicate with each other via various routes including the immune system, tryptophan metabolism, the vagus nerve and the enteric nervous system, involving microbial metabolites such as short-chain fatty acids, branched chain amino acids, and peptidoglycans. Many factors can influence microbiota composition in early life, including infection, mode of birth delivery, use of antibiotic medications, the nature of nutritional provision, environmental stressors, and host genetics. At the other extreme of life, microbial diversity diminishes with aging. Stress, in particular, can significantly impact the microbiota-gut-brain axis at all stages of life. Much recent work has implicated the gut microbiota in many conditions including autism, anxiety, obesity, schizophrenia, Parkinson's disease, and Alzheimer's disease. Animal models have been paramount in linking the regulation of fundamental neural processes, such as neurogenesis and myelination, to microbiome activation of microglia. Moreover, translational human studies are ongoing and will greatly enhance the field. Future studies will focus on understanding the mechanisms underlying the microbiota-gut-brain axis and attempt to elucidate microbial-based intervention and therapeutic strategies for neuropsychiatric disorders."
2,2019,"MRtrix3: A fast, flexible and open software framework for medical image processing and visualisation","Jacques-Donald Tournier, R. Smith, D. Raffelt, R. Tabbara, T. Dhollander, Maximilian Pietsch, et al.",bioRxiv,2019-02-15,2762,357,150.83,General Brain Science and Reviews,MRI,"MRtrix3 is an open-source, cross-platform software package for medical image processing, analysis and visualization, with a particular emphasis on the investigation of the brain using diffusion MRI.","high citation signal (2,762); open-access PDF metadata","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",10.1101/551739,d56df2f7eb519f57ee01f2e53bfde5fd527f40bc,https://doi.org/10.1101/551739,https://repository.uantwerpen.be/docman/irua/15015e/163424.pdf,,Review; JournalArticle,unknown,brain; mri,"MRtrix3 is an open-source, cross-platform software package for medical image processing, analysis and visualization, with a particular emphasis on the investigation of the brain using diffusion MRI. It is implemented using a fast, modular and flexible general-purpose code framework for image data access and manipulation, enabling efficient development of new applications, whilst retaining high computational performance and a consistent command-line interface between applications. In this article, we provide a high-level overview of the features of the MRtrix3 framework and general-purpose image processing applications provided with the software."
3,2019,The role of short-chain fatty acids in microbiota-gut-brain communication,"B. Dalile, L. Van Oudenhove, B. Vervliet, K. Verbeke",Nature reviews: Gastroenterology & hepatology,2019-05-23,2724,96,162.38,General Brain Science and Reviews,,Positions The role of short-chain fatty acids in microbiota-gut-brain communication within General Brain Science and Reviews.,"high citation signal (2,724); recognized venue","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1038/s41575-019-0157-3,7e4ed16f3ce55dfd717da71ac0dce3281339eda3,https://doi.org/10.1038/s41575-019-0157-3,,,Review; JournalArticle,unknown,brain; brain in title,
4,2019,Estimating the global incidence of traumatic brain injury.,"M. Dewan, A. Rattani, Saksham Gupta, R. Baticulon, Ya-Ching Hung, Maria Punchak, et al.",Journal of Neurosurgery,2019-04-01,2580,127,153.61,General Brain Science and Reviews,non-human,"OBJECTIVETraumatic brain injury (TBI)-the ""silent epidemic""-contributes to worldwide death and disability more than any other traumatic insult.","high citation signal (2,580); open-access PDF metadata","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.3171/2017.10.JNS17352,39d8675e119b3d35156b37d572c9653776cd9564,https://doi.org/10.3171/2017.10.JNS17352,https://thejns.org/downloadpdf/journals/j-neurosurg/130/4/article-p1080.pdf,,JournalArticle; Review,unknown,brain; brain in title,"OBJECTIVETraumatic brain injury (TBI)-the ""silent epidemic""-contributes to worldwide death and disability more than any other traumatic insult. Yet, TBI incidence and distribution across regions and socioeconomic divides remain unknown. In an effort to promote advocacy, understanding, and targeted intervention, the authors sought to quantify the case burden of TBI across World Health Organization (WHO) regions and World Bank (WB) income groups.METHODSOpen-source epidemiological data on road traffic injuries (RTIs) were used to model the incidence of TBI using literature-derived ratios. First, a systematic review on the proportion of RTIs resulting in TBI was conducted, and a meta-analysis of study-derived proportions was performed. Next, a separate systematic review identified primary source studies describing mechanisms of injury contributing to TBI, and an additional meta-analysis yielded a proportion of TBI that is secondary to the mechanism of RTI. Then, the incidence of RTI as published by the Global Burden of Disease Study 2015 was applied to these two ratios to generate the incidence and estimated case volume of TBI for each WHO region and WB income group.RESULTSRelevant articles and registries were identified via systematic review; study quality was higher in the high-income countries (HICs) than in the low- and middle-income countries (LMICs). Sixty-nine million (95% CI 64-74 million) individuals worldwide are estimated to sustain a TBI each year. The proportion of TBIs resulting from road traffic collisions was greatest in Africa and Southeast Asia (both 56%) and lowest in North America (25%). The incidence of RTI was similar in Southeast Asia (1.5% of the population per year) and Europe (1.2%). The overall incidence of TBI per 100,000 people was greatest in North America (1299 cases, 95% CI 650-1947) and Europe (1012 cases, 95% CI 911-1113) and least in Africa (801 cases, 95% CI 732-871) and the Eastern Mediterranean (897 cases, 95% CI 771-1023). The LMICs experience nearly 3 times more cases of TBI proportionally than HICs.CONCLUSIONSSixty-nine million (95% CI 64-74 million) individuals are estimated to suffer TBI from all causes each year, with the Southeast Asian and Western Pacific regions experiencing the greatest overall burden of disease. Head injury following road traffic collision is more common in LMICs, and the proportion of TBIs secondary to road traffic collision is likewise greatest in these countries. Meanwhile, the estimated incidence of TBI is highest in regions with higher-quality data, specifically in North America and Europe."
5,2019,CBTRUS Statistical Report: Primary Brain and Other Central Nervous System Tumors Diagnosed in the United States in 2012-2016.,"Q. Ostrom, G. Cioffi, H. Gittleman, N. Patil, K. Waite, C. Kruchko, et al.",Neuro-Oncology,2019-10-01,2274,184,152.54,"Brain Development, Plasticity, and Connectomics",human;non-human,"The Central Brain Tumor Registry of the United States (CBTRUS), in collaboration with the Centers for Disease Control and Prevention and National Cancer Institute, is the largest population-based registry focused exclusively on primary brain and other central nervous system (CNS) tumors in the United States (US) and represents the entire US population.","high citation signal (2,274); open-access PDF metadata; human evidence signal","Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1093/neuonc/noz150,181a3b7c54da22774324bfb9f86644c98d335e88,https://doi.org/10.1093/neuonc/noz150,https://academic.oup.com/neuro-oncology/article-pdf/21/Supplement_5/v1/30340077/noz150.pdf,,JournalArticle,unknown,brain; brain in title,"The Central Brain Tumor Registry of the United States (CBTRUS), in collaboration with the Centers for Disease Control and Prevention and National Cancer Institute, is the largest population-based registry focused exclusively on primary brain and other central nervous system (CNS) tumors in the United States (US) and represents the entire US population. This report contains the most up-to-date population-based data on primary brain tumors available and supersedes all previous reports in terms of completeness and accuracy. All rates are age-adjusted using the 2000 US standard population and presented per 100,000 population. The average annual age-adjusted incidence rate (AAAIR) of all malignant and non-malignant brain and other CNS tumors was 23.41 (Malignant AAAIR = 7.08, non-Malignant AAAIR = 16.33). This rate was higher in females compared to males (25.84 versus 20.82), Whites compared to Blacks (23.50 versus 23.34), and non-Hispanics compared to Hispanics (23.84 versus 21.28). The most commonly occurring malignant brain and other CNS tumor was glioblastoma (14.6% of all tumors), and the most common non-malignant tumor was meningioma (37.6% of all tumors). Glioblastoma was more common in males, and meningioma was more common in females. In children and adolescents (age 0-19 years), the incidence rate of all primary brain and other CNS tumors was 6.06. An estimated 86,010 new cases of malignant and non-malignant brain and other CNS tumors are expected to be diagnosed in the US in 2019 (25,510 malignant and 60,490 non-malignant). There were 79,718 deaths attributed to malignant brain and other CNS tumors between 2012 and 2016. This represents an average annual mortality rate of 4.42. The five-year relative survival rate following diagnosis of a malignant brain and other CNS tumor was 35.8%, and the five-year relative survival rate following diagnosis of a non-malignant brain and other CNS tumors was 91.5%."
6,2019,Genome-wide meta-analysis of depression identifies 102 independent variants and highlights the importance of the prefrontal brain regions,"David Mark Howard, M. Adams, Toni-Kim Clarke, J. Hafferty, J. Gibson, M. Shirali, et al.",Nature Neuroscience,2019-02-04,2216,133,163.67,General Brain Science and Reviews,,Major depression is a debilitating psychiatric illness that is typically associated with low mood and anhedonia.,"high citation signal (2,216); recognized venue; open-access PDF metadata","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1038/s41593-018-0326-7,4577583573d02a179e1e2779ffe112fe516f64f5,https://doi.org/10.1038/s41593-018-0326-7,https://europepmc.org/articles/pmc6522363?pdf=render,,MetaAnalysis; JournalArticle,unknown,brain; prefrontal; brain in title,"Major depression is a debilitating psychiatric illness that is typically associated with low mood and anhedonia. Depression has a heritable component that has remained difficult to elucidate with current sample sizes due to the polygenic nature of the disorder. To maximize sample size, we meta-analyzed data on 807,553 individuals (246,363 cases and 561,190 controls) from the three largest genome-wide association studies of depression. We identified 102 independent variants, 269 genes, and 15 genesets associated with depression, including both genes and gene pathways associated with synaptic structure and neurotransmission. An enrichment analysis provided further evidence of the importance of prefrontal brain regions. In an independent replication sample of 1,306,354 individuals (414,055 cases and 892,299 controls), 87 of the 102 associated variants were significant after multiple testing correction. These findings advance our understanding of the complex genetic architecture of depression and provide several future avenues for understanding etiology and developing new treatment approaches. The authors conducted a genetic meta-analysis of depression and found 269 associated genes. These genes highlight several potential drug repositioning opportunities, and relationships with depression were found for neuroticism and smoking."
7,2019,Single-cell transcriptomic analysis of Alzheimer's disease,"H. Mathys, J. Dávila-Velderrain, Zhuyu Peng, Fan Gao, S. Mohammadi, J. Z. Young, et al.",Nature,2019-04-24,2133,150,169.38,"Cellular, Molecular, and Synaptic Neuroscience",single-cell;non-human,"Alzheimer's disease is a pervasive neurodegenerative disorder, the molecular complexity of which remains poorly understood.","high citation signal (2,133); recognized venue; open-access PDF metadata; cell-resolution signal","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1038/s41586-019-1195-2,2a3f8208aadb36d1c90d869252fa5f052bace572,https://doi.org/10.1038/s41586-019-1195-2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6865822,,JournalArticle,unknown,brain; cortex; neuron; prefrontal; neuroscience term,"Alzheimer's disease is a pervasive neurodegenerative disorder, the molecular complexity of which remains poorly understood. Here, we analysed 80,660 single-nucleus transcriptomes from the prefrontal cortex of 48 individuals with varying degrees of Alzheimer's disease pathology. Across six major brain cell types, we identified transcriptionally distinct subpopulations, including those associated with pathology and characterized by regulators of myelination, inflammation, and neuron survival. The strongest disease-associated changes appeared early in pathological progression and were highly cell-type specific, whereas genes upregulated at late stages were common across cell types and primarily involved in the global stress response. Notably, we found that female cells were overrepresented in disease-associated subpopulations, and that transcriptional responses were substantially different between sexes in several cell types, including oligodendrocytes. Overall, myelination-related processes were recurrently perturbed in multiple cell types, suggesting that myelination has a key role in Alzheimer's disease pathophysiology. Our single-cell transcriptomic resource provides a blueprint for interrogating the molecular and cellular basis of Alzheimer's disease. Single-cell transcriptomics from 48 individuals with varying degrees of Alzheimer's disease pathology demonstrates that gene-expression changes in Alzheimer's disease are both cell-type specific and shared, and that transcriptional responses show sexual dimorphism."
8,2019,Slide-seq: A Scalable Technology for Measuring Genome-Wide Expression at High Spatial Resolution,"Samuel G. Rodriques, Robert R. Stickels, A. Goeva, Carly A Martin, Evan Murray, C. Vanderburg, et al.",Science,2019-02-28,2055,91,166.71,"Cerebrovascular, Metabolism, and Brain Injury",single-cell;non-human,Gene expression at fine scale Mapping gene expression at the single-cell level within tissues remains a technical challenge.,"high citation signal (2,055); recognized venue; open-access PDF metadata; cell-resolution signal","Acute injury studies can be sensitive to timing, severity, comorbidity, and treatment heterogeneity.; Animal models may not capture human vascular risk, injury complexity, or rehabilitation context.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1126/science.aaw1219,7045f05312b80bd7e995b5dad637938d626c3be2,https://doi.org/10.1126/science.aaw1219,https://doi.org/10.1101/563395,,JournalArticle,unknown,brain; hippocampus; cerebellum; neuroscience term,"Gene expression at fine scale Mapping gene expression at the single-cell level within tissues remains a technical challenge. Rodriques et al. developed a method called Slide-seq, whereby RNA was spatially resolved from tissue sections by transfer onto a surface covered with DNA-barcoded beads. Applying Slide-seq to regions of a mouse brain revealed spatial gene expression patterns in the Purkinje layer of the cerebellum and axes of variation across Purkinje cell compartments. The authors used this method to dissect the temporal evolution of cell type-specific responses in a mouse model of traumatic brain injury. Science, this issue p. 1463 An RNA sequencing technique is developed that can measure genome-wide gene expression in complex tissues at 10-micrometer resolution. Spatial positions of cells in tissues strongly influence function, yet a high-throughput, genome-wide readout of gene expression with cellular resolution is lacking. We developed Slide-seq, a method for transferring RNA from tissue sections onto a surface covered in DNA-barcoded beads with known positions, allowing the locations of the RNA to be inferred by sequencing. Using Slide-seq, we localized cell types identified by single-cell RNA sequencing datasets within the cerebellum and hippocampus, characterized spatial gene expression patterns in the Purkinje layer of mouse cerebellum, and defined the temporal evolution of cell type-specific responses in a mouse model of traumatic brain injury. These studies highlight how Slide-seq provides a scalable method for obtaining spatially resolved gene expression data at resolutions comparable to the sizes of individual cells."
9,2019,Large-Scale Exome Sequencing Study Implicates Both Developmental and Functional Changes in the Neurobiology of Autism,"F. Satterstrom, J. Kosmicki, Jiebiao Wang, M. Breen, S. Rubeis, Joon-Yong An, et al.",Cell,2019-04-13,1982,144,166.06,"Cellular, Molecular, and Synaptic Neuroscience",human;non-human,"SUMMARY We present the largest exome sequencing study of autism spectrum disorder (ASD) to date (n = 35,584 total samples, 11,986 with ASD).","high citation signal (1,982); recognized venue; open-access PDF metadata; human evidence signal","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1016/J.CELL.2019.12.036,acf92569ed6ca02dbca6a24c65a35bbfae13170c,https://doi.org/10.1016/J.CELL.2019.12.036,https://inserm.hal.science/inserm-03135343/file/Satterstrom%202020.pdf,,JournalArticle,unknown,brain; cortex; neuron; neuroscience term,"SUMMARY We present the largest exome sequencing study of autism spectrum disorder (ASD) to date (n = 35,584 total samples, 11,986 with ASD). Using an enhanced analytical framework to integrate de novo and case-control rare variation, we identify 102 risk genes at a false discovery rate of 0.1 or less. Of these genes, 49 show higher frequencies of disruptive de novo variants in individuals ascertained to have severe neurodevelopmental delay, whereas 53 show higher frequencies in individuals ascertained to have ASD; comparing ASD cases with mutations in these groups reveals phenotypic differences. Expressed early in brain development, most risk genes have roles in regulation of gene expression or neuronal communication (i.e., mutations effect neurodevelopmental and neurophysiological changes), and 13 fall within loci recurrently hit by copy number variants. In cells from the human cortex, expression of risk genes is enriched in excitatory and inhibitory neuronal lineages, consistent with multiple paths to an excitatory-inhibitory imbalance underlying ASD."
10,2019,Oxidative Stress: A Key Modulator in Neurodegenerative Diseases,"Anju Singh, R. Kukreti, L. Saso, Shrikant Kukreti",Molecules,2019-04-01,1885,38,149.96,"Cellular, Molecular, and Synaptic Neuroscience",non-human,Oxidative stress is proposed as a regulatory element in ageing and various neurological disorders.,"high citation signal (1,885); open-access PDF metadata","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.3390/molecules24081583,decd58353cd206e820d9366f016bf8b4c18c22a4,https://doi.org/10.3390/molecules24081583,https://www.mdpi.com/1420-3049/24/8/1583/pdf?version=1555931283,,Review; JournalArticle,unknown,brain; neuron; neuroscience term,"Oxidative stress is proposed as a regulatory element in ageing and various neurological disorders. The excess of oxidants causes a reduction of antioxidants, which in turn produce an oxidation-reduction imbalance in organisms. Paucity of the antioxidant system generates oxidative-stress, characterized by elevated levels of reactive species (oxygen, hydroxyl free radical, and so on). Mitochondria play a key role in ATP supply to cells via oxidative phosphorylation, as well as synthesis of essential biological molecules. Various redox reactions catalyzed by enzymes take place in the oxidative phosphorylation process. An inefficient oxidative phosphorylation may generate reactive oxygen species (ROS), leading to mitochondrial dysfunction. Mitochondrial redox metabolism, phospholipid metabolism, and proteolytic pathways are found to be the major and potential source of free radicals. A lower concentration of ROS is essential for normal cellular signaling, whereas the higher concentration and long-time exposure of ROS cause damage to cellular macromolecules such as DNA, lipids and proteins, ultimately resulting in necrosis and apoptotic cell death. Normal and proper functioning of the central nervous system (CNS) is entirely dependent on the chemical integrity of brain. It is well established that the brain consumes a large amount of oxygen and is highly rich in lipid content, becoming prone to oxidative stress. A high consumption of oxygen leads to excessive production of ROS. Apart from this, the neuronal membranes are found to be rich in polyunsaturated fatty acids, which are highly susceptible to ROS. Various neurodegenerative diseases such as Parkinson's disease (PD), Alzheimer's disease (AD), Huntington's disease (HD), and amyotrophic lateral sclerosis (ALS), among others, can be the result of biochemical alteration (due to oxidative stress) in bimolecular components. There is a need to understand the processes and role of oxidative stress in neurodegenerative diseases. This review is an effort towards improving our understanding of the pivotal role played by OS in neurodegenerative disorders."
