rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,openAccessPdf,githubUrl,workType,language,relevanceReason,abstract
1,1982,Alzheimer's disease and senile dementia: loss of neurons in the basal forebrain.,"P. Whitehouse, D. Price, R. Struble, A. Clark, J. Coyle, M. Delon",Science,1982-03-05,3663,48,175.71,Clinical Neurology and Neurodegeneration,,Positions Alzheimer's disease and senile dementia: loss of neurons in the basal forebrain. within Clinical Neurology and Neurodegeneration.,"high citation signal (3,663); recognized venue","Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1126/SCIENCE.7058341,3217944563b3fa9614818a19f8ade0fe387e9ea1,https://doi.org/10.1126/SCIENCE.7058341,,,JournalArticle,unknown,brain; neuron; brain in title; neuroscience term,
2,1982,Temporal profile of neuronal damage in a model of transient forebrain ischemia,"W. Pulsinelli, J. Brierley, F. Plum",Annals of Neurology,1982-05-01,2767,77,170.67,"Cellular, Molecular, and Synaptic Neuroscience",,"Positions Temporal profile of neuronal damage in a model of transient forebrain ischemia within Cellular, Molecular, and Synaptic Neuroscience.","high citation signal (2,767); recognized venue","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1002/ana.410110509,25cc55d24b08888706bce9658be9ddcddf568483,https://doi.org/10.1002/ana.410110509,,,JournalArticle,unknown,brain; neuron; brain in title; neuroscience term,
3,1982,Electric Fields of the Brain: The Neurophysics of EEG,J. Fermaglich,Unknown venue,1982-04-02,2766,306,153.86,"EEG, MEG, and Electrophysiology",EEG,"Positions Electric Fields of the Brain: The Neurophysics of EEG within EEG, MEG, and Electrophysiology.","high citation signal (2,766)","Low signal-to-noise ratio, artifacts, and source-localization uncertainty complicate interpretation.; Many studies rely on controlled tasks and may not generalize to everyday behavior or clinical monitoring.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1001/JAMA.1982.03320380071046,cb3432a86fda80bacfa9b3389e732057df6f7a9a,https://doi.org/10.1001/JAMA.1982.03320380071046,,,paper,unknown,brain; eeg; brain in title,
4,1982,Neuropeptide Y-a novel brain peptide with structural similarities to peptide YY and pancreatic polypeptide,"K. Tatemoto, M. Carlquist, V. Mutt",Nature,1982-04-15,2284,27,159.21,General Brain Science and Reviews,,Positions Neuropeptide Y-a novel brain peptide with structural similarities to peptide YY and pancreatic polypeptide within General Brain Science and Reviews.,"high citation signal (2,284); recognized venue","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1038/296659A0,216e715e5cf9606b864c6164b55f1f6d78dd76a8,https://doi.org/10.1038/296659A0,,,JournalArticle,unknown,brain; brain in title,
5,1982,Lithium amplifies agonist-dependent phosphatidylinositol responses in brain and salivary glands.,"M. Berridge, C. Downes, M. Hanley",Biochemical Journal,1982-09-15,1975,23,147.6,General Brain Science and Reviews,,Positions Lithium amplifies agonist-dependent phosphatidylinositol responses in brain and salivary glands. within General Brain Science and Reviews.,"high citation signal (1,975); open-access PDF metadata","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1042/BJ2060587,b51742342b2b7d458db7bc7523af91b63703878e,https://doi.org/10.1042/BJ2060587,https://europepmc.org/articles/pmc1158627?pdf=render,,JournalArticle,unknown,brain; brain in title,
6,1982,Purification of a new neurotrophic factor from mammalian brain.,"Y. Barde, D. Edgar, H. Thoenen",EMBO Journal,1982-05-01,1824,67,146.17,General Brain Science and Reviews,,Positions Purification of a new neurotrophic factor from mammalian brain. within General Brain Science and Reviews.,"high citation signal (1,824); open-access PDF metadata","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1002/j.1460-2075.1982.tb01207.x,ec4de4d8f99bb3a887cc6c7340dfd31f242a01b0,https://doi.org/10.1002/j.1460-2075.1982.tb01207.x,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/j.1460-2075.1982.tb01207.x,,JournalArticle,unknown,brain; brain in title,
7,1982,Neuropeptide Y: complete amino acid sequence of the brain peptide.,K. Tatemoto,Proceedings of the National Academy of Sciences of the United States of America,1982-09-01,1331,13,152.5,General Brain Science and Reviews,,Positions Neuropeptide Y: complete amino acid sequence of the brain peptide. within General Brain Science and Reviews.,"high citation signal (1,331); recognized venue; open-access PDF metadata","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1073/PNAS.79.18.5485,3df5b1882191338bf012cfb14e97481399aac08d,https://doi.org/10.1073/PNAS.79.18.5485,https://europepmc.org/articles/pmc346928?pdf=render,,JournalArticle,unknown,brain; brain in title,
8,1982,The mysterious motor function of the basal ganglia,C. Marsden,Neurology,1982-05-01,1032,13,140.92,"Cellular, Molecular, and Synaptic Neuroscience",,"Positions The mysterious motor function of the basal ganglia within Cellular, Molecular, and Synaptic Neuroscience.","high citation signal (1,032); recognized venue","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1212/WNL.32.5.514,4d4847af8e46ffc3d1760983163ea89f3dc8dbea,https://doi.org/10.1212/WNL.32.5.514,,,JournalArticle,unknown,basal ganglia; glia,
9,1982,"[3H]Ketanserin (R 41 468), a selective 3H-ligand for serotonin2 receptor binding sites. Binding properties, brain distribution, and functional role.","J. Leysen, Carlos J. E. Niemegeers, J. V. Nueten, Pierre M. Laduron",Molecular Pharmacology,1982-03-01,1015,15,132.63,"Cellular, Molecular, and Synaptic Neuroscience",,"Positions [3H]Ketanserin (R 41 468), a selective 3H-ligand for serotonin2 receptor binding sites. Binding properties, brain distribution, and functional role. within Cellular, Molecular, and Synaptic Neuroscience.","high citation signal (1,015)","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1016/s0026-895x(25)14623-3,5abdbadad124a287f78fbdbbcead74ed7c00e6f7,https://doi.org/10.1016/s0026-895x(25)14623-3,,,JournalArticle,unknown,brain; brain in title,
10,1982,On Evolutionary Epistemology,G. Ferro-Luzzi,Current Anthropology,1982-06-01,823,58,126.46,"EEG, MEG, and Electrophysiology",EEG;human;non-human,"by GABRIELLA EICHINGER FERRO-LUZZI via Mario Fascetti, 67, 00136 Rome, Italy.",high citation signal (823); human evidence signal,"Low signal-to-noise ratio, artifacts, and source-localization uncertainty complicate interpretation.; Many studies rely on controlled tasks and may not generalize to everyday behavior or clinical monitoring.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1086/202855,aa80c0dbfde1f0fadc00f4b92aa0c1ad3ec0471e,https://doi.org/10.1086/202855,,,paper,unknown,brain,"by GABRIELLA EICHINGER FERRO-LUZZI via Mario Fascetti, 67, 00136 Rome, Italy. 24 ix 81 Cohen (CA 22:201-18) and all his commentators take it for granted that we know the mechanism of biological evolution. For him ""the basic mechanism, change resulting from reproductive success, is clear"" (p. 204), and commentator Swartz does not even want to speak of the theory of evolution because the ""facts are empirically established"" (p. 214). I think we have to distinguish between biological evolution and the explanation thereof. Biological evolution is a fact; general directional change towards greater complexity of organisms and, above all, towards greater complexity of the brain cannot be denied. Theory as to the mechanism of evolution, however, leaves much to be desired. Breeding success might at most be adduced to explain the survival of the species; it can never explain directional change unless we simultaneously assume that species become progressively fitter and hence survive longer, which is not borne out by paleontology. We have as a species little hope of matching the longevity of the scorpion, and the tortoise beats us in the longevity of the individual and the species. If reproductive success and the survival of the species were selected for, we would do well to return at least to the level of the rat, but unfortunately the general direction of evolution seems to be set once and for all, even if it means producing less and less viable species. Within the general direction of evolution, transient ""fashions"" are discernible, and these too cannot be explained in terms of fitness. After a long period in which the ""nude look"" was ""in,"" fur coats became fashionable, eventually to give way to another wave of nudism. At present ancient nudists, fur-clad beauties, and modern nudists may be found inhabiting the same environment, and therefore the appearance of the outermost layer of the body obviously cannot be said to possess survival or reproductive value. Also, Homo sapiens is evolving. We are getting taller, and our eyes and teeth are getting weaker. None of these changes has any influence on reproduction, and the latter two, at least, do not make us fitter. What could be better proof of the theory of selection through reproductive success than evolution towards a longer period of fertility? This is happening now, but the extra years the Western woman has gained at the beginning and end of her fertile period are not used for reproduction. I have recently pointed out (1980:247-56) the utter implausibility of all attempts to explain continued lactase activity throughout life by reference to survival and reproductive advantages. If, for instance, the Danes, who are among the best lactose absorbers in the world, had acquired this trait through selection for fitness, they would have to have lived for thousands of years in such precarious nutritional conditions that drinking or not drinking fresh milk made a difference to their survival and reproduction, which is obviously absurd; In my view, the Darwinian paradigm has lulled us into the false security of having found the answer to the evolutionary problem and thus prevented us from searching for internal mechanisms setting the evolutionary switches. One such switch seems to indicate the overall direction, others lead to temporary fashions, and still others, possibly, determine the life-spans of species. Change toward a drier climate may have been fatal for the Brontosaurus but was hardly so for the Ichthyosaurus, which probably died of old age after an enviably long lifetime as a species. If, as I hold, biological evolution is a fact but its mechanism totally unknown, the application of the evolutionary model to culture naturally becomes problematic. On this point, however, several reservations have been voiced by the commentators, and Cohen himself rightly insists that ""prediction of the future is impossible for human events""; therefore I can limit myself to a few points. I suggest that we speak not of the evolution of culture as an omnibus category but of that of particular aspects of culture. Evolution in the direction of greater complexity and efficiency is clearly at work in technology. Number also imposes some constraints, and the state could develop only after the tribal band. This is about all, however, that can be said with certainty of cultural evolution; speculations about the evolution of family types, systems of reckoning descent, ways of thinking, and so forth I hold to be vain. Small autonomous villages in Africa may well have developed into a kingdom according to the sequence Cohen describes, but the postulate of ""selective factors"" implies that there was some kind of necessity at work, which, being concluded post hoc, can never be proven. Cohen cites a few options, it is true, but the very concept of ""pressure on the leaders to specialize"" so that they eventually transformed themselves into monarchs is questionable. If disputes had really been crucial, these could just as well have been settled by councils of elders or the like. In India, for instance, disputes have been very effectively settled by village and caste councils with or without the existence of monarchy, and Westerners have long been accustomed to consult lawyers. It is true that there have been ""attempts to create a basis for world order,"" but I would not conclude from these that there is an evolutionary trend in that direction. Attempts at world order (in the form of world domination) have repeatedly been made in the past; it is only that the known world, or the world that counted, was smaller then. Even if the existing states could be brought to abdicate voluntarily, a world government replacing them would be 'rather impracticable. Our minds have an innate tendency (only a tendency, not a necessity) to prefer unity to plurality, and attempts to create bigger states and international organizations participate in this tendency, which has little to do with the rational evaluation of advantages and disadvantages. Since smaller entities, however, are easier to administer, it is quite conceivable that some of the bigger existing states will shrink, judging from the diffusion of separatist movements all over the world. A parallel to this situation may be drawn in the economic field. There has been a tendency to create bigger and bigger industrial complexes, but it is unlikely that this tendency will continue. In Italy the big firms are in trouble, while family enterprises flourish. Similarly, the supermarket, which according to some prophets should long since have ousted the small shops, has not been able to do so, at least in Europe. I am glad that Cohen does not simplistically extend ""biological theory into sociocultural realms"" as some of his commentators are prone to, but the postulate that similar abstract principles govern ""the evolution of all things-inorganic, organic, and sociocultural""-seems to be inspired more by the above-mentioned monistic tendency of our minds than by the observation of facts."
