rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,semanticScholarUrl,openAccessPdf,githubUrl,workType,language,relevanceReason,abstract
1,1955,The relation of the trail making test to organic brain damage.,R. Reitan,Journal of Consulting Psychology,1955-10-01,1824,129,143.17,General Brain Science and Reviews,,Positions The relation of the trail making test to organic brain damage. within General Brain Science and Reviews.,"high citation signal (1,824)","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1037/H0044509,e7f92acc69f441c4aadf8b77310befd3fc7829e3,https://doi.org/10.1037/h0044509,https://www.semanticscholar.org/paper/e7f92acc69f441c4aadf8b77310befd3fc7829e3,,,JournalArticle,unknown,brain; brain in title,
2,1955,Organization of the cerebral cortex. III. A study of aging in the human cerebral cortex,H. Brody,The Journal of comparative neurology,1955-04-01,626,8,140.34,Clinical Neurology and Neurodegeneration,human;non-human,Positions Organization of the cerebral cortex. III. A study of aging in the human cerebral cortex within Clinical Neurology and Neurodegeneration.,high citation signal (626); recognized venue; human evidence signal,"Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1002/cne.901020206,eef374f284f3356982aa168b5392718a8aa1afa5,https://doi.org/10.1002/cne.901020206,https://www.semanticscholar.org/paper/eef374f284f3356982aa168b5392718a8aa1afa5,,,JournalArticle,unknown,cerebral; cortex; neuroscience term,
3,1955,Cytoarchitecture of the Human Brain Stem,"J. Büttner-Ennever, Anja K. E. Horn",Unknown venue,1955-07-01,551,5,125.84,General Brain Science and Reviews,human,Positions Cytoarchitecture of the Human Brain Stem within General Brain Science and Reviews.,high citation signal (551); open-access PDF metadata; human evidence signal,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1001/archneurpsyc.1955.02330100115019,396230563e9afc5d00dc3ddb549465f7931cb21f,https://doi.org/10.1001/archneurpsyc.1955.02330100115019,https://www.semanticscholar.org/paper/396230563e9afc5d00dc3ddb549465f7931cb21f,,,Review,unknown,brain; brain in title,
4,1955,"The histochemical identification of acetylcholinesterase in cholinergic, adrenergic and sensory neurons.","G. Koelle, Helga Wagner",Journal of Pharmacology and Experimental Therapeutics,1955-06-01,479,3,124.33,"Cellular, Molecular, and Synaptic Neuroscience",non-human,"A previously described histochemical method for the localization of specific or aeetylcholinesterase (AChE) and non-specific cholinesterase (ChE) has been modified to increase its specificity and sensitivity for studies of tissues of the cat, rabbit and rhesus monkey.",high citation signal (479),"Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1016/s0022-3565(25)11556-5,acad797a475530cf55231a73b1b802c83835ad4f,https://doi.org/10.1016/s0022-3565(25)11556-5,https://www.semanticscholar.org/paper/acad797a475530cf55231a73b1b802c83835ad4f,,,JournalArticle,unknown,brain; neuron; glia; neuroscience term,"A previously described histochemical method for the localization of specific or aeetylcholinesterase (AChE) and non-specific cholinesterase (ChE) has been modified to increase its specificity and sensitivity for studies of tissues of the cat, rabbit and rhesus monkey. The concentrations of B.W. 284C51, DFP or Nu 683, and eserine required for the selective complete inhibition of one or both types of enzyme were determined manometrically, using brain homogenates of each of the three species amid employing the specific substrates methacholine (MeCh) and butyrylcholine (BuCh), the histochemical substrates acetylthiocholine (AThCh) and butyrylthiocholine (BuThCh), and acetylcholine (ACh). Determinations were conducted both under optimal conditions for enzymatic activity, and in the presence of the same concentrations of Na 2 SO 4 and at the same pH as in the histoehemical incubation media. Acetylthiocholine and BuThCh were found to be hydrolyzed by additional enzymes which are resistant to the selective inhibitors of AChE and non-specific ChE in the brains of all three species. By the addition of the inhibitors, alone and in combination, to the incubation media, it was possible to ascertain the specificity of staining for AChE and non-specific ChE when the selective inhibitors are absent. Sensitivity was increased by increasing the period of incubation to two hours. As reported previously, high concentrations of AChE were localized in the cholinergic neurons of all three species. However, it was also found that lower, variable concentrations are present in all the adrenergic and sensory neurons examined. Non-specific ChE activity was found in the glial cells at all sites, and in the neurons and interstitial cells of Auerbach9s plexus. The inhibitor-resistant esterases were apparently of low activity in peripheral ganglia, and were confined largely to the glial cells. Implications of the present findings concerning the processes of transmission and conduction are discussed. On the basis of these results and those of other investigators, it is suggested that the terms cholinergic and adrenergic may refer to the predominant but not necessarily the exclusive transmitting agents of the respective nerve fibers."
5,1955,Familial hemiplegic migraine.,"R. Desnick, Orlando Guntinas-Lichius, G.W.A.M. Padberg, Gustav Schonfeld, Xiaobo Lin, Maurizio Averna, et al.",The Lancet,1955-11-26,358,27,139.7,"Cerebrovascular, Metabolism, and Brain Injury",EEG;ECoG;human;non-human,The clinical phenomena of migraine are generally explained as due to vasoconstriction in some part of the internal carotid vascular system followed by vasodilatation in the territory of the external carotid vascular system and possibly of the internal also.,high citation signal (358); recognized venue; open-access PDF metadata; human evidence signal,"Acute injury studies can be sensitive to timing, severity, comorbidity, and treatment heterogeneity.; Animal models may not capture human vascular risk, injury complexity, or rehabilitation context.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1007/978-3-540-29676-8_9168,08ccb18dbd3d921a008f8f5247695b59f5467d2b,https://doi.org/10.1007/978-3-540-29676-8_9168,https://www.semanticscholar.org/paper/08ccb18dbd3d921a008f8f5247695b59f5467d2b,https://doi.org/10.32388/o1w8x7,,JournalArticle; Review,unknown,cerebral; cortex; cortical; ecog; neuroscience term,"The clinical phenomena of migraine are generally explained as due to vasoconstriction in some part of the internal carotid vascular system followed by vasodilatation in the territory of the external carotid vascular system and possibly of the internal also. On such a view the aura of migraine is supposed to be due to ischaemia and consequent dysfunction of part of the cerebral cortex, and the headache to tension in the walls of distended arteries. The evidence for vasodilatation as the cause of the headache is considerable, and ranges from such simple observations as its relief by pressure on the carotid artery and its branches to its reproduction by vasodilator drugs or artificial dilatation of vessel walls and its relief by vasoconstrictors (Wolff, 1948). The role of preceding vasoconstriction is not so well established, although the occasional direct observation of retinal artery spasm, the prolongation of the aura symptoms by vasoconstrictors, or the increase under their influence of electroencephalographic changes considered to represent cortical ischaemia, as well as the rarely observed relief of the aura by vasodilators, are arguments in favour. Such a theory does not attempt to explain the cause of migraine in the sense of what initiates the vascular changes themselves. Some of the unusual forms of migraine are interesting both for the clinical picture they present and as a test of the validity of such a hypothesis as the above. Hemiplegic migraine is one such variety. Here the common visual aura may proceed to or be replaced by a hemiplegia (with aphasia if on the dominant side) and a partial hemi-anaesthesia, which is followed by a severe hemicranial headache. The occurrence "" in some few cases ... of a transient hemiplegia"" was mentioned by, Liveing in 1873 in his extensive review of migraine, and since then a number of cases have been reported. The term has at times been rather loosely used to refer to any case in which the usual phenomena of migraine are associated with hemiplegia, even when not occurring as an aura to the attack. Some of these cannot be regarded as simple migraine, but appear to be examples of a migrainous syndrome symptomatic of an underlying structural pathology. Thus Ramsay Hunt (1915) discusses a patient who had had migrainous attacks since childhood. At the age of 32 she had one of her usual attacks with headache and vomiting, but this was accompanied by a brief period of loss of consciousness, and thereafter left hemiparesis with bilateral extensor plantar responses, severe neck stiffness, and papilloedema. At lumbar puncture the fluid contained fresh blood on repeated examinations. The picture suggested a leak from an angioma. The question of whether the preceding attacks of "" normal "" migraine were also linked with such a lesion must remain open in this case. However, the occurrence of recurrent focal neurological signs associated with severe lateralized headaches in known cases of cerebral angioma is recognized. Such cases may at times cause diagnostic confusion, and it seems probable that they gave rise to the suggestion in the older literature that subarachnoid haemorrhage could occur as part of a simple migraine. The use of cerebral angiography has recently helped to clarify this point. In other cases, though the initial signs and symptoms can be adequately explained by simple vasoconstriction, the subsequent course of the attack may suggest or even prove that a more permanent change such as thrombosis has occurred. In these cases the neurological signs may follow the headache or become aggravated rather than lessen as it develops. Oppenheim (1890) gives the case of a woman who had had migrainous headaches for many years. Four months after childbirth she had one of her usual attacks, which was accompanied by aphasia. Instead of clearing, a hemiplegia developed, and coma and death ensued. At necropsy there was extensive thrombosis of the left middle cerebral artery. Infeld (1901) describes a patient in whom an apparently typical attack was followed by hemiplegia and hemi-anaesthesia. These signs cleared partially but left a residue bf paresthesiae, 172 P rocted by coright."
6,1955,The local circulation of the living brain; values in the unanesthetized and anesthetized cat.,"Landau Wm, Frey Wh, Rowland Lp, L. Sokoloff, Kety Ss",Transactions of the American Neurological Association,1955,333,10,112.6,General Brain Science and Reviews,,Positions The local circulation of the living brain; values in the unanesthetized and anesthetized cat. within General Brain Science and Reviews.,high citation signal (333),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",,9e62286097f5ba163997baf639bbf590c591efcb,https://www.semanticscholar.org/paper/9e62286097f5ba163997baf639bbf590c591efcb,https://www.semanticscholar.org/paper/9e62286097f5ba163997baf639bbf590c591efcb,,,JournalArticle,unknown,brain; brain in title,
7,1955,STUDIES ON THE PATHOGENESIS OF FEVER,"Elisha Atkins, W. Barry Wood, Jx",Journal of Experimental Medicine,1955-05-01,305,4,109.22,General Brain Science and Reviews,non-human,"The rate of clearance of intravenously injected typhoid vaccine was studied in unsensitized, sensitized, and pyrogen-tolerant rabbits by means of a passive transfer technique.",high citation signal (305); open-access PDF metadata,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1084/jem.101.5.519,89fd02d75c1eb657ccfdd7c2ac9ed867b4d5a38f,https://doi.org/10.1084/jem.101.5.519,https://www.semanticscholar.org/paper/89fd02d75c1eb657ccfdd7c2ac9ed867b4d5a38f,,,JournalArticle,unknown,brain,"The rate of clearance of intravenously injected typhoid vaccine was studied in unsensitized, sensitized, and pyrogen-tolerant rabbits by means of a passive transfer technique. The blood of unsensitized rabbits which had not been previously exposed to bacterial pyrogen remained pyrogenic for normal recipients throughout a period of 2 hours following the injection. In contrast, rabbits sensitized by having received either one or two injections of the vaccine at least 3 weeks prior to the experiment cleared their blood of the test vaccine within 30 minutes despite the fact that they exhibit the same febrile response as unsensitized rabbits. After 1 hour, however, a transferable pyrogenic substance was again demonstrable in the sera of this group. Reasons are discussed for believing that this newly appearing substance may be of endogenous origin and may be the factor which directly affects the thermoregulatory centers of the brain. Rabbits which are made tolerant by repeated daily injections of vaccine have a characteristically depressed febrile response. Not only were the blood streams of such animals cleared of the injected vaccine within less than 5 minutes, but samples of their sera obtained 1 and 2 hours after the injection also failed to contain demonstrable quantities of the secondary pyrogen observed in sensitized animals. The latter observation is in keeping with the suggestion that the secondary pyrogen may play a critical role in the production of fever."
8,1955,"Brief, noninjurious electric waveform for stimulation of the brain.","J. Lilly, J. R. Hughes, E. Alvord, T. Galkin",Science,1955-04-01,295,1,123.63,General Brain Science and Reviews,stimulation,"Positions Brief, noninjurious electric waveform for stimulation of the brain. within General Brain Science and Reviews.",high citation signal (295); recognized venue,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1126/SCIENCE.121.3144.468,6db31a8dc707e9b125652e471d27a44aa28fa8f6,https://doi.org/10.1126/science.121.3144.468,https://www.semanticscholar.org/paper/6db31a8dc707e9b125652e471d27a44aa28fa8f6,,,JournalArticle,unknown,brain; brain in title,
9,1955,"AN ELECTRON MICROSCOPIC STUDY OF THE BLOOD-BRAIN BARRIER IN THE RAT, EMPLOYING SILVER NITRATE AS A VITAL STAIN","E. Dempsey, G. B. Wislocki",The Journal of Biophysical and Biochemical Cytology,1955-05-25,269,1,124.97,"Cellular, Molecular, and Synaptic Neuroscience",non-human,"The intravital deposition of silver in the chorioid plexuses, area postrema, intercolumnar tubercle, neurohypophysis, and pineal body of rats, given 1.5 gm.",high citation signal (269); open-access PDF metadata,"Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1083/jcb.1.3.245,c5bf97f0b1c6c2666f5b9308d3f0e464b2ba32bc,https://doi.org/10.1083/jcb.1.3.245,https://www.semanticscholar.org/paper/c5bf97f0b1c6c2666f5b9308d3f0e464b2ba32bc,,,JournalArticle,unknown,brain; cerebral; cortex; glia; brain in title; neuroscience term,"The intravital deposition of silver in the chorioid plexuses, area postrema, intercolumnar tubercle, neurohypophysis, and pineal body of rats, given 1.5 gm. of silver nitrate per liter of drinking water for periods of up to one year, has been investigated by electron microscopy. Unlike other parts of the central nervous system, these regions store large amounts of silver. In all of these structures, silver is deposited in the form of dense granules in the basement membrane upon which the capillary endothelium rests, in and upon the connective tissue cells and fibers constituting a loose pericapillary sheath, and in an outer membrane separating this sheath from the parenchymatous cells. Parts of the central nervous system which do not store silver, for example the spinal cord, cerebellar cortex, cerebral cortex, and reticular formation, lack a connective tissue investment of the capillaries. In these locations, the glial processes or end-feet are closely applied to the walls of the capillaries. Only a narrow space, filled by an amorphous, moderately electron-dense substance, separates the plasma membranes of the endothelial cells and glial processes. The significance of these observations is discussed with respect to the questions of the Virchow-Robin perivascular spaces, the interstitial ground-substance of the brain, and the location of the hematoencephalic barrier."
10,1955,Sindbis virus: a newly recognized arthropodtransmitted virus.,"R. Taylor, H. S. Hurlbut, T. Work, J. R. Kingston, T. Frothingham",American Journal of Tropical Medicine and Hygiene,1955-09-01,263,11,103.57,"EEG, MEG, and Electrophysiology",ECoG,"Positions Sindbis virus: a newly recognized arthropodtransmitted virus. within EEG, MEG, and Electrophysiology.",high citation signal (263),"Low signal-to-noise ratio, artifacts, and source-localization uncertainty complicate interpretation.; Many studies rely on controlled tasks and may not generalize to everyday behavior or clinical monitoring.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.4269/AJTMH.1955.4.844,cf5bbfe4d35d0d62d45c880f5c440bb67918d20d,https://doi.org/10.4269/ajtmh.1955.4.844,https://www.semanticscholar.org/paper/cf5bbfe4d35d0d62d45c880f5c440bb67918d20d,,,JournalArticle; Review,unknown,ecog,
