rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,semanticScholarUrl,openAccessPdf,githubUrl,workType,language,relevanceReason,abstract
1,1986,Parallel organization of functionally segregated circuits linking basal ganglia and cortex.,"G. E. Alexander, M. DeLong, P. Strick",Annual Review of Neuroscience,1986,8625,408,193.33,"Cellular, Molecular, and Synaptic Neuroscience",non-human,"Information about the basal ganglia has accumulated at a prodigious pace over the past decade, necessitating major revisions in our concepts of the structural and functional organization of these nuclei.","high citation signal (8,625); recognized venue; open-access PDF metadata","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1146/ANNUREV.NE.09.030186.002041,6528e21f36c0db4e91c96398e7b60622e72cecb4,https://doi.org/10.1146/ANNUREV.NE.09.030186.002041,,https://rpics.ismt.pt/index.php/ISMT/article/download/39/pdf,,Review; JournalArticle,unknown,cerebral; cortex; basal ganglia; glia; neuroscience term,"Information about the basal ganglia has accumulated at a prodigious pace over the past decade, necessitating major revisions in our concepts of the structural and functional organization of these nuclei. From earlier data it had appeared that the basal ganglia served primarily to integrate diverse inputs from the entire cerebral cortex and to ""funnel"" these influences, via the ventrolateral thalamus, to the motor cortex (Allen & Tsukahara 1974, Evarts & Thach 1969, Kemp & Powell 1971). In particular, the basal"
2,1986,Rat middle cerebral artery occlusion: evaluation of the model and development of a neurologic examination.,"J. Bederson, Lawrence H. Pitts, Miles Tsuji, M. Nishimura, Richard L. Davis, H. Bartkowski",Stroke,1986-05-01,2725,71,148.59,Clinical Neurology and Neurodegeneration,non-human,Positions Rat middle cerebral artery occlusion: evaluation of the model and development of a neurologic examination. within Clinical Neurology and Neurodegeneration.,"high citation signal (2,725); open-access PDF metadata","Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1161/01.STR.17.3.472,1d8817a08f0f12ecce5ed919a6ccf84b0adee0f2,https://doi.org/10.1161/01.STR.17.3.472,,https://doi.org/10.1161/01.str.17.3.472,,JournalArticle,unknown,cerebral,
3,1986,The rat brain: A stereotaxic atlas of the forebrain and lower parts of the brain stem,"Joachim König, R. Klippel",Unknown venue,1986,2599,58,151.94,General Brain Science and Reviews,non-human;connectome,Positions The rat brain: A stereotaxic atlas of the forebrain and lower parts of the brain stem within General Brain Science and Reviews.,"high citation signal (2,599)","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",,b3b4a18dae15a0c60c801fafc4167fcdd0613052,https://www.semanticscholar.org/paper/b3b4a18dae15a0c60c801fafc4167fcdd0613052,,,,paper,unknown,brain; brain in title,
4,1986,Glutamate and the pathophysiology of hypoxic-ischemic brain damage,"S. Rothman, J. Olney",Annals of Neurology,1986-02-01,2487,38,160.75,Clinical Neurology and Neurodegeneration,,Positions Glutamate and the pathophysiology of hypoxic-ischemic brain damage within Clinical Neurology and Neurodegeneration.,"high citation signal (2,487); recognized venue","Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1002/ana.410190202,c069ca9ed2df8f616af048c5428ef9d7984848e1,https://doi.org/10.1002/ana.410190202,,,,Review; JournalArticle; Study,unknown,brain; brain in title,
5,1986,Enduring changes in brain and behavior produced by chronic amphetamine administration: a review and evaluation of animal models of amphetamine psychosis.,"T. Robinson, J. Becker",Brain Research,1986-06-01,2249,97,171.14,Cognitive and Systems Neuroscience,non-human,Positions Enduring changes in brain and behavior produced by chronic amphetamine administration: a review and evaluation of animal models of amphetamine psychosis. within Cognitive and Systems Neuroscience.,"high citation signal (2,249); recognized venue; open-access PDF metadata; synthesis or review value","Task designs can simplify cognition enough that ecological validity becomes uncertain.; Cross-species alignment between circuits, behavior, and subjective experience remains imperfect.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1016/0165-0173(86)90002-0,681f51c2285a3d616f280252c4aca38677a24cae,https://doi.org/10.1016/0165-0173(86)90002-0,,http://deepblue.lib.umich.edu/bitstream/2027.42/26144/1/0000221.pdf,,Review; JournalArticle; Study,unknown,brain; brain in title,
6,1986,Focal physiological uncoupling of cerebral blood flow and oxidative metabolism during somatosensory stimulation in human subjects.,"P. T. Fox, M. Raichle",Proceedings of the National Academy of Sciences of the United States of America,1986-02-01,2129,96,157.35,"Cerebrovascular, Metabolism, and Brain Injury",human;stimulation,"Positions Focal physiological uncoupling of cerebral blood flow and oxidative metabolism during somatosensory stimulation in human subjects. within Cerebrovascular, Metabolism, and Brain Injury.","high citation signal (2,129); recognized venue; open-access PDF metadata; human evidence signal","Acute injury studies can be sensitive to timing, severity, comorbidity, and treatment heterogeneity.; Animal models may not capture human vascular risk, injury complexity, or rehabilitation context.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1073/PNAS.83.4.1140,c25b6aaa34719e9e12655431bc4416c6039ebf1f,https://doi.org/10.1073/PNAS.83.4.1140,,https://europepmc.org/articles/pmc323027?pdf=render,,JournalArticle,unknown,cerebral,
7,1986,Physiologic dysfunction of dorsolateral prefrontal cortex in schizophrenia. I. Regional cerebral blood flow evidence.,"D. Weinberger, K. Berman, R. Zec",Archives of General Psychiatry,1986-02-01,2076,37,149.5,Cognitive and Systems Neuroscience,,Positions Physiologic dysfunction of dorsolateral prefrontal cortex in schizophrenia. I. Regional cerebral blood flow evidence. within Cognitive and Systems Neuroscience.,"high citation signal (2,076)","Task designs can simplify cognition enough that ecological validity becomes uncertain.; Cross-species alignment between circuits, behavior, and subjective experience remains imperfect.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1001/ARCHPSYC.1986.01800020020004,f63bfcee4ac720a3916add0f5de92a455478a7da,https://doi.org/10.1001/ARCHPSYC.1986.01800020020004,,,,JournalArticle,unknown,cerebral; cortex; prefrontal; neuroscience term,
8,1986,The T4 gene encodes the AIDS virus receptor and is expressed in the immune system and the brain.,"P. Maddon, A. Dalgleish, J. Mcdougal, Paul R. Clapham, R. Weiss, R. Axel",Cell,1986-11-07,2040,62,157.18,General Brain Science and Reviews,,Positions The T4 gene encodes the AIDS virus receptor and is expressed in the immune system and the brain. within General Brain Science and Reviews.,"high citation signal (2,040); recognized venue","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1016/0092-8674(86)90590-8,04414bf9e81bfbd75cf34f2e2e458fcd88c3ff5c,https://doi.org/10.1016/0092-8674(86)90590-8,,,,JournalArticle,unknown,brain; brain in title,
9,1986,Human amnesia and the medial temporal region: enduring memory impairment following a bilateral lesion limited to field CA1 of the hippocampus,"S. Zola-Morgan, L. Squire, D. Amaral",Journal of Neuroscience,1986-10-01,1918,37,162.27,Cognitive and Systems Neuroscience,human,During the past 100 years clinical studies of amnesia have linked memory impairment to damage of the hippocampus.,"high citation signal (1,918); recognized venue; open-access PDF metadata; human evidence signal","Task designs can simplify cognition enough that ecological validity becomes uncertain.; Cross-species alignment between circuits, behavior, and subjective experience remains imperfect.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1523/JNEUROSCI.06-10-02950.1986,6d6b6b8ecc6cdfd6bbfcb230d18911d6ef1830bb,https://doi.org/10.1523/JNEUROSCI.06-10-02950.1986,,https://www.jneurosci.org/content/jneuro/6/10/2950.full.pdf,,JournalArticle; CaseReport,unknown,brain; hippocampus; neuroscience term,"During the past 100 years clinical studies of amnesia have linked memory impairment to damage of the hippocampus. Yet the damage in these cases has not usually been confined to the hippocampus, and the status of memory functions has often been based on incomplete neuropsychological information. Thus, the human cases have until now left some uncertainty as to whether lesions limited to the hippocampus are sufficient to cause amnesia. Here we report a case of amnesia in a patient (R.B.) who developed memory impairment following an ischemic episode. During the 5 years until his death, R.B. exhibited marked anterograde amnesia, little if any retrograde amnesia, and showed no signs of cognitive impairment other than memory. Thorough histological examination revealed a circumscribed bilateral lesion involving the entire CA1 field of the hippocampus. Minor pathology was found elsewhere in the brain (e.g., left globus pallidus, right postcentral gyrus, left internal capsule), but the only damage that could be reasonably associated with the memory defect was the lesion in the hippocampus. To our knowledge, this is the first reported case of amnesia following a lesion limited to the hippocampus in which extensive neuropsychological and neuropathological analyses have been carried out."
10,1986,Detection of AIDS virus in macrophages in brain tissue from AIDS patients with encephalopathy.,"S. Koenig, H. Gendelman, J. Orenstein, M. Canto, G. Pezeshkpour, M. Yungbluth, et al.",Science,1986-09-05,1746,33,155.58,Clinical Neurology and Neurodegeneration,human,Positions Detection of AIDS virus in macrophages in brain tissue from AIDS patients with encephalopathy. within Clinical Neurology and Neurodegeneration.,"high citation signal (1,746); recognized venue; human evidence signal","Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1126/SCIENCE.3016903,b1fe1406e219d09128a0a8ba3a4ded8f4fb16c4a,https://doi.org/10.1126/SCIENCE.3016903,,,,JournalArticle,unknown,brain; brain in title,
