rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,openAccessPdf,workType,language,relevanceReason,abstract
1,1959,The thiobarbituric acid assay of sialic acids.,L. Warren,Journal of Biological Chemistry,1959-08-01,5593,75,160.33,General Brain Science and Reviews,,Publisher Summary This chapter discusses the different aspects of thiobarbituric acid assay of sialic acid.,"high citation signal (5,593); open-access PDF metadata","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1016/0076-6879(63)06207-8,ed57d0cf994d80afc68942be4f2ec8f1713a7127,https://doi.org/10.1016/0076-6879(63)06207-8,https://doi.org/10.1016/s0021-9258(18)69851-5,JournalArticle,unknown,brain,"Publisher Summary This chapter discusses the different aspects of thiobarbituric acid assay of sialic acid. Periodate oxidation of the neuraminic acid backbone of sialic acids results in the formation of β -formylpyruvic acid from carbon atoms 1 to 4. The N -acetyl or N -glycolyl group of sialic acids apparently does not interfere with periodate oxidation. β -Formylpyruvic acid is coupled with 2-thiobarbituric acid to form a red chromophore with a maximum absorption at 549 mμ. It is found that as only free sialic acids are reactive in the assay, hydrolysis of sialic acid-containing material must be carried out for the measurement of total sialic acids. The assay is suitable for measuring the release of bound sialic acid by sialidase. A series of 2-keto, 3-deoxy sugar acids, found in bacteria, also react in the thiobarbituric acid assay. These produce a chromogen with a peak at 549 mμ. They can be readily distinguished from sialic acids because they are not reactive in the orcinol or direct Ehrlich assays for sialic acids. The hydrolysis frees all the sialic acids from several mucoproteins that have been tested except for brain tissue where release of sialic acids takes place for several hours."
2,1959,A method for the fluorometric assay of histamine in tissues.,"P. A. Shore, A. Burkhalter, V. H. Cohn",Journal of Pharmacology and Experimental Therapeutics,1959-11-01,2373,13,143.1,General Brain Science and Reviews,non-human,A sensitive and specific fluorometric method for the estimation of histamine in tissues is described.,"high citation signal (2,373)","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1016/s0022-3565(25)25681-6,0068947c9fe98a5fb6f4cf56f018419aeaaad03a,https://doi.org/10.1016/s0022-3565(25)25681-6,,JournalArticle,unknown,brain,"A sensitive and specific fluorometric method for the estimation of histamine in tissues is described. The method involves extraction of histamine into butanol from alkalinized perchloric acid tissue extracts, return to an aqueous phase, and condensation with o -phthalaldehyde to form a highly fluorescent product which is estimated in a spectrofluorometer. Concentrations of histamine as low as 0.005 µg/ml can be assayed. Low levels of histamine (0.2-0.4 µg/g) occur in brain. Gross dissection of brain showed no marked localization of brain histamine."
3,1959,Cerebral blood flow and oxygen consumption in man.,N. Lassen,Physiological Reviews,1959-04-01,2001,86,138.83,General Brain Science and Reviews,,Positions Cerebral blood flow and oxygen consumption in man. within General Brain Science and Reviews.,"high citation signal (2,001)","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1152/PHYSREV.1959.39.2.183,a99213303dc1fb60cb2b726bf66c37ab9ed9355d,https://doi.org/10.1152/PHYSREV.1959.39.2.183,,JournalArticle; Review,unknown,cerebral,
4,1959,What the Frog's Eye Tells the Frog's Brain,"H. Maturana, Warren Mcculloch, W. Pitts, Lettvin Jy",Proceedings of the IRE,1959-11-01,1867,30,143.59,General Brain Science and Reviews,,Positions What the Frog's Eye Tells the Frog's Brain within General Brain Science and Reviews.,"high citation signal (1,867)","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1109/JRPROC.1959.287207,46c2bcdf7eb4be606ae417785e1912e2a9066ccb,https://doi.org/10.1109/JRPROC.1959.287207,,paper,unknown,brain; brain in title,
5,1959,Axo-somatic and axo-dendritic synapses of the cerebral cortex: An electron microscope study,Gray Eg,Unknown venue,1959-10-01,1284,7,140.85,"Cellular, Molecular, and Synaptic Neuroscience",,"Positions Axo-somatic and axo-dendritic synapses of the cerebral cortex: An electron microscope study within Cellular, Molecular, and Synaptic Neuroscience.","high citation signal (1,284)","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",,2c23fb3b9af485f9df9d5c854e99a5757f7fda45,https://www.semanticscholar.org/paper/2c23fb3b9af485f9df9d5c854e99a5757f7fda45,,paper,unknown,cerebral; cortex; synapse; neuroscience term,
6,1959,Axo-somatic and axo-dendritic synapses of the cerebral cortex: an electron microscope study.,By E. G. Gray,Journal of Anatomy,1959,1045,36,137.15,"Cellular, Molecular, and Synaptic Neuroscience",,"Positions Axo-somatic and axo-dendritic synapses of the cerebral cortex: an electron microscope study. within Cellular, Molecular, and Synaptic Neuroscience.","high citation signal (1,045)","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",,5afbad7aa7ecd70f0237741ddc7197e7b038000d,https://www.semanticscholar.org/paper/5afbad7aa7ecd70f0237741ddc7197e7b038000d,,JournalArticle,unknown,cerebral; cortex; synapse; neuroscience term,
7,1959,The Computer and the Brain,J. Neumann,Unknown venue,1959-07-01,598,5,123.11,General Brain Science and Reviews,,Positions The Computer and the Brain within General Brain Science and Reviews.,high citation signal (598),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.2307/2002728,91674abdbf087099bac6fca80ddad591871d5d5e,https://doi.org/10.2307/2002728,,paper,unknown,brain; brain in title,
8,1959,Anatomical studies of the circle of Willis in normal brain.,"B. J. Alpers, R. G. Berry, R. M. Paddison",A M A Archives of Neurology & Psychiatry,1959-04-01,522,16,132.67,Clinical Neurology and Neurodegeneration,,Positions Anatomical studies of the circle of Willis in normal brain. within Clinical Neurology and Neurodegeneration.,high citation signal (522); recognized venue,"Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1001/ARCHNEURPSYC.1959.02340160007002,0877fdfbbf22ac7bab35bfaa5391d334e4b6e077,https://doi.org/10.1001/ARCHNEURPSYC.1959.02340160007002,,JournalArticle,unknown,brain; brain in title,
9,1959,Sensations and brain processes: A rejoinder to Dr. Pitcher and Mr. Joske,J. Smart,Unknown venue,1959-04-01,501,13,119.93,General Brain Science and Reviews,,Positions Sensations and brain processes: A rejoinder to Dr. Pitcher and Mr. Joske within General Brain Science and Reviews.,high citation signal (501),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1080/00048406085200281,0cb9d1afc9145931361cf2071c3ddd18f15d6989,https://doi.org/10.1080/00048406085200281,,paper,unknown,brain; brain in title,
10,1959,The isolation and characterization of acetylcholine-containing particles from brain.,V. P. Whittaker,Biochemical Journal,1959-08-01,470,4,121.79,General Brain Science and Reviews,,Positions The isolation and characterization of acetylcholine-containing particles from brain. within General Brain Science and Reviews.,high citation signal (470); open-access PDF metadata,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1042/BJ0720694,eaae705834eefeb3ad772c562410ea90a46197b1,https://doi.org/10.1042/BJ0720694,https://europepmc.org/articles/pmc1196995?pdf=render,JournalArticle,unknown,brain; brain in title,
