rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,openAccessPdf,workType,language,relevanceReason,abstract
1,1990,"Co-Planar Stereotaxic Atlas of the Human Brain-3-Dimensional Proportional System: An Approach to Cerebral Imaging, J. Talairach, P. Tournoux. Georg Thieme Verlag, New York (1988), 122 pp., 130 figs. DM 268",M. Torrens,Unknown venue,1990-03-01,11057,295,180.0,"Brain Development, Plasticity, and Connectomics",human;connectome,"Positions Co-Planar Stereotaxic Atlas of the Human Brain-3-Dimensional Proportional System: An Approach to Cerebral Imaging, J. Talairach, P. Tournoux. Georg Thieme Verlag, New York (1988), 122 pp., 130 figs. DM 268 within Brain Development, Plasticity, and Connectomics.","high citation signal (11,057); human evidence signal","Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1016/S0009-9260(05)80985-7,0d2d41b713fb1d30e2f0d263cf4cc79cd0f88ff2,https://doi.org/10.1016/S0009-9260(05)80985-7,,paper,unknown,brain; cerebral; brain in title,
2,1990,The attention system of the human brain.,"M. Posner, S. Petersen",Annual Review of Neuroscience,1990,8504,387,184.07,General Brain Science and Reviews,human,Positions The attention system of the human brain. within General Brain Science and Reviews.,"high citation signal (8,504); recognized venue; human evidence signal","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1146/ANNUREV.NE.13.030190.000325,94f1cbb8e88f524efe2a9034e25c1f83a6b2abf3,https://doi.org/10.1146/ANNUREV.NE.13.030190.000325,,Review; JournalArticle,unknown,brain; brain in title,
3,1990,Brain magnetic resonance imaging with contrast dependent on blood oxygenation.,"Seijiro Ogawa, T. M. Lee, A. Kay, D. Tank",Proceedings of the National Academy of Sciences of the United States of America,1990-12-01,6567,307,182.42,Neuroimaging and Brain Mapping,MRI,Positions Brain magnetic resonance imaging with contrast dependent on blood oxygenation. within Neuroimaging and Brain Mapping.,"high citation signal (6,567); recognized venue; open-access PDF metadata","Scanner, protocol, site, and preprocessing variation can limit reproducibility across cohorts.; Associational imaging biomarkers often need stronger longitudinal or intervention evidence before causal claims are made.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",10.1073/PNAS.87.24.9868,017ec0fb815db8d589d95239ce416456ba8460e0,https://doi.org/10.1073/PNAS.87.24.9868,https://www.pnas.org/doi/pdf/10.1073/pnas.87.24.9868,JournalArticle,unknown,brain; brain in title,
4,1990,D1 and D2 dopamine receptor-regulated gene expression of striatonigral and striatopallidal neurons.,"C. Gerfen, T. Engber, L. Mahan, Z. Susel, T. Chase, F. Monsma, et al.",Science,1990-12-07,3040,148,164.36,"Cellular, Molecular, and Synaptic Neuroscience",,"Positions D1 and D2 dopamine receptor-regulated gene expression of striatonigral and striatopallidal neurons. within Cellular, Molecular, and Synaptic Neuroscience.","high citation signal (3,040); recognized venue","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1126/SCIENCE.2147780,84e320dee6983b0a792adfc3b2543152d9b3edab,https://doi.org/10.1126/SCIENCE.2147780,,JournalArticle,unknown,neuron; neuroscience term,
5,1990,Localization of nitric oxide synthase indicating a neural role for nitric oxide,"D. Bredt, P. Hwang, S. Snyder",Nature,1990-10-25,3017,59,161.22,General Brain Science and Reviews,,Positions Localization of nitric oxide synthase indicating a neural role for nitric oxide within General Brain Science and Reviews.,"high citation signal (3,017); recognized venue; open-access PDF metadata","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1038/347768A0,9bd0929ed26fe9b2285d750be8c9be53ab8e5d77,https://doi.org/10.1038/347768A0,https://www.nature.com/articles/347768a0.pdf,JournalArticle,unknown,neural,
6,1990,A randomized trial of surgery in the treatment of single metastases to the brain.,"R. Patchell, P. Tibbs, J. Walsh, R. Dempsey, Y. Maruyama, R. Kryscio, et al.",New England Journal of Medicine,1990-02-22,3013,108,156.4,Clinical Neurology and Neurodegeneration,human,Positions A randomized trial of surgery in the treatment of single metastases to the brain. within Clinical Neurology and Neurodegeneration.,"high citation signal (3,013); open-access PDF metadata; human evidence signal","Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1056/NEJM199002223220802,6e5fb3e8fa92e3c869329b754ab916d521c6bcd9,https://doi.org/10.1056/NEJM199002223220802,https://www.nejm.org/doi/pdf/10.1056/NEJM199002223220802?articleTools=true,JournalArticle; Study; ClinicalTrial,unknown,brain; brain in title,
7,1990,Oxygenation-sensitive contrast in magnetic resonance image of rodent brain at high magnetic fields,"S. Ogawa, Tso-Ming Lee, A. Nayak, P. Glynn",Magnetic Resonance in Medicine,1990-04-01,2336,77,150.02,Neuroimaging and Brain Mapping,MRI;non-human,Positions Oxygenation-sensitive contrast in magnetic resonance image of rodent brain at high magnetic fields within Neuroimaging and Brain Mapping.,"high citation signal (2,336)","Scanner, protocol, site, and preprocessing variation can limit reproducibility across cohorts.; Associational imaging biomarkers often need stronger longitudinal or intervention evidence before causal claims are made.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1002/MRM.1910140108,013e2e879462602bf3e4d7a6ede7688b87288cef,https://doi.org/10.1002/MRM.1910140108,,JournalArticle,unknown,brain; brain in title,
8,1990,Synapse loss in frontal cortex biopsies in Alzheimer's disease: Correlation with cognitive severity,"S. DeKosky, S. Scheff",Annals of Neurology,1990-05-01,2321,47,161.5,Clinical Neurology and Neurodegeneration,,Positions Synapse loss in frontal cortex biopsies in Alzheimer's disease: Correlation with cognitive severity within Clinical Neurology and Neurodegeneration.,"high citation signal (2,321); recognized venue","Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1002/ana.410270502,a9d14eed62c4ad2fb6c021ef4be625418819a749,https://doi.org/10.1002/ana.410270502,,JournalArticle,unknown,cortex; synapse; neuroscience term,
9,1990,Cannabinoid receptor localization in brain.,"M. Herkenham, A. Lynn, Little, J. Mr, L. Melvin, deCosta Br, et al.",Proceedings of the National Academy of Sciences of the United States of America,1990-03-01,2318,92,162.48,General Brain Science and Reviews,,Positions Cannabinoid receptor localization in brain. within General Brain Science and Reviews.,"high citation signal (2,318); recognized venue; open-access PDF metadata","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1073/PNAS.87.5.1932,703b149132a425f8f85a4b0dc29861043afb321c,https://doi.org/10.1073/PNAS.87.5.1932,https://europepmc.org/articles/pmc53598?pdf=render,JournalArticle; Study,unknown,brain; brain in title,
10,1990,The role of glutamate neurotoxicity in hypoxic-ischemic neuronal death.,"D. Choi, S. Rothman",Annual Review of Neuroscience,1990,2279,37,159.17,"Cellular, Molecular, and Synaptic Neuroscience",,"Positions The role of glutamate neurotoxicity in hypoxic-ischemic neuronal death. within Cellular, Molecular, and Synaptic Neuroscience.","high citation signal (2,279); recognized venue","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1146/ANNUREV.NE.13.030190.001131,5eaff6f72ae5008841d98a56bdd2ddd61ca8be42,https://doi.org/10.1146/ANNUREV.NE.13.030190.001131,,Review; JournalArticle,unknown,neuron; neuroscience term,
