rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,openAccessPdf,githubUrl,workType,language,relevanceReason,abstract
1,1971,Stereotaxic mapping of the monoamine pathways in the rat brain.,U. Ungerstedt,Acta Physiologica Scandinavica Supplementum,1971-12-01,3780,49,157.48,General Brain Science and Reviews,non-human,Positions Stereotaxic mapping of the monoamine pathways in the rat brain. within General Brain Science and Reviews.,"high citation signal (3,780)","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1111/J.1365-201X.1971.TB10998.X,a3f7295d744e7ac8a300ba088211adbed03a33c7,https://doi.org/10.1111/J.1365-201X.1971.TB10998.X,,,JournalArticle,unknown,brain; brain in title,
2,1971,Simple memory: a theory for archicortex.,D. Marr,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",1971-07-01,2971,250,163.95,Cognitive and Systems Neuroscience,,Positions Simple memory: a theory for archicortex. within Cognitive and Systems Neuroscience.,"high citation signal (2,971); recognized venue","Task designs can simplify cognition enough that ecological validity becomes uncertain.; Cross-species alignment between circuits, behavior, and subjective experience remains imperfect.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1098/RSTB.1971.0078,03854785c693f07eeb1cc64c15c21e6b92699e0c,https://doi.org/10.1098/RSTB.1971.0078,,,JournalArticle,unknown,cortex; neuroscience term,
3,1971,"Brain uptake of radiolabeled amino acids, amines, and hexoses after arterial injection.",W. Oldendorf,American Journal of Physiology,1971-12-01,1681,23,144.7,General Brain Science and Reviews,,"Positions Brain uptake of radiolabeled amino acids, amines, and hexoses after arterial injection. within General Brain Science and Reviews.","high citation signal (1,681); open-access PDF metadata","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1152/AJPLEGACY.1971.221.6.1629,b87acf68ba915ee8449b887cac1405cfaf4e932a,https://doi.org/10.1152/AJPLEGACY.1971.221.6.1629,https://journals.physiology.org/doi/pdf/10.1152/ajplegacy.1971.221.6.1629,,JournalArticle,unknown,brain; brain in title,
4,1971,Cultivation of papova-like virus from human brain with progressive multifocal leucoencephalopathy.,"B. Padgett, B. Padgett, G. ZuRhein, G. ZuRhein, D. Walker, D. Walker, et al.",The Lancet,1971-06-19,1640,85,154.46,General Brain Science and Reviews,human,Positions Cultivation of papova-like virus from human brain with progressive multifocal leucoencephalopathy. within General Brain Science and Reviews.,"high citation signal (1,640); recognized venue; human evidence signal","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1016/S0140-6736(71)91777-6,370109773ff44523d14b4386dbecffa68e7e0db7,https://doi.org/10.1016/S0140-6736(71)91777-6,,,JournalArticle,unknown,brain; brain in title,
5,1971,Focal dysplasia of the cerebral cortex in epilepsy,"D. Taylor, M. Falconer, C. Bruton, J. Corsellis",Journal of Neurology Neurosurgery & Psychiatry,1971-08-01,1077,44,150.69,Clinical Neurology and Neurodegeneration,,Positions Focal dysplasia of the cerebral cortex in epilepsy within Clinical Neurology and Neurodegeneration.,"high citation signal (1,077); recognized venue; open-access PDF metadata","Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1136/jnnp.34.4.369,ee07dd62f29b8a67e91e0ca68a5f95c870397997,https://doi.org/10.1136/jnnp.34.4.369,https://jnnp.bmj.com/content/jnnp/34/4/369.full.pdf,,JournalArticle,unknown,cerebral; cortex; neuroscience term,
6,1971,Multiple cyclic nucleotide phosphodiesterase activities from rat brain.,"Thompson Wj, Appleman Mm",Biochemistry,1971-01-19,1040,15,134.26,General Brain Science and Reviews,non-human,Positions Multiple cyclic nucleotide phosphodiesterase activities from rat brain. within General Brain Science and Reviews.,"high citation signal (1,040)","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1021/BI00778A018,e47d199a5ed66948488c1c13f1213501d73c9d89,https://doi.org/10.1021/BI00778A018,,,JournalArticle,unknown,brain; brain in title,
7,1971,Brain Serotonin Content: Physiological Dependence on Plasma Tryptophan Levels,"J. Fernstrom, R. Wurtman",Science,1971-07-09,1019,17,144.7,General Brain Science and Reviews,,Positions Brain Serotonin Content: Physiological Dependence on Plasma Tryptophan Levels within General Brain Science and Reviews.,"high citation signal (1,019); recognized venue","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1126/science.173.3992.149,8ee27e3064b5143d089c577a2da3a89dc97391bb,https://doi.org/10.1126/science.173.3992.149,,,JournalArticle,unknown,brain; brain in title,
8,1971,Book Review: Atlas of the Human Brain,D. Dooley,Unknown venue,1971-10-01,821,67,142.21,General Brain Science and Reviews,human;connectome,Positions Book Review: Atlas of the Human Brain within General Brain Science and Reviews.,high citation signal (821); open-access PDF metadata; synthesis or review value; human evidence signal,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1177/003591577106401055,7bc7ff206d4dc2287a8b118b1bbaab1d5b07d8a5,https://doi.org/10.1177/003591577106401055,https://doi.org/10.1177/003591577106401055,,Review,unknown,brain; brain in title,
9,1971,Languages of the Brain: Experimental Paradoxes and Principles in Neuropsychology,K. Pribram,Unknown venue,1971-06-01,789,4,131.1,General Brain Science and Reviews,,Positions Languages of the Brain: Experimental Paradoxes and Principles in Neuropsychology within General Brain Science and Reviews.,high citation signal (789); open-access PDF metadata,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1097/00005053-197307000-00012,498105c280385a87f698b69ccf5da895fdfe908e,https://doi.org/10.1097/00005053-197307000-00012,https://journals.lww.com/jonmd/citation/1973/07000/languages_of_the_brain__experimental_paradoxes_and.12.aspx,,paper,unknown,brain; brain in title,
10,1971,Developmental neurobiology,Massimo Caldarelli,Neurology,1971-03-01,770,31,153.06,"Brain Development, Plasticity, and Connectomics",human;non-human,"The nervous system, once thought to be so complicated that it would defy our efforts to understand it, has begun to yield its secrets with accelerating speed.",high citation signal (770); recognized venue; open-access PDF metadata; human evidence signal,"Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1007/978-1-4757-4954-0,4dac50bd9348c524829a254f585f7c63d79c1f86,https://doi.org/10.1007/978-1-4757-4954-0,https://www.science.org/doi/pdf/10.1126/science.274.5290.1099,,paper,unknown,brain; cortical; neuron; neural; neuroscience; neuroscience term,"The nervous system, once thought to be so complicated that it would defy our efforts to understand it, has begun to yield its secrets with accelerating speed. Indeed, researchers' efforts to understand how the nervous system develops have succeeded to the point that Martin Raff of London's University College can aptly describe the progress as ""staggering"" in the guest Editorial that opens this Special Issue on Developmental Neurobiology. The articles in this issue describe some of that staggering progress. Two deal with the earliest stages of vertebrate neurodevelopment, from the first formation of the neural ectoderm, the tissue that will give rise to the brain and spinal cord, to the later division of the central nervous system into the regions that will go on to acquire specific functions. Using the hindbrain and midbrain as examples, A. Lumsden and R. Krumlauf focus on how the overall anterior-posterior pattern of the nervous system is specified. Both the Hox genes and a variety of signaling molecules, such as retinoic acid, are important players in establishing the fates of these early cells. In their article, Y. Tanabe and T. M. Jessell Y. Tanabe and T. M. Jessell take up dorsal-ventral patterning. Here the spinal cord serves as a useful example. Signals, such as Sonic Hedgehog, emanate from the floor plate of the spinal cord and the underlying notochord to direct the fate of the spinal neurons. As neurons acquire particular identities, they begin forming the interconnections that wire the mature nervous system. M. Tessier-Lavigne and C. S. Goodman describe axon guidance, the process by which a growing axon finds a reasonable route toward a likely target. The signposts along the way include both soluble and nondiffusible molecules, which give instructions that can either attract or repel the elongating axon. Once the neural circuits are roughly sketched in early development, their final structure is refined by neuronal activity. L. C. Katz and C. J. Shatz discuss how both sensory experience and spontaneous neural activity can polish the final development of functional neural circuits as well as enable the mature central nervous system to respond to changing inputs. To complement these articles, the News report offers two stories. One describes the human and mouse mutations that are helping reveal the molecules that guide newborn cortical neurons to their final destinations in the brain; another examines new developments in understanding the plasticity of the neuromuscular junction, findings that may also shed light on learning and memory. And finally, F. E. BlooM provides an analysis of the neuroscience resources available on the World Wide Web, including those devoted to the intersection of neuroscience and developmental biology."
