rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,openAccessPdf,workType,language,relevanceReason,abstract
1,1907,"A New Topographical Survey of the Human Cerebral Cortex, being an Account of the Distribution of the Anatomically Distinct Cortical Areas and their Relationship to the Cerebral Sulci.",S. Ge,Unknown venue,1907-07-01,184,0,107.17,General Brain Science and Reviews,human,"Positions A New Topographical Survey of the Human Cerebral Cortex, being an Account of the Distribution of the Anatomically Distinct Cortical Areas and their Relationship to the Cerebral Sulci. within General Brain Science and Reviews.",high citation signal (184); human evidence signal,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",,705b991b98b815d4d9e249cf44fb9d7097526af3,https://www.semanticscholar.org/paper/705b991b98b815d4d9e249cf44fb9d7097526af3,,Review,unknown,cerebral; cortex; cortical; neuroscience term,
2,1907,The corpus ponto-bulbare-A hitherto undescribed nuclear mass in the human hind brain,C. Essick,Unknown venue,1907-06-01,42,0,79.9,General Brain Science and Reviews,human,Positions The corpus ponto-bulbare-A hitherto undescribed nuclear mass in the human hind brain within General Brain Science and Reviews.,high citation signal (42); open-access PDF metadata; human evidence signal,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1002/AJA.1000070103,e010d29cb1c50857138995c294a2a9df55adf630,https://doi.org/10.1002/AJA.1000070103,https://zenodo.org/records/2254393/files/article.pdf,paper,unknown,brain; brain in title,
3,1907,New Studies on the Folding of the Visual Cortex and the Significance of the Occipital Sulci in the Human Brain.,S. Ge,Unknown venue,1907-04-01,32,0,80.14,Cognitive and Systems Neuroscience,human,Positions New Studies on the Folding of the Visual Cortex and the Significance of the Occipital Sulci in the Human Brain. within Cognitive and Systems Neuroscience.,high citation signal (32); human evidence signal,"Task designs can simplify cognition enough that ecological validity becomes uncertain.; Cross-species alignment between circuits, behavior, and subjective experience remains imperfect.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",,1617282243b14943aff0ed13f3298fd9054dac3e,https://www.semanticscholar.org/paper/1617282243b14943aff0ed13f3298fd9054dac3e,,paper,unknown,brain; cortex; brain in title; neuroscience term,
4,1907,"The tactile centers in the spinal cord and brain of the sea robin, prionotus carolinus",C. J. Herrick,Unknown venue,1907-07-01,19,0,64.92,General Brain Science and Reviews,,"Positions The tactile centers in the spinal cord and brain of the sea robin, prionotus carolinus within General Brain Science and Reviews.",high citation signal (19); open-access PDF metadata,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1002/CNE.920170402,aa84182282c06670f6afc91e9b154d1659987eaf,https://doi.org/10.1002/CNE.920170402,https://zenodo.org/record/2412546/files/article.pdf,paper,unknown,brain; brain in title,
5,1907,"A STUDY OF THE NEUROFIBRILS IN DEMENTIA PARALYTICA, DEMENTIA SENILIS, CHRONIC ALCOHOLISM, CEREBRAL LUES AND MICROCEPHALIC IDIOCY",S. C. Fuller,Unknown venue,1907-04-01,14,1,50.74,Clinical Neurology and Neurodegeneration,,"Positions A STUDY OF THE NEUROFIBRILS IN DEMENTIA PARALYTICA, DEMENTIA SENILIS, CHRONIC ALCOHOLISM, CEREBRAL LUES AND MICROCEPHALIC IDIOCY within Clinical Neurology and Neurodegeneration.",high citation signal (14),"Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1176/AJP.63.4.415,7f3ca56e0f940d983259643061833e19a131eca9,https://doi.org/10.1176/AJP.63.4.415,,paper,unknown,cerebral,
6,1907,HEMICRANIOSIS AND CURE OF BRAIN TUMOR BY OPERATION.,W. G. Spiller,Unknown venue,1907-12-21,13,0,56.7,Clinical Neurology and Neurodegeneration,non-human,Positions HEMICRANIOSIS AND CURE OF BRAIN TUMOR BY OPERATION. within Clinical Neurology and Neurodegeneration.,high citation signal (13),"Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1001/JAMA.1907.25320250011001B,185c380e46908de9f283abaa1f59c8cb6cf32130,https://doi.org/10.1001/JAMA.1907.25320250011001B,,paper,unknown,brain; brain in title,
7,1907,A Brain with Complete Absence of the Corpus Callosum.,J. Cameron,Journal of anatomy and physiology,1907-07-01,7,0,45.43,General Brain Science and Reviews,,Positions A Brain with Complete Absence of the Corpus Callosum. within General Brain Science and Reviews.,high citation signal (7),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",,a9db34b8e9fe6dbe7d1a4d2be2af94102c593387,https://www.semanticscholar.org/paper/a9db34b8e9fe6dbe7d1a4d2be2af94102c593387,,JournalArticle,unknown,brain; brain in title,
8,1907,Abscess of the Brain,Unknown authors,Atlanta journal-record of medicine,1907-01-01,7,0,45.43,General Brain Science and Reviews,,Positions Abscess of the Brain within General Brain Science and Reviews.,high citation signal (7),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",,f1eede3e663efdf745264ab7b4d3d6bc4f3f59ee,https://www.semanticscholar.org/paper/f1eede3e663efdf745264ab7b4d3d6bc4f3f59ee,,JournalArticle,unknown,brain; brain in title,
9,1907,SEQUESTRATION ANAEMIA IN BRAIN AND SKULL SURGERY.,R. H. Dawbarn,Annals of Surgery,1907-02-01,7,0,49.63,General Brain Science and Reviews,non-human,Positions SEQUESTRATION ANAEMIA IN BRAIN AND SKULL SURGERY. within General Brain Science and Reviews.,high citation signal (7); open-access PDF metadata,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1097/00000658-190702000-00001,b1551fb86528f7e17a499de162af7d3a5653c6a9,https://doi.org/10.1097/00000658-190702000-00001,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1414235,JournalArticle,unknown,brain; brain in title,
10,1907,THE EFFECT OF INJURIES OF THE BRAIN ON THE VASOMOTOR CENTRE,"W. Porter, T. A. Storey",Unknown venue,1907-03-01,5,0,40.25,General Brain Science and Reviews,,Positions THE EFFECT OF INJURIES OF THE BRAIN ON THE VASOMOTOR CENTRE within General Brain Science and Reviews.,high citation signal (5),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1152/AJPLEGACY.1907.18.2.181,6ecf3c31b633fc2e585559c91252583afe6b2cfa,https://doi.org/10.1152/AJPLEGACY.1907.18.2.181,,paper,unknown,brain; brain in title,
