rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,openAccessPdf,githubUrl,workType,language,relevanceReason,abstract
1,1963,PRINCIPLES OF NEURODYNAMICS. PERCEPTRONS AND THE THEORY OF BRAIN MECHANISMS,F. Rosenblatt,Unknown venue,1963-12-01,2592,151,152.49,"Brain Development, Plasticity, and Connectomics",,"Abstract : Part I attempts to review the background, basic sources of data, concepts, and methodology to be employed in the study of perceptrons.","high citation signal (2,592); open-access PDF metadata","Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.2307/1419730,9b486c647916df9f8be0f8d4fc5c94c493bfaa80,https://doi.org/10.2307/1419730,http://hdl.handle.net/2027/mdp.39015039846566,,Review,unknown,brain; brain in title,"Abstract : Part I attempts to review the background, basic sources of data, concepts, and methodology to be employed in the study of perceptrons. In Chapter 2, a brief review of the main alternative approaches to the development of brain models is presented. Chapter 3 considers the physiological and psychological criteria for a suitable model, and attempts to evaluate the empirical evidence which is available on several important issues. Chapter 4 contains basic definitions and some of the notation to be used in later sections are presented. Parts II and III are devoted to a summary of the established theoretical results obtained to date. Part II (Chapters 5 through 14) deals with the theory of three-layer series-coupled perceptrons, on which most work has been done to date. Part III (Chapters 15 through 20) deals with the theory of multi-layer and cross-coupled perceptrons. Part IV is concerned with more speculative models and problems for future analysis. Of necessity, the final chapters become increasingly heuristic in character, as the theory of perceptrons is not yet complete, and new possibilities are continually coming to light."
2,1963,Effects of Different Brain Lesions on Card Sorting: The Role of the Frontal Lobes,B. Milner,Unknown venue,1963-07-01,2076,111,145.5,General Brain Science and Reviews,,Positions Effects of Different Brain Lesions on Card Sorting: The Role of the Frontal Lobes within General Brain Science and Reviews.,"high citation signal (2,076)","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1001/ARCHNEUR.1963.00460070100010,77f83e84cdd974bea6b96543e9a383f91a860286,https://doi.org/10.1001/ARCHNEUR.1963.00460070100010,,,paper,unknown,brain; brain in title,
3,1963,CHROMATOGRAPHlC SEPARATION OF HUMAN BRAIN GANGLIOSIDES *,L. Svennerholm,Journal of Neurochemistry,1963-09-01,1485,20,141.87,General Brain Science and Reviews,human;non-human,Positions CHROMATOGRAPHlC SEPARATION OF HUMAN BRAIN GANGLIOSIDES * within General Brain Science and Reviews.,"high citation signal (1,485); human evidence signal","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1111/j.1471-4159.1963.tb08933.x,217dc9098e0d22b85f42041138badcb5b5ca4ab6,https://doi.org/10.1111/j.1471-4159.1963.tb08933.x,,,JournalArticle,unknown,brain; brain in title,
4,1963,THE BRAIN'S RECORD OF AUDITORY AND VISUAL EXPERIENCE. A FINAL SUMMARY AND DISCUSSION.,"W. Penfield, P. Perot",Brain : a journal of neurology,1963-12-01,1220,46,147.93,Clinical Neurology and Neurodegeneration,,Positions THE BRAIN'S RECORD OF AUDITORY AND VISUAL EXPERIENCE. A FINAL SUMMARY AND DISCUSSION. within Clinical Neurology and Neurodegeneration.,"high citation signal (1,220); recognized venue","Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1093/BRAIN/86.4.595,bd9d8c84f571b88f81318f042ead1d202e7fa501,https://doi.org/10.1093/BRAIN/86.4.595,,,JournalArticle,unknown,brain; brain in title,
5,1963,Autoradiographic investigation of cell proliferation in the brains of rats and cats,J. Altman,The Anatomical Record,1963-04-01,616,8,124.85,General Brain Science and Reviews,non-human,Positions Autoradiographic investigation of cell proliferation in the brains of rats and cats within General Brain Science and Reviews.,high citation signal (616),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1002/AR.1091450409,3ee4e181786095ef799c1e101f325f9ef76ec78c,https://doi.org/10.1002/AR.1091450409,,,JournalArticle,unknown,brain; brain in title,
6,1963,The circulation and energy metabolism of the brain.,S. Kety,Clinical neurosurgery,1963,598,28,127.31,Clinical Neurology and Neurodegeneration,human,Positions The circulation and energy metabolism of the brain. within Clinical Neurology and Neurodegeneration.,high citation signal (598); open-access PDF metadata; human evidence signal,"Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1093/NEUROSURGERY/9.CN_SUPPL_1.56,2b3c8e53c660fa3b30b4d3cd860e49769466d745,https://doi.org/10.1093/NEUROSURGERY/9.CN_SUPPL_1.56,https://doi.org/10.1093/neurosurgery/9.cn_suppl_1.56,,JournalArticle; ClinicalTrial,unknown,brain; brain in title,
7,1963,Iontophoretic studies of neurones in the mammalian cerebral cortex,"K. Krnjević, J. Phillis",Journal of Physiology,1963-02-01,596,3,130.05,"Cellular, Molecular, and Synaptic Neuroscience",,"Positions Iontophoretic studies of neurones in the mammalian cerebral cortex within Cellular, Molecular, and Synaptic Neuroscience.",high citation signal (596); open-access PDF metadata,"Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1113/jphysiol.1963.sp007057,a3cfd553dd8caaa0cdc6d5f066329764007b11d5,https://doi.org/10.1113/jphysiol.1963.sp007057,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1359271,,JournalArticle,unknown,cerebral; cortex; neuron; neuroscience term,
8,1963,Cholinergic mechanisms in the control of behavior by the brain.,P. L. Carlton,Psychology Review,1963,557,10,121.84,Cognitive and Systems Neuroscience,,Positions Cholinergic mechanisms in the control of behavior by the brain. within Cognitive and Systems Neuroscience.,high citation signal (557),"Task designs can simplify cognition enough that ecological validity becomes uncertain.; Cross-species alignment between circuits, behavior, and subjective experience remains imperfect.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1037/H0045063,1faa148159188ae97cfb58fd8de20a238cb00e02,https://doi.org/10.1037/H0045063,,,JournalArticle,unknown,brain; brain in title,
9,1963,"Lipid composition of beef brain, beef liver, and the sea anemone: Two approaches to quantitative fractionation of complex lipid mixtures","G. Rouser, G. Kritchevsky, Dorothy Heller, E. Lieber",Unknown venue,1963-09-01,537,1,121.18,General Brain Science and Reviews,,"Positions Lipid composition of beef brain, beef liver, and the sea anemone: Two approaches to quantitative fractionation of complex lipid mixtures within General Brain Science and Reviews.",high citation signal (537),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1007/BF02632842,f1a0c90f6d6a2584e5d2a2f7095bdf3a73c0a8e7,https://doi.org/10.1007/BF02632842,,,paper,unknown,brain; brain in title,
10,1963,Approach-avoidance analysis of rat diencephalon,"M. Olds, James L Olds",The Journal of comparative neurology,1963-04-01,511,7,131.69,Cognitive and Systems Neuroscience,non-human;stimulation,Behavioral reinforcement by stimulation of diencephalic structures is by now well established.,high citation signal (511); recognized venue; open-access PDF metadata,"Task designs can simplify cognition enough that ecological validity becomes uncertain.; Cross-species alignment between circuits, behavior, and subjective experience remains imperfect.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1002/cne.901200206,5cc7b1c9ffadb7ca741f21033e4dfe851a4e9495,https://doi.org/10.1002/cne.901200206,http://deepblue.lib.umich.edu/bitstream/2027.42/49985/1/901200206_ftp.pdf,,JournalArticle,unknown,brain,"Behavioral reinforcement by stimulation of diencephalic structures is by now well established. Delgado, Roberts, and Miller ('54), after the work of Hess ('54), Gastaut et al. ( ' 5 2 ) , Kaada, ('51), and Masserman ('41, '42) , established negative reinforcement to diencephalic stimulation in the region of the ventral posterior thalamic nuclei. Work of our own (Olds and Milner, '54; Olds, '56, '60) has established positive reinforcement on stimulation in a system based in medial forebrain bundle regions of the lateral hypothalamus and also in the other brain regions tied together by the widely distributed medial forebrain bundle. Roberts ('58a, b), Brown and Cohen ('59), and Bower and Miller ('58) have indicated some regions where both approach and avoidance are evoked by stimulation of the same point. Brodie et al. ('60) have shown, to the contrary, that some points yielding positive reinforcement in medial forebrain bundle regions of the macaque could not be made to yield any escape or avoidance reactions at all. Lilly ('58) has reported a focal point near the anterior commissure of the macaque where approach was produced by very low stimulation levels, and a point much lower (near the optic chiasma) where escape was produced by very low stimulation levels. In the rat, we ('60) have found points in medial forebrain bundle regions where stimulation produced positive reinforcement only, points in dorsomedial tegmentum where stimulation produced negative reinforcement only, and points in between these two types, where stimulation produced both positive and negative reinforcement. Questions remain unanswered concerning the pervasiveness of the areas of pure positive reinforcement, of pure negative reinforcement, and of overlap. More specifically, the questions are concerned with which areas are involved in each phenomenon. The present study takes up these questions with respect to diencephalic centers and some bordering regions of midbrain and telencephalon in the rat."
