rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,openAccessPdf,workType,language,relevanceReason,abstract
1,2023,Donanemab in Early Symptomatic Alzheimer Disease: The TRAILBLAZER-ALZ 2 Randomized Clinical Trial.,"J. Sims, Jennifer A. Zimmer, C. Evans, Ming-ning Lu, P. Ardayfio, J. Sparks, et al.",Journal of the American Medical Association (JAMA),2023-07-17,2107,93,142.16,Clinical Neurology and Neurodegeneration,human;non-human,Importance There are limited efficacious treatments for Alzheimer disease.,"high citation signal (2,107); human evidence signal","Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1001/jama.2023.13239,d29ceca8554f3a2becc7d70abef8dffb2b3b2483,https://doi.org/10.1001/jama.2023.13239,,JournalArticle,unknown,brain,"Importance There are limited efficacious treatments for Alzheimer disease. Objective To assess efficacy and adverse events of donanemab, an antibody designed to clear brain amyloid plaque. Design, Setting, and Participants Multicenter (277 medical research centers/hospitals in 8 countries), randomized, double-blind, placebo-controlled, 18-month phase 3 trial that enrolled 1736 participants with early symptomatic Alzheimer disease (mild cognitive impairment/mild dementia) with amyloid and low/medium or high tau pathology based on positron emission tomography imaging from June 2020 to November 2021 (last patient visit for primary outcome in April 2023). Interventions Participants were randomized in a 1:1 ratio to receive donanemab (n = 860) or placebo (n = 876) intravenously every 4 weeks for 72 weeks. Participants in the donanemab group were switched to receive placebo in a blinded manner if dose completion criteria were met. Main Outcomes and Measures The primary outcome was change in integrated Alzheimer Disease Rating Scale (iADRS) score from baseline to 76 weeks (range, 0-144; lower scores indicate greater impairment). There were 24 gated outcomes (primary, secondary, and exploratory), including the secondary outcome of change in the sum of boxes of the Clinical Dementia Rating Scale (CDR-SB) score (range, 0-18; higher scores indicate greater impairment). Statistical testing allocated α of .04 to testing low/medium tau population outcomes, with the remainder (.01) for combined population outcomes. Results Among 1736 randomized participants (mean age, 73.0 years; 996 [57.4%] women; 1182 [68.1%] with low/medium tau pathology and 552 [31.8%] with high tau pathology), 1320 (76%) completed the trial. Of the 24 gated outcomes, 23 were statistically significant. The least-squares mean (LSM) change in iADRS score at 76 weeks was -6.02 (95% CI, -7.01 to -5.03) in the donanemab group and -9.27 (95% CI, -10.23 to -8.31) in the placebo group (difference, 3.25 [95% CI, 1.88-4.62]; P < .001) in the low/medium tau population and -10.2 (95% CI, -11.22 to -9.16) with donanemab and -13.1 (95% CI, -14.10 to -12.13) with placebo (difference, 2.92 [95% CI, 1.51-4.33]; P < .001) in the combined population. LSM change in CDR-SB score at 76 weeks was 1.20 (95% CI, 1.00-1.41) with donanemab and 1.88 (95% CI, 1.68-2.08) with placebo (difference, -0.67 [95% CI, -0.95 to -0.40]; P < .001) in the low/medium tau population and 1.72 (95% CI, 1.53-1.91) with donanemab and 2.42 (95% CI, 2.24-2.60) with placebo (difference, -0.7 [95% CI, -0.95 to -0.45]; P < .001) in the combined population. Amyloid-related imaging abnormalities of edema or effusion occurred in 205 participants (24.0%; 52 symptomatic) in the donanemab group and 18 (2.1%; 0 symptomatic during study) in the placebo group and infusion-related reactions occurred in 74 participants (8.7%) with donanemab and 4 (0.5%) with placebo. Three deaths in the donanemab group and 1 in the placebo group were considered treatment related. Conclusions and Relevance Among participants with early symptomatic Alzheimer disease and amyloid and tau pathology, donanemab significantly slowed clinical progression at 76 weeks in those with low/medium tau and in the combined low/medium and high tau pathology population. Trial Registration ClinicalTrials.gov Identifier: NCT04437511."
2,2023,The Rise and Potential of Large Language Model Based Agents: A Survey,"Zhiheng Xi, Wenxiang Chen, Xin Guo, Wei He, Yiwen Ding, Boyang Hong, et al.",arXiv.org,2023-09-14,1807,72,142.4,Cognitive and Systems Neuroscience,human;non-human,"For a long time, humanity has pursued artificial intelligence (AI) equivalent to or surpassing the human level, with AI agents considered a promising vehicle for this pursuit.","high citation signal (1,807); open-access PDF metadata; human evidence signal","Task designs can simplify cognition enough that ecological validity becomes uncertain.; Cross-species alignment between circuits, behavior, and subjective experience remains imperfect.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.48550/arXiv.2309.07864,0c72450890a54b68d63baa99376131fda8f06cf9,https://doi.org/10.48550/arXiv.2309.07864,https://arxiv.org/pdf/2309.07864,JournalArticle; Review,unknown,brain,"For a long time, humanity has pursued artificial intelligence (AI) equivalent to or surpassing the human level, with AI agents considered a promising vehicle for this pursuit. AI agents are artificial entities that sense their environment, make decisions, and take actions. Many efforts have been made to develop intelligent agents, but they mainly focus on advancement in algorithms or training strategies to enhance specific capabilities or performance on particular tasks. Actually, what the community lacks is a general and powerful model to serve as a starting point for designing AI agents that can adapt to diverse scenarios. Due to the versatile capabilities they demonstrate, large language models (LLMs) are regarded as potential sparks for Artificial General Intelligence (AGI), offering hope for building general AI agents. Many researchers have leveraged LLMs as the foundation to build AI agents and have achieved significant progress. In this paper, we perform a comprehensive survey on LLM-based agents. We start by tracing the concept of agents from its philosophical origins to its development in AI, and explain why LLMs are suitable foundations for agents. Building upon this, we present a general framework for LLM-based agents, comprising three main components: brain, perception, and action, and the framework can be tailored for different applications. Subsequently, we explore the extensive applications of LLM-based agents in three aspects: single-agent scenarios, multi-agent scenarios, and human-agent cooperation. Following this, we delve into agent societies, exploring the behavior and personality of LLM-based agents, the social phenomena that emerge from an agent society, and the insights they offer for human society. Finally, we discuss several key topics and open problems within the field. A repository for the related papers at https://github.com/WooooDyy/LLM-Agent-Paper-List."
3,2023,Association of Sex With Neurobehavioral Markers of Executive Function in 2-Year-Olds at High and Low Likelihood of Autism,"T. St John, A. Estes, H. Hazlett, N. Marrus, Catherine A. Burrows, Kevin Donovan, et al.",JAMA Network Open,2023-05-01,1750,122,143.02,"Brain Development, Plasticity, and Connectomics",human;non-human;connectome,"Key Points Question Are executive function (EF) differences early in development associated with sex, familial likelihood for autism, and alterations in brain volume?","high citation signal (1,750); open-access PDF metadata; human evidence signal","Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1001/jamanetworkopen.2023.11543,aca7cb2bb531e60a590e40a256674b67f0a88cde,https://doi.org/10.1001/jamanetworkopen.2023.11543,https://jamanetwork.com/journals/jamanetworkopen/articlepdf/2804478/st._john_2023_oi_230363_1682516039.69448.pdf,JournalArticle,unknown,brain,"Key Points Question Are executive function (EF) differences early in development associated with sex, familial likelihood for autism, and alterations in brain volume? Findings In this cohort study of 165 children aged 24 months at high and low familial likelihood for autism, girls and boys at high likelihood had significantly lower EF than girls and boys at low likelihood. Differences in brain-behavior associations across sex and familial likelihood for autism were also found. Meaning This pattern of findings suggests that EF impairments may aggregate in families with an autistic proband, particularly in girls."
4,2023,"The blood-brain barrier: Structure, regulation and drug delivery","Di Wu, Qi Chen, Xiaojie Chen, Feng Han, Zhong Chen, Yi Wang",Signal Transduction and Targeted Therapy,2023-05-25,1431,33,143.0,"Brain Development, Plasticity, and Connectomics",non-human,Blood-brain barrier (BBB) is a natural protective membrane that prevents central nervous system (CNS) from toxins and pathogens in blood.,"high citation signal (1,431); open-access PDF metadata","Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1038/s41392-023-01481-w,1dd602f298d3e4fadff86dba309fb1ae7028e8f1,https://doi.org/10.1038/s41392-023-01481-w,https://www.nature.com/articles/s41392-023-01481-w.pdf,Review; JournalArticle,unknown,brain; brain in title,"Blood-brain barrier (BBB) is a natural protective membrane that prevents central nervous system (CNS) from toxins and pathogens in blood. However, the presence of BBB complicates the pharmacotherapy for CNS disorders as the most chemical drugs and biopharmaceuticals have been impeded to enter the brain. Insufficient drug delivery into the brain leads to low therapeutic efficacy as well as aggravated side effects due to the accumulation in other organs and tissues. Recent breakthrough in materials science and nanotechnology provides a library of advanced materials with customized structure and property serving as a powerful toolkit for targeted drug delivery. In-depth research in the field of anatomical and pathological study on brain and BBB further facilitates the development of brain-targeted strategies for enhanced BBB crossing. In this review, the physiological structure and different cells contributing to this barrier are summarized. Various emerging strategies for permeability regulation and BBB crossing including passive transcytosis, intranasal administration, ligands conjugation, membrane coating, stimuli-triggered BBB disruption, and other strategies to overcome BBB obstacle are highlighted. Versatile drug delivery systems ranging from organic, inorganic, and biologics-derived materials with their synthesis procedures and unique physio-chemical properties are summarized and analyzed. This review aims to provide an up-to-date and comprehensive guideline for researchers in diverse fields, offering perspectives on further development of brain-targeted drug delivery system."
5,2023,A survey on multimodal large language models,"Shukang Yin, Chaoyou Fu, Sirui Zhao, Ke Li, Xing Sun, Tong Xu, et al.",National Science Review,2023-06-23,1429,53,149.18,Cognitive and Systems Neuroscience,ECoG;non-human,"ABSTRACT Recently, the multimodal large language model (MLLM) represented by GPT-4V has been a new rising research hotspot, which uses powerful large language models (LLMs) as a brain to perform multimodal tasks.","high citation signal (1,429); recognized venue","Task designs can simplify cognition enough that ecological validity becomes uncertain.; Cross-species alignment between circuits, behavior, and subjective experience remains imperfect.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1093/nsr/nwae403,ebedc4d7a2356090904baba4104ef0832bc236df,https://doi.org/10.1093/nsr/nwae403,,Review; JournalArticle,unknown,brain; ecog,"ABSTRACT Recently, the multimodal large language model (MLLM) represented by GPT-4V has been a new rising research hotspot, which uses powerful large language models (LLMs) as a brain to perform multimodal tasks. The surprising emergent capabilities of the MLLM, such as writing stories based on images and optical character recognition-free math reasoning, are rare in traditional multimodal methods, suggesting a potential path to artificial general intelligence. To this end, both academia and industry have endeavored to develop MLLMs that can compete with or even outperform GPT-4V, pushing the limit of research at a surprising speed. In this paper, we aim to trace and summarize the recent progress of MLLMs. First, we present the basic formulation of the MLLM and delineate its related concepts, including architecture, training strategy and data, as well as evaluation. Then, we introduce research topics about how MLLMs can be extended to support more granularity, modalities, languages and scenarios. We continue with multimodal hallucination and extended techniques, including multimodal in-context learning, multimodal chain of thought and LLM-aided visual reasoning. To conclude the paper, we discuss existing challenges and point out promising research directions."
6,2023,Graph of Thoughts: Solving Elaborate Problems with Large Language Models,"Maciej Besta, Nils Blach, Aleš Kubíček, Robert Gerstenberger, Lukas Gianinazzi, Joanna Gajda, et al.",AAAI Conference on Artificial Intelligence,2023-08-18,1391,63,138.89,Computational Neuroscience and AI,human;non-human;connectome,We introduce Graph of Thoughts (GoT): a framework that advances prompting capabilities in large language models (LLMs) beyond those offered by paradigms such as Chain-of-Thought or Tree of Thoughts (ToT).,"high citation signal (1,391); open-access PDF metadata; human evidence signal","Predictive performance does not necessarily identify causal neural mechanisms.; Models can inherit dataset bias, preprocessing artifacts, and task constraints.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1609/aaai.v38i16.29720,aade40af0d85b0b4fe15c97f6222d5c2e4d6d9b3,https://doi.org/10.1609/aaai.v38i16.29720,https://ojs.aaai.org/index.php/AAAI/article/download/29720/31236,JournalArticle; Conference,unknown,brain,"We introduce Graph of Thoughts (GoT): a framework that advances prompting capabilities in large language models (LLMs) beyond those offered by paradigms such as Chain-of-Thought or Tree of Thoughts (ToT). The key idea and primary advantage of GoT is the ability to model the information generated by an LLM as an arbitrary graph, where units of information (""LLM thoughts"") are vertices, and edges correspond to dependencies between these vertices. This approach enables combining arbitrary LLM thoughts into synergistic outcomes, distilling the essence of whole networks of thoughts, or enhancing thoughts using feedback loops. We illustrate that GoT offers advantages over state of the art on different tasks, for example increasing the quality of sorting by 62% over ToT, while simultaneously reducing costs by >31%. We ensure that GoT is extensible with new thought transformations and thus can be used to spearhead new prompting schemes. This work brings the LLM reasoning closer to human thinking or brain mechanisms such as recurrence, both of which form complex networks"
7,2023,Glioblastoma and other Primary Brain Malignancies in Adults. A Review,"L. Schaff, I. Mellinghoff",Journal of the American Medical Association (JAMA),2023-02-21,964,31,145.3,"Cellular, Molecular, and Synaptic Neuroscience",MRI;human;non-human,"Importance: Malignant primary brain tumors cause over 15,000 deaths per year in the United States.",high citation signal (964); synthesis or review value; human evidence signal,"Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1001/jama.2023.0023,6c49b835703b5011fa849f27957c013ac501b522,https://doi.org/10.1001/jama.2023.0023,,JournalArticle; Review,unknown,brain; glia; brain in title,"Importance: Malignant primary brain tumors cause over 15,000 deaths per year in the United States. The annual incidence of primary malignant brain tumors is approximately 7 per 100,000 individuals and increases with age. Five-year survival is about 67%. Observations: Malignant brain tumors include glioblastoma (49%), other gliomas with infiltration in the central nervous system (CNS) parenchyma (about 30%), primary CNS lymphoma (7%), and malignant forms of ependymomas (3%) and meningiomas (2%). Symptoms of malignant brain tumors include headache (50%), seizures (20-50%), neurocognitive impairment (30-40%), and focal neurologic deficits (10-40%). Magnetic resonance imaging before and after a gadolinium-based contrast agent is the preferred imaging modality for evaluating brain tumors. Diagnosis requires tumor biopsy with consideration of histopathological and molecular characteristics. Treatment varies by tumor type and often includes a combination of surgery, chemotherapy, and radiation. For patients with glioblastoma, the combination of temozolomide with radiotherapy improved survival compared to radiotherapy alone (2-year survival: 27.2% versus 10.9%; 5-year survival: 9.8% versus 1.9%)(HR 0.6, 95% CI 0.5-0.7; p<0.001). In patients with anaplastic oligodendroglial tumors with 1p/19q codeletion, probable 20-year overall survival following radiotherapy without versus with the combination of procarbazine, lomustine, and vincristine was 13.6% versus 37.1% (n=80; HR 0.60; 95% CI 0.35-1.03; p=0.06) in the EORTC 26951 trial and 14.9% versus 37% in the RTOG 9402 trial (n=125; HR 0.61; 95% CI 0.40-0.94; p=0.02). Treatment of primary CNS lymphoma includes high-dose methotrexate containing regimens, followed by consolidation therapy with myeloablative chemotherapy and autologous stem cell rescue, non-myeloablative chemotherapy regimens, or whole brain radiation. Conclusions and Relevance: The incidence of primary malignant brain tumors is about 7 per 100,000 individuals and approximately 49% of brain tumors are glioblastomas. Most patients die from progressive disease. First line therapy for glioblastoma is surgery followed by radiation and the alkylating chemotherapeutic agent temozolomide."
8,2023,CBTRUS Statistical Report: Primary Brain and Other Central Nervous System Tumors Diagnosed in the United States in 2016-2020.,"Q. Ostrom, M. Price, C. Neff, G. Cioffi, K. Waite, C. Kruchko, et al.",Neuro-Oncology,2023-10-04,819,116,134.17,"Brain Development, Plasticity, and Connectomics",human;non-human,"The Central Brain Tumor Registry of the United States (CBTRUS), in collaboration with the Centers for Disease Control and Prevention and the National Cancer Institute, is the largest population-based registry focused exclusively on primary brain and other central nervous system (CNS) tumors in the United States (US) and represents the entire US population.",high citation signal (819); open-access PDF metadata; human evidence signal,"Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1093/neuonc/noad149,6cafd35d42d951dc2acf5750017683df92f12218,https://doi.org/10.1093/neuonc/noad149,https://academic.oup.com/neuro-oncology/article-pdf/25/Supplement_4/iv1/51862844/noad149.pdf,JournalArticle,unknown,brain; brain in title,"The Central Brain Tumor Registry of the United States (CBTRUS), in collaboration with the Centers for Disease Control and Prevention and the National Cancer Institute, is the largest population-based registry focused exclusively on primary brain and other central nervous system (CNS) tumors in the United States (US) and represents the entire US population. This report contains the most up-to-date population-based data on primary brain tumors available and supersedes all previous CBTRUS reports in terms of completeness and accuracy. All rates are age-adjusted using the 2000 US standard population and presented per 100,000 population. The average annual age-adjusted incidence rate (AAAIR) of all malignant and non-malignant brain and other CNS tumors was 24.83 per 100,000 population (malignant AAAIR=6.94 and non-malignant AAAIR=17.88). This overall rate was higher in females compared to males (27.85 versus 21.62 per 100,000) and non-Hispanic persons compared to Hispanic persons (25.24 versus 22.61 per 100,000). Gliomas accounted for 26.3% of all tumors. The most commonly occurring malignant brain and other CNS histopathology was glioblastoma (14.2% of all tumors and 50.9% of all malignant tumors), and the most common predominantly non-malignant histopathology was meningioma (40.8% of all tumors and 56.2% of all non-malignant tumors). Glioblastomas were more common in males, and meningiomas were more common in females. In children and adolescents (ages 0-19 years), the incidence rate of all primary brain and other CNS tumors was 6.13 per 100,000 population. There were 86,030 deaths attributed to malignant brain and other CNS tumors between 2016 and 2020. This represents an average annual mortality rate of 4.42 per 100,000 population and an average of 17,206 deaths per year. The five-year relative survival rate following diagnosis of a malignant brain and other CNS tumor was 35.7%, for a non-malignant brain and other CNS tumor the five-year relative survival rate was 91.8%."
9,2023,Segment Anything Model for medical image analysis: an experimental study,"M. Mazurowski, Haoyu Dong, Han Gu, Jichen Yang, N. Konz, Yixin Zhang",Medical Image Anal.,2023-04-20,801,26,129.77,Neuroimaging and Brain Mapping,MRI;non-human,Training segmentation models for medical images continues to be challenging due to the limited availability of data annotations.,high citation signal (801); open-access PDF metadata,"Scanner, protocol, site, and preprocessing variation can limit reproducibility across cohorts.; Associational imaging biomarkers often need stronger longitudinal or intervention evidence before causal claims are made.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1016/j.media.2023.102918,c6ac64877b2bcac2389be4d91a62dea8c6f73844,https://doi.org/10.1016/j.media.2023.102918,http://manuscript.elsevier.com/S1361841523001780/pdf/S1361841523001780.pdf,JournalArticle,unknown,brain; mri,"Training segmentation models for medical images continues to be challenging due to the limited availability of data annotations. Segment Anything Model (SAM) is a foundation model trained on over 1 billion annotations, predominantly for natural images, that is intended to segment user-defined objects of interest in an interactive manner. While the model performance on natural images is impressive, medical image domains pose their own set of challenges. Here, we perform an extensive evaluation of SAM's ability to segment medical images on a collection of 19 medical imaging datasets from various modalities and anatomies. In our experiments, we generated point and box prompts for SAM using a standard method that simulates interactive segmentation. We report the following findings: (1) SAM's performance based on single prompts highly varies depending on the dataset and the task, from IoU=0.1135 for spine MRI to IoU=0.8650 for hip X-ray. (2) Segmentation performance appears to be better for well-circumscribed objects with prompts with less ambiguity such as the segmentation of organs in computed tomography and poorer in various other scenarios such as the segmentation of brain tumors. (3) SAM performs notably better with box prompts than with point prompts. (4) SAM outperforms similar methods RITM, SimpleClick, and FocalClick in almost all single-point prompt settings. (5) When multiple-point prompts are provided iteratively, SAM's performance generally improves only slightly while other methods' performance improves to the level that surpasses SAM's point-based performance. We also provide several illustrations for SAM's performance on all tested datasets, iterative segmentation, and SAM's behavior given prompt ambiguity. We conclude that SAM shows impressive zero-shot segmentation performance for certain medical imaging datasets, but moderate to poor performance for others. SAM has the potential to make a significant impact in automated medical image segmentation in medical imaging, but appropriate care needs to be applied when using it. Code for evaluation SAM is made publicly available at https://github.com/mazurowski-lab/segment-anything-medical-evaluation."
10,2023,Neural Field Continuum Limits and the Structure-Function Partitioning of Cognitive-Emotional Brain Networks,K. Clark,Biology,2023-02-23,792,40,147.56,"Brain Development, Plasticity, and Connectomics",non-human;connectome,"Simple Summary Pessoa postulates that bran anatomy associated with the processing and expression of emotion-laden content, such as the amygdala and limbic cortices, is resource capacity-limited.",high citation signal (792); open-access PDF metadata,"Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.3390/biology12030352,a89cc66d5c615eb350b46eda017ff002aa3123d9,https://doi.org/10.3390/biology12030352,https://www.mdpi.com/2079-7737/12/3/352/pdf?version=1677123079,Review; JournalArticle,unknown,brain; neuron; neural; neuroscience; amygdala; brain in title; neuroscience term,"Simple Summary Pessoa postulates that bran anatomy associated with the processing and expression of emotion-laden content, such as the amygdala and limbic cortices, is resource capacity-limited. Thus, brains require multichannel or parallel structure-function connectivity to effectively perceive, motivate, integrate, represent, recall, and execute cognitive-emotional relationships. Pessoa employs 2D graph network theory to support his views on distributed brain organization and operation, concluding that brains evolve through dual-process competition and cooperation to form highly embedded computational architectures with little structure-function compartmentalization. Low-dimensional graph theory has become a popular mathematical tool to model, simulate, and visualize evolving complex, sometimes intractable, brain networks. Graph theory offers advantages to study and understand various biological and technological network behaviors and, for Pessoa, it permits a framework that accounts for structure-function features thus far poorly explained by perhaps ""traditional"" perspectives, which advocate for the mapping of structure-function relationships onto well-localized brain areas. Pessoa nonetheless fails to fully appreciate the significance of weak-to-strong structure-function correlations for brain dynamics and why those correlations, caused by differential control parameters such as Hebbian and antiHebbian neuronal plasticity, are best assessed using neural field theories. Neural fields demonstrate that embedded brain networks optimally evolve between exotic computational phases and continuum limits with the accompaniment of some network partitioning, rather than unconstrained embeddedness, when rendering healthy cognitive-emotional functionality. Abstract In The cognitive-emotional brain, Pessoa overlooks continuum effects on nonlinear brain network connectivity by eschewing neural field theories and physiologically derived constructs representative of neuronal plasticity. The absence of this content, which is so very important for understanding the dynamic structure-function embedding and partitioning of brains, diminishes the rich competitive and cooperative nature of neural networks and trivializes Pessoa's arguments, and similar arguments by other authors, on the phylogenetic and operational significance of an optimally integrated brain filled with variable-strength neural connections. Riemannian neuromanifolds, containing limit-imposing metaplastic Hebbian- and antiHebbian-type control variables, simulate scalable network behavior that is difficult to capture from the simpler graph-theoretic analysis preferred by Pessoa and other neuroscientists. Field theories suggest the partitioning and performance benefits of embedded cognitive-emotional networks that optimally evolve between exotic classical and quantum computational phases, where matrix singularities and condensations produce degenerate structure-function homogeneities unrealistic of healthy brains. Some network partitioning, as opposed to unconstrained embeddedness, is thus required for effective execution of cognitive-emotional network functions and, in our new era of neuroscience, should be considered a critical aspect of proper brain organization and operation."
