rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,openAccessPdf,githubUrl,workType,language,relevanceReason,abstract
1,2004,Identification of human brain tumour initiating cells,"Sheila K. Singh, C. Hawkins, I. Clarke, J. Squire, J. Bayani, T. Hide, et al.",Nature,2004-11-18,7655,393,182.18,General Brain Science and Reviews,human,Positions Identification of human brain tumour initiating cells within General Brain Science and Reviews.,"high citation signal (7,655); recognized venue; human evidence signal","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1038/nature03128,a7afdd381189f3a77eb81a409c9c291a8075423f,https://doi.org/10.1038/nature03128,,,JournalArticle,unknown,brain; brain in title,
2,2004,Neuronal Oscillations in Cortical Networks,"G. Buzsáki, A. Draguhn",Science,2004-06-25,6359,355,180.84,"Cellular, Molecular, and Synaptic Neuroscience",connectome,"Positions Neuronal Oscillations in Cortical Networks within Cellular, Molecular, and Synaptic Neuroscience.","high citation signal (6,359); recognized venue","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1126/SCIENCE.1099745,f42ed1ca8051f73253ba709fa83b7dda69685278,https://doi.org/10.1126/SCIENCE.1099745,,,Review; JournalArticle,unknown,cortical; neuron; neuroscience term,
3,2004,Dynamic mapping of human cortical development during childhood through early adulthood.,"B. Perry, M. White, S. Dorman, Gogtay Md, J. Giedd, Leslie Lusk Ba, et al.",Proceedings of the National Academy of Sciences of the United States of America,2004-05-25,5513,329,173.27,"Brain Development, Plasticity, and Connectomics",human,"Positions Dynamic mapping of human cortical development during childhood through early adulthood. within Brain Development, Plasticity, and Connectomics.","high citation signal (5,513); recognized venue; open-access PDF metadata; human evidence signal","Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1073/PNAS.0402680101,b817b57882569b292addaa57c63a0bee35991383,https://doi.org/10.1073/PNAS.0402680101,https://europepmc.org/articles/pmc419576?pdf=render,,JournalArticle,unknown,cortical,
4,2004,"Tissue distribution of ACE2 protein, the functional receptor for SARS coronavirus. A first step in understanding SARS pathogenesis","I. Hamming, W. Timens, Marian Bulthuis, A. Lely, G. Navis, H. Goor",Journal of Pathology,2004-05-07,5386,191,162.05,General Brain Science and Reviews,human;non-human,Severe acute respiratory syndrome (SARS) is an acute infectious disease that spreads mainly via the respiratory route.,"high citation signal (5,386); open-access PDF metadata; human evidence signal","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1002/path.1570,60fbae4a678ccf6b01e157a877fdf2f4d4976c71,https://doi.org/10.1002/path.1570,https://europepmc.org/articles/pmc7167720?pdf=render,,JournalArticle,unknown,brain,"Severe acute respiratory syndrome (SARS) is an acute infectious disease that spreads mainly via the respiratory route. A distinct coronavirus (SARS-CoV) has been identified as the aetiological agent of SARS. Recently, a metallopeptidase named angiotensin-converting enzyme 2 (ACE2) has been identified as the functional receptor for SARS-CoV. Although ACE2 mRNA is known to be present in virtually all organs, its protein expression is largely unknown. Since identifying the possible route of infection has major implications for understanding the pathogenesis and future treatment strategies for SARS, the present study investigated the localization of ACE2 protein in various human organs (oral and nasal mucosa, nasopharynx, lung, stomach, small intestine, colon, skin, lymph nodes, thymus, bone marrow, spleen, liver, kidney, and brain). The most remarkable finding was the surface expression of ACE2 protein on lung alveolar epithelial cells and enterocytes of the small intestine. Furthermore, ACE2 was present in arterial and venous endothelial cells and arterial smooth muscle cells in all organs studied. In conclusion, ACE2 is abundantly present in humans in the epithelia of the lung and small intestine, which might provide possible routes of entry for the SARS-CoV. This epithelial expression, together with the presence of ACE2 in vascular endothelium, also provides a first step in understanding the pathogenesis of the main SARS disease manifestations. Copyright © 2004 Pathological Society of Great Britain and Ireland. Published by John Wiley & Sons, Ltd."
5,2004,Imaging brain amyloid in Alzheimer's disease with Pittsburgh Compound-B,"W. Klunk, H. Engler, A. Nordberg, Yanming Wang, G. Blomqvist, D. Holt, et al.",Annals of Neurology,2004-03-01,4525,175,171.52,Clinical Neurology and Neurodegeneration,,Positions Imaging brain amyloid in Alzheimer's disease with Pittsburgh Compound-B within Clinical Neurology and Neurodegeneration.,"high citation signal (4,525); recognized venue","Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1002/ana.20009,54f79667dbe41e9e03f6ee2b12bcc43754b91672,https://doi.org/10.1002/ana.20009,,,JournalArticle; Study,unknown,brain; brain in title,
6,2004,Automatically parcellating the human cerebral cortex.,"B. Fischl, A. V. D. van der Kouwe, C. Destrieux, E. Halgren, F. Ségonne, D. Salat, et al.",Cerebral Cortex,2004,4362,339,177.06,General Brain Science and Reviews,human,Positions Automatically parcellating the human cerebral cortex. within General Brain Science and Reviews.,"high citation signal (4,362); recognized venue; open-access PDF metadata; human evidence signal","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1093/CERCOR/BHG087,8a0c2b377bfea184efc266f5155d015612203389,https://doi.org/10.1093/CERCOR/BHG087,https://academic.oup.com/cercor/article-pdf/14/1/11/1193353/bhg087.pdf,,JournalArticle,unknown,cerebral; cortex; neuroscience term,
7,2004,Default-mode network activity distinguishes Alzheimer's disease from healthy aging: Evidence from functional MRI,"M. Greicius, G. Srivastava, A. Reiss, V. Menon",Proc. Natl. Acad. Sci. USA,2004-03-30,3737,262,155.47,"Brain Development, Plasticity, and Connectomics",MRI;connectome,"Positions Default-mode network activity distinguishes Alzheimer's disease from healthy aging: Evidence from functional MRI within Brain Development, Plasticity, and Connectomics.","high citation signal (3,737); open-access PDF metadata","Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",10.1073/PNAS.0308627101,f8d71b849b3d80d1226236a82df46d765a664e36,https://doi.org/10.1073/PNAS.0308627101,https://doi.org/10.1073/pnas.0308627101,,JournalArticle,unknown,mri,
8,2004,Neural systems supporting interoceptive awareness,"H. Critchley, S. Wiens, P. Rotshtein, A. Öhman, R. Dolan",Nature Neuroscience,2004-02-01,3393,182,160.34,General Brain Science and Reviews,,Positions Neural systems supporting interoceptive awareness within General Brain Science and Reviews.,"high citation signal (3,393); recognized venue","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1038/nn1176,37eb08cce9b740f74e2fc3d254f0f2890c7afdf6,https://doi.org/10.1038/nn1176,,,JournalArticle,unknown,neural,
9,2004,BCI2000: a general-purpose brain-computer interface (BCI) system,"G. Schalk, D. McFarland, T. Hinterberger, N. Birbaumer, J. Wolpaw",IEEE Transactions on Biomedical Engineering,2004-05-24,3136,273,152.92,"Brain Stimulation, Neurotechnology, and BCI",,"Positions BCI2000: a general-purpose brain-computer interface (BCI) system within Brain Stimulation, Neurotechnology, and BCI.","high citation signal (3,136)","Small cohorts, invasive risk, device maintenance, and long-term stability remain major translation barriers.; Closed-loop effects are hard to separate from placebo, training, medication, and disease fluctuation.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1109/TBME.2004.827072,84793bfc20dbeeba0949136cfbb964cf12c88ef7,https://doi.org/10.1109/TBME.2004.827072,,,JournalArticle; Study,unknown,brain; brain in title,
10,2004,Interneurons of the neocortical inhibitory system,"H. Markram, Maria Toledo-Rodriguez, Yun Wang, Anirudh Gupta, G. Silberberg, Caizhi Wu",Nature Reviews Neuroscience,2004-10-01,3097,252,166.69,"Cellular, Molecular, and Synaptic Neuroscience",,"Positions Interneurons of the neocortical inhibitory system within Cellular, Molecular, and Synaptic Neuroscience.","high citation signal (3,097); recognized venue","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1038/nrn1519,afa9c5997bd7a75e3fcb0da091c9a8cadfe40eb5,https://doi.org/10.1038/nrn1519,,,Review; JournalArticle,unknown,cortical; neuron; neuroscience term,
11,2004,"Isolation and Characterization of Tumorigenic, Stem-like Neural Precursors from Human Glioblastoma","R. Galli, Elena Binda, U. Orfanelli, B. Cipelletti, A. Gritti, Simona De Vitis, et al.",Cancer Research,2004-10-01,2639,121,148.01,General Brain Science and Reviews,human,"Positions Isolation and Characterization of Tumorigenic, Stem-like Neural Precursors from Human Glioblastoma within General Brain Science and Reviews.","high citation signal (2,639); open-access PDF metadata; human evidence signal","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1158/0008-5472.CAN-04-1364,50d893ccd164f79517deeee00d4f2c3ab5e8b158,https://doi.org/10.1158/0008-5472.CAN-04-1364,https://aacrjournals.org/cancerres/article-pdf/64/19/7011/2518418/zch01904007011.pdf,,JournalArticle,unknown,neural,
12,2004,Translocation of Inhaled Ultrafine Particles to the Brain,"G. Oberdörster, Z. Sharp, V. Atudorei, A. Elder, R. Gelein, W. Kreyling, et al.",Inhalation Toxicology,2004-01-01,2551,88,149.2,General Brain Science and Reviews,,Positions Translocation of Inhaled Ultrafine Particles to the Brain within General Brain Science and Reviews.,"high citation signal (2,551)","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1080/08958370490439597,21f516c95d44060473d805902b9566e8ebbc8deb,https://doi.org/10.1080/08958370490439597,,,JournalArticle; Study,unknown,brain; brain in title,
13,2004,Regional homogeneity approach to fMRI data analysis,"Y. Zang, T. Jiang, Yingli Lu, Yong He, L. Tian",NeuroImage,2004-05-01,2536,217,159.5,Neuroimaging and Brain Mapping,fMRI;human,Positions Regional homogeneity approach to fMRI data analysis within Neuroimaging and Brain Mapping.,"high citation signal (2,536); recognized venue; human evidence signal","Scanner, protocol, site, and preprocessing variation can limit reproducibility across cohorts.; Associational imaging biomarkers often need stronger longitudinal or intervention evidence before causal claims are made.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1016/J.NEUROIMAGE.2003.12.030,678b190a24957df86c06dc3a7f76fe1d021eee80,https://doi.org/10.1016/J.NEUROIMAGE.2003.12.030,,,JournalArticle; ClinicalTrial,unknown,fmri; mri,
14,2004,The Bayesian brain: the role of uncertainty in neural coding and computation.,"D. Knill, A. Pouget",Trends in Neurosciences,2004-12-01,2469,90,162.62,Computational Neuroscience and AI,,Positions The Bayesian brain: the role of uncertainty in neural coding and computation. within Computational Neuroscience and AI.,"high citation signal (2,469); recognized venue","Predictive performance does not necessarily identify causal neural mechanisms.; Models can inherit dataset bias, preprocessing artifacts, and task constraints.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1016/J.TINS.2004.10.007,2a3146db2f3cb39ef37105d428eef964a253daf2,https://doi.org/10.1016/J.TINS.2004.10.007,,,JournalArticle,unknown,brain; neural; brain in title,
15,2004,The neural bases of cognitive conflict and control in moral judgment.,"J. Greene, L. Nystrom, Andrew D. Engell, J. Darley, J. Cohen",Neuron,2004-10-14,2422,204,157.27,"Cellular, Molecular, and Synaptic Neuroscience",,"Positions The neural bases of cognitive conflict and control in moral judgment. within Cellular, Molecular, and Synaptic Neuroscience.","high citation signal (2,422); recognized venue; open-access PDF metadata","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1016/J.NEURON.2004.09.027,1b78c05ec461b7a764f2697607de51ad1b30f71b,https://doi.org/10.1016/J.NEURON.2004.09.027,http://www.cell.com/article/S0896627304006348/pdf,,JournalArticle,unknown,neural,
16,2004,Whole brain radiation therapy with or without stereotactic radiosurgery boost for patients with one to three brain metastases: phase III results of the RTOG 9508 randomised trial.,"D. Andrews, C. Scott, P. Sperduto, A. Flanders, L. Gaspar, M. Schell, et al.",The Lancet,2004-05-22,2398,134,161.29,Clinical Neurology and Neurodegeneration,human,Positions Whole brain radiation therapy with or without stereotactic radiosurgery boost for patients with one to three brain metastases: phase III results of the RTOG 9508 randomised trial. within Clinical Neurology and Neurodegeneration.,"high citation signal (2,398); recognized venue; human evidence signal","Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1016/S0140-6736(04)16250-8,7510d8a1ce82391b2a0e6642bfc830c83b6e7f81,https://doi.org/10.1016/S0140-6736(04)16250-8,,,Study; JournalArticle; ClinicalTrial,unknown,brain; brain in title,
17,2004,A hybrid approach to the skull stripping problem in MRI,"F. Ségonne, A. Dale, E. Busa, Maureen Glessner, D. Salat, Horst K. Hahn, et al.",NeuroImage,2004-07-01,2370,153,158.08,Neuroimaging and Brain Mapping,MRI,Positions A hybrid approach to the skull stripping problem in MRI within Neuroimaging and Brain Mapping.,"high citation signal (2,370); recognized venue; open-access PDF metadata","Scanner, protocol, site, and preprocessing variation can limit reproducibility across cohorts.; Associational imaging biomarkers often need stronger longitudinal or intervention evidence before causal claims are made.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",10.1016/J.NEUROIMAGE.2004.03.032,1f419146ef08534c23f642e0136dcd73321ace43,https://doi.org/10.1016/J.NEUROIMAGE.2004.03.032,http://certis.enpc.fr/publications/papers/04neuroimage_skullstripper.pdf,,JournalArticle,unknown,mri,
18,2004,The amygdala modulates the consolidation of memories of emotionally arousing experiences.,J. D. McGaugh,Annual Review of Neuroscience,2004-06-24,2337,154,153.63,General Brain Science and Reviews,,Positions The amygdala modulates the consolidation of memories of emotionally arousing experiences. within General Brain Science and Reviews.,"high citation signal (2,337); recognized venue","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1146/ANNUREV.NEURO.27.070203.144157,f4b04b0af588fd8b89e26b39ef95170aedc59cc2,https://doi.org/10.1146/ANNUREV.NEURO.27.070203.144157,,,Review; JournalArticle,unknown,amygdala,
19,2004,"The blood-brain barrier: an overview: structure, regulation, and clinical implications.","Praveen Ballabh, Alex Braun, M. Nedergaard",Neurobiology of Disease,2004-06-01,2236,108,148.03,Clinical Neurology and Neurodegeneration,human,"Positions The blood-brain barrier: an overview: structure, regulation, and clinical implications. within Clinical Neurology and Neurodegeneration.","high citation signal (2,236); human evidence signal","Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1016/J.NBD.2003.12.016,d36405d6fce0ed55dd99279fcebf3669ee42373a,https://doi.org/10.1016/J.NBD.2003.12.016,,,Review; JournalArticle,unknown,brain; brain in title,
20,2004,Cortical neurons arise in symmetric and asymmetric division zones and migrate through specific phases,"S. Noctor, V. Martínez-Cerdeño, L. Ivic, A. Kriegstein",Nature Neuroscience,2004-02-01,2232,226,162.0,"Cellular, Molecular, and Synaptic Neuroscience",non-human,"Positions Cortical neurons arise in symmetric and asymmetric division zones and migrate through specific phases within Cellular, Molecular, and Synaptic Neuroscience.","high citation signal (2,232); recognized venue","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1038/nn1172,892b5316ac5b5da18d32e400e9aae3ab68cac8ad,https://doi.org/10.1038/nn1172,,,JournalArticle,unknown,cortical; neuron; neuroscience term,
21,2004,Neurovascular regulation in the normal brain and in Alzheimer's disease,C. Iadecola,Nature Reviews Neuroscience,2004-05-01,2229,135,158.78,General Brain Science and Reviews,,Positions Neurovascular regulation in the normal brain and in Alzheimer's disease within General Brain Science and Reviews.,"high citation signal (2,229); recognized venue","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1038/nrn1387,dd665e4c87db2ca9c2696c46b27ee1f46f1d5eee,https://doi.org/10.1038/nrn1387,,,Review; JournalArticle,unknown,brain; brain in title,
22,2004,Memory systems of the brain: a brief history and current perspective.,L. Squire,Neurobiology of Learning and Memory,2004-11-01,2139,154,146.03,Cognitive and Systems Neuroscience,,Positions Memory systems of the brain: a brief history and current perspective. within Cognitive and Systems Neuroscience.,"high citation signal (2,139)","Task designs can simplify cognition enough that ecological validity becomes uncertain.; Cross-species alignment between circuits, behavior, and subjective experience remains imperfect.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1016/J.NLM.2004.06.005,ff96fff4b7b211e54ae049888a6cc05786e6c378,https://doi.org/10.1016/J.NLM.2004.06.005,,,Review; JournalArticle,unknown,brain; brain in title,
23,2004,"Organization, development and function of complex brain networks.","O. Sporns, D. Chialvo, Marcus Kaiser, C. Hilgetag",Trends in Cognitive Sciences,2004-09-01,2060,56,161.56,"Brain Development, Plasticity, and Connectomics",connectome,"Positions Organization, development and function of complex brain networks. within Brain Development, Plasticity, and Connectomics.","high citation signal (2,060); recognized venue; open-access PDF metadata","Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1016/J.TICS.2004.07.008,c246e3b2b5ff7295d816e1a65a7a25a0e8ee589c,https://doi.org/10.1016/J.TICS.2004.07.008,http://www.chialvo.net/files/xx-2004-sporns.pdf,,Review; JournalArticle,unknown,brain; brain in title,
24,2004,The functional neuroanatomy of the human orbitofrontal cortex: evidence from neuroimaging and neuropsychology.,"M. Kringelbach, E. Rolls",Progress in neurobiology,2004-04-01,1986,105,147.9,Neuroimaging and Brain Mapping,human,Positions The functional neuroanatomy of the human orbitofrontal cortex: evidence from neuroimaging and neuropsychology. within Neuroimaging and Brain Mapping.,"high citation signal (1,986); human evidence signal","Scanner, protocol, site, and preprocessing variation can limit reproducibility across cohorts.; Associational imaging biomarkers often need stronger longitudinal or intervention evidence before causal claims are made.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1016/J.PNEUROBIO.2004.03.006,64fd38f9cc1c05e6f7c309ac2d8a416dfed79add,https://doi.org/10.1016/J.PNEUROBIO.2004.03.006,,,Review; JournalArticle,unknown,cortex; neuroimaging; neuroscience term,
25,2004,Somatotopic representation of action words in human motor and premotor cortex.,"O. Hauk, I. Johnsrude, F. Pulvermüller",Neuron,2004-01-22,1972,89,160.77,"Cellular, Molecular, and Synaptic Neuroscience",human,"Positions Somatotopic representation of action words in human motor and premotor cortex. within Cellular, Molecular, and Synaptic Neuroscience.","high citation signal (1,972); recognized venue; open-access PDF metadata; human evidence signal","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1016/S0896-6273(03)00838-9,93dc64f9670c4ae8f349f66049a0ddd857e7553d,https://doi.org/10.1016/S0896-6273(03)00838-9,https://doi.org/10.1016/s0896-6273(03)00838-9,,JournalArticle; ClinicalTrial,unknown,cortex; neuroscience term,
26,2004,Placebo-Induced Changes in fMRI in the Anticipation and Experience of Pain,"T. Wager, J. Rilling, Edward E. Smith, A. Sokolik, K. Casey, R. Davidson, et al.",Science,2004-02-20,1970,129,157.95,Neuroimaging and Brain Mapping,fMRI;human,Positions Placebo-Induced Changes in fMRI in the Anticipation and Experience of Pain within Neuroimaging and Brain Mapping.,"high citation signal (1,970); recognized venue; open-access PDF metadata; human evidence signal","Scanner, protocol, site, and preprocessing variation can limit reproducibility across cohorts.; Associational imaging biomarkers often need stronger longitudinal or intervention evidence before causal claims are made.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1126/SCIENCE.1093065,14a5e312b5e683bcb84ceb80366d2009617afb89,https://doi.org/10.1126/SCIENCE.1093065,http://www.csbmb.princeton.edu/ncc/PDFs/Placebo/Wager%20et%20al.%20(Science%2004).pdf,,JournalArticle; ClinicalTrial,unknown,fmri; mri,
27,2004,Thinning of the cerebral cortex in aging.,"D. Salat, R. Buckner, A. Snyder, D. Greve, R. Desikan, E. Busa, et al.",Cerebral Cortex,2004-07-01,1915,80,162.24,Clinical Neurology and Neurodegeneration,human,Positions Thinning of the cerebral cortex in aging. within Clinical Neurology and Neurodegeneration.,"high citation signal (1,915); recognized venue; open-access PDF metadata; human evidence signal","Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1093/CERCOR/BHH032,e609cdbac646e4e40aa91209cb1e9327af5c5219,https://doi.org/10.1093/CERCOR/BHH032,https://academic.oup.com/cercor/article-pdf/14/7/721/1068338/bhh032.pdf,,JournalArticle; Study; ClinicalTrial,unknown,cerebral; cortex; neuroscience term,
28,2004,Gene regulation and DNA damage in the ageing human brain,"Tao Lu, Ying Pan, S. Kao, Cheng Li, I. Kohane, J. Chan, et al.",Nature,2004-06-24,1882,94,156.93,General Brain Science and Reviews,human,Positions Gene regulation and DNA damage in the ageing human brain within General Brain Science and Reviews.,"high citation signal (1,882); recognized venue; human evidence signal","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1038/nature02661,4b8a0d5fe4327b737fef8a901635053f56929fc4,https://doi.org/10.1038/nature02661,,,JournalArticle,unknown,brain; brain in title,
29,2004,Large-scale recording of neuronal ensembles,G. Buzsáki,Nature Neuroscience,2004-05-01,1840,98,155.33,"Cellular, Molecular, and Synaptic Neuroscience",,"Positions Large-scale recording of neuronal ensembles within Cellular, Molecular, and Synaptic Neuroscience.","high citation signal (1,840); recognized venue","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1038/nn1233,a09408e3524ad26e1b9542f7bcdb487d0c56064f,https://doi.org/10.1038/nn1233,,,Review; JournalArticle,unknown,neuron; neuroscience term,
30,2004,Brain-derived neurotrophic factor.,"D. Binder, H. Scharfman",Growth Factors,2004-09-01,1838,59,146.31,General Brain Science and Reviews,,Positions Brain-derived neurotrophic factor. within General Brain Science and Reviews.,"high citation signal (1,838); open-access PDF metadata","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1080/08977190410001723308,e04003a4325c9f903301dd2ba05b20bfa15cc740,https://doi.org/10.1080/08977190410001723308,https://europepmc.org/articles/pmc2504526?pdf=render,,Review; JournalArticle,unknown,brain; brain in title,
31,2004,Intersubject Synchronization of Cortical Activity During Natural Vision,"U. Hasson, Y. Nir, I. Levy, Galit Fuhrmann, R. Malach",Science,2004-03-12,1806,167,148.99,General Brain Science and Reviews,,Positions Intersubject Synchronization of Cortical Activity During Natural Vision within General Brain Science and Reviews.,"high citation signal (1,806); recognized venue","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1126/SCIENCE.1089506,5b81e8d0df6fe264cc36ee469055ab87d1cd08d7,https://doi.org/10.1126/SCIENCE.1089506,,,JournalArticle,unknown,cortical,
