rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,openAccessPdf,workType,language,relevanceReason,abstract
1,1905,On the Development of the blood-vessels of the brain in the human embryo,F. Mall,Unknown venue,1905-12-20,85,0,92.38,"Brain Development, Plasticity, and Connectomics",human,"Positions On the Development of the blood-vessels of the brain in the human embryo within Brain Development, Plasticity, and Connectomics.",high citation signal (85); open-access PDF metadata; human evidence signal,"Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1002/AJA.1000040102,2deed30cbd6d9078590018d899c9d45ac96a461a,https://doi.org/10.1002/AJA.1000040102,https://zenodo.org/record/1423435/files/article.pdf,paper,unknown,brain; brain in title,
2,1905,BIOMETRICAL STUDIES ON MAN: L VARIATION AND CORRELATION IN BRAIN-WEIGHT,R. Pearl,Unknown venue,1905-06-01,57,0,84.09,General Brain Science and Reviews,,Positions BIOMETRICAL STUDIES ON MAN: L VARIATION AND CORRELATION IN BRAIN-WEIGHT within General Brain Science and Reviews.,high citation signal (57); open-access PDF metadata,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1093/BIOMET/4.1-2.13,c42a0ee28359ee64eca2c536205d4df6ed609142,https://doi.org/10.1093/BIOMET/4.1-2.13,https://zenodo.org/record/2147235/files/article.pdf,paper,unknown,brain; brain in title,
3,1905,"A three weeks' human embryo, with especial reference to the brain and the nephric system",S. P. Gage,Unknown venue,1905-09-01,31,0,74.58,General Brain Science and Reviews,human,"Positions A three weeks' human embryo, with especial reference to the brain and the nephric system within General Brain Science and Reviews.",high citation signal (31); open-access PDF metadata; human evidence signal,"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1002/AJA.1000040404,6f56cee68396f0a2ea95f41f7ac485fc777a2e16,https://doi.org/10.1002/AJA.1000040404,https://zenodo.org/record/1751248/files/article.pdf,paper,unknown,brain; brain in title,
4,1905,Observations on the brains of men and animals infected with various forms of trypanosomes. Preliminary note,F. Mott,Unknown venue,1905-06-28,30,0,71.01,General Brain Science and Reviews,non-human,Positions Observations on the brains of men and animals infected with various forms of trypanosomes. Preliminary note within General Brain Science and Reviews.,high citation signal (30),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1098/RSPB.1905.0016,c196f7fad969725beb5292d48f7024a440349485,https://doi.org/10.1098/RSPB.1905.0016,,paper,unknown,brain; brain in title,
5,1905,Iniencephalus. *,"Maud E. Abbott, F. Lockhart",Unknown venue,1905-10-01,28,1,65.61,"Brain Development, Plasticity, and Connectomics",,"INIENCEPHALY is very rare. The brain is situated to a large extent within the cranial cavity, but partly outside of it, behind and a little below the cranium, which is open in the occipital portion.",high citation signal (28); open-access PDF metadata,"Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1111/j.1471-0528.1905.tb15642.x,fd7b36b83ab55e82df408023f34c86dd4c65db1d,https://doi.org/10.1111/j.1471-0528.1905.tb15642.x,https://zenodo.org/records/1569262/files/article.pdf,paper,unknown,brain,"INIENCEPHALY is very rare. The brain is situated to a large extent within the cranial cavity, but partly outside of it, behind and a little below the cranium, which is open in the occipital portion. Saint Hilaire only knew of one case. H. F. Lewis collected twentytwo cases, which he reported in the American Journal of Obstetrics in 1897. To this list, we are able to add a precise description of two others. Of these, one very good undissected specimen can be seen in the pathological museum of McGill University, where also the mounted skeleton of the authors' fetus is preserved. I n studying this series of cases, various points in common are t o be observed. For instance, the three chief characteristics are occipital defect, spina-bifida, and fe ta l retroflexion. Out of the 28 cases, the sex was mentioned in 23, and of these no fewer than 19 were females. I n six there was a superabundance of liquor amnii, while hydrocephalus was co-existant once. Seven of the fetuses had reached full term, two 8+ months; two 8 months; one 6 months; one 5; months; and one 5 months. The presentation was vertex in two, foot in two, face once and pelvic once. The monster was accompanied by a twin twice. I n but one case was there any history of any woman having previously given birth to a malformed child, and that was in Case 6, where the monster was the woman's fourth child, her first one having a spina-bifida, while the second and third were normal. First, those without any encephalocele, which he terms "" Iniencephalus Clausus."" Secondly, those having only a small encephalocele, these, with the latter, being true iniencephaly. Lastly, those cases where there is a large encephalocele, but where the other characteristics of Lewis divides his cases into three classes."
6,1905,A STUDY OF THE RELATIONS OF THE BRAIN TO THE SIZE OF THE HEAD,R. Gladstone,Unknown venue,1905-06-01,24,0,65.94,General Brain Science and Reviews,,Positions A STUDY OF THE RELATIONS OF THE BRAIN TO THE SIZE OF THE HEAD within General Brain Science and Reviews.,high citation signal (24),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1093/BIOMET/4.1-2.105,e4e253dfc34b47f513e9676a96fcc58cb9c09cff,https://doi.org/10.1093/BIOMET/4.1-2.105,,paper,unknown,brain; brain in title,
7,1905,THE INFLUENCE OF THYROID FEEDING UPON POISONING BY ACETONITRILE,Reid Hunt,Unknown venue,1905-10-01,21,0,61.84,"Cerebrovascular, Metabolism, and Brain Injury",non-human,"Speculation as to the functions of the thyroid glands has taken two main directions: some suppose that these organs elaborate an internal secretion which is of itself necessary for certain processes of metabolism, while others think that their chief function is to neutralize poisonous substances originating in the body (""enterotoxines"") or introduced into it from without (iodine, for example).",high citation signal (21); open-access PDF metadata,"Acute injury studies can be sensitive to timing, severity, comorbidity, and treatment heterogeneity.; Animal models may not capture human vascular risk, injury complexity, or rehabilitation context.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1016/s0021-9258(17)46094-7,de9f35d0d33f7ef9acb1796a6cddde1377422a35,https://doi.org/10.1016/s0021-9258(17)46094-7,https://doi.org/10.1016/s0021-9258(17)46094-7,paper,unknown,brain,"Speculation as to the functions of the thyroid glands has taken two main directions: some suppose that these organs elaborate an internal secretion which is of itself necessary for certain processes of metabolism, while others think that their chief function is to neutralize poisonous substances originating in the body (""enterotoxines"") or introduced into it from without (iodine, for example). In addition to these chemical theories a mechanical function (the prevention of an excessively high blood-pressure in the brain) has been ascribed to these organs. How divergent these various views are is shown by the fact that whereas some writers think that the iodine usually found in the thyroid represents a poisonous substance which has been rendered harmless by its union with proteids, others think. these organic iodine compounds are the physiologically important constituents of the organ; in fact it is claimed that the administration of certain organic halogen compounds goes far towards preventing the serious results of the removal of the thyroids. Notwithstanding the large amount of work which has been done on the thyroids and the many theories as to their functions, there seem to be no experiments on record in which it has been definitely shown that the thyroid can neutralize a poison. Such experiments are recorded in the following pages. Whether or no the poison used in these experiments (acetonitrile), or similar poisons, are involved in any pathological processes (as has been supposed by some), the fact that it is a substance of definite and known chemical composition makes it probable"
8,1905,"A STUDY OF THE BIOMETRIC CONSTANTS OF ENGLISH BRAIN-WEIGHTS, AND THEIR RELATIONSHIPS TO EXTERNAL PHYSICAL MEASUREMENTS","John C. Blakeman, A. Lee, K. Pearson",Unknown venue,1905-06-01,17,1,60.03,General Brain Science and Reviews,,"Positions A STUDY OF THE BIOMETRIC CONSTANTS OF ENGLISH BRAIN-WEIGHTS, AND THEIR RELATIONSHIPS TO EXTERNAL PHYSICAL MEASUREMENTS within General Brain Science and Reviews.",high citation signal (17),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1093/BIOMET/4.1-2.124,a5cbb54178f6f389072adf02fd5f84a8ef4b35c2,https://doi.org/10.1093/BIOMET/4.1-2.124,,paper,unknown,brain; brain in title,
9,1905,Memoirs: The Descriptive Anatomy of the Brain and Cranial Nerves of Bdellostoma Dombeyi,J. Worthington,Unknown venue,1905-10-01,14,0,56.74,General Brain Science and Reviews,,Positions Memoirs: The Descriptive Anatomy of the Brain and Cranial Nerves of Bdellostoma Dombeyi within General Brain Science and Reviews.,high citation signal (14),"Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",,9ab315dfdbb4efc44526e268960dc97d81ac39af,https://www.semanticscholar.org/paper/9ab315dfdbb4efc44526e268960dc97d81ac39af,,paper,unknown,brain; brain in title,
10,1905,Can Birds Smell?,A. Hill,Nature,1905-02-01,12,0,65.57,Neuroimaging and Brain Mapping,EEG;non-human,EXAMINATION of the Bird's brain shows that the sense of smell can be but little developed.,high citation signal (12); recognized venue; open-access PDF metadata,"Scanner, protocol, site, and preprocessing variation can limit reproducibility across cohorts.; Associational imaging biomarkers often need stronger longitudinal or intervention evidence before causal claims are made.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1038/071318B0,99dbaeada5591655beb9d8683be107468cfb4b89,https://doi.org/10.1038/071318B0,https://zenodo.org/records/1851405/files/article.pdf,paper,unknown,brain,"EXAMINATION of the Bird's brain shows that the sense of smell can be but little developed. The olfactory bulbs are small. No medullated nerve-fibres unite them with the rest of the brain. Yet in no birds are the bulbs entirely absent, so far as I am aware. The olfactory membrane of birds presents certain structural peculiarities which are difficult to interpret. The nasal chambers which it lines are not large in any bird, but in some they are sufficiently extensive to suggest that olfaction is not completely in abeyance. The fact that they are better developed in birds which seek their food in the sea (petrels, the tropic bird, &#38;c.), in which pursuit smell can, one would suppose, be of little service, than they are in most other birds seems to indicate that they have some function other than olfaction. Perhaps they serve to warm the inspired air; although here again we are confronted with the difficulty that, in the frigate bird (Fregata), in which the nasal chambers are relatively large, the nostrils are obliterated. Air may, of course, enter the nasal chambers through the cleft palate, but such a mechanism cannot provide for the warming of the air on its passage to the lungs. The teachings of anatomy being so obscure, it seemed to me desirable that direct observations should be made."
