rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,openAccessPdf,workType,language,relevanceReason,abstract
1,2010,Meta-analysis of brain-derived neurotrophic factor p.Val66Met in adult ADHD in four European populations,"C. Sánchez-Mora, M. Ribasés, J. Ramos-Quiroga, Miquel Casas, R. Bosch, A. Boreatti-Hümmer, et al.",American Journal of Medical Genetics Part B: Neuropsychiatric Genetics,2010-03-01,11410,18,177.36,General Brain Science and Reviews,human,Positions Meta-analysis of brain-derived neurotrophic factor p.Val66Met in adult ADHD in four European populations within General Brain Science and Reviews.,"high citation signal (11,410); human evidence signal","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1002/ajmg.b.31008,41bfca53a372b48970727a3fc70231d1bebf6a41,https://doi.org/10.1002/ajmg.b.31008,,Study; MetaAnalysis; JournalArticle,unknown,brain; brain in title,
2,2010,Complex network measures of brain connectivity: Uses and interpretations,"M. Rubinov, O. Sporns",NeuroImage,2010-09-01,11060,1216,190.0,"Brain Development, Plasticity, and Connectomics",EEG;connectome,"Positions Complex network measures of brain connectivity: Uses and interpretations within Brain Development, Plasticity, and Connectomics.","high citation signal (11,060); recognized venue","Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1016/j.neuroimage.2009.10.003,9cd87eb83bc93161b226731116ec105c0a9c7cb5,https://doi.org/10.1016/j.neuroimage.2009.10.003,,JournalArticle,unknown,brain; brain in title,
3,2010,The free-energy principle: a unified brain theory?,Karl J. Friston,Nature Reviews Neuroscience,2010-02-01,7229,713,179.95,General Brain Science and Reviews,,Positions The free-energy principle: a unified brain theory? within General Brain Science and Reviews.,"high citation signal (7,229); recognized venue","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1038/nrn2787,1ed6a4a10589618d4f26350f1a296ee767ceff6b,https://doi.org/10.1038/nrn2787,,Review; JournalArticle,unknown,brain; brain in title,
4,2010,"An integrated genomic analysis identifies clinically relevant subtypes of glioblastoma characterized by abnormalities in PDGFRA, IDH1, EGFR and NF1","R. Verhaak, K. Hoadley, E. Purdom, V. Wang, Y. Qi, M. Wilkerson, et al.",Cancer Cell,2010-01-19,7131,636,183.5,"Cellular, Molecular, and Synaptic Neuroscience",single-cell;human;non-human;connectome,SUMMARY The Cancer Genome Atlas Network recently catalogued recurrent genomic abnormalities in glioblastoma (GBM).,"high citation signal (7,131); recognized venue; open-access PDF metadata; human evidence signal","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1016/j.ccr.2009.12.020,188186e08f5dff92de2afe8fcd3dd1acee936ccb,https://doi.org/10.1016/j.ccr.2009.12.020,https://cdr.lib.unc.edu/downloads/m613n4361,JournalArticle,unknown,brain; neural,"SUMMARY The Cancer Genome Atlas Network recently catalogued recurrent genomic abnormalities in glioblastoma (GBM). We describe a robust gene expression-based molecular classification of GBM into Proneural, Neural, Classical and Mesenchymal subtypes and integrate multi-dimensional genomic data to establish patterns of somatic mutations and DNA copy number. Aberrations and gene expression of EGFR, NF1, and PDGFRA/IDH1 each define Classical, Mesenchymal, and Proneural, respectively. Gene signatures of normal brain cell types show a strong relation between subtypes and different neural lineages. Additionally, response to aggressive therapy differs by subtype with greatest benefit in Classical and no benefit in Proneural. We provide a framework that unifies transcriptomic and genomic dimensions for GBM molecular stratification with important implications for future studies."
5,2010,"Saliency, switching, attention and control: a network model of insula function","V. Menon, L. Uddin",Brain Structure and Function,2010-05-29,5348,285,185.12,Cognitive and Systems Neuroscience,human;non-human;connectome,"The insula is a brain structure implicated in disparate cognitive, affective, and regulatory functions, including interoceptive awareness, emotional responses, and empathic processes.","high citation signal (5,348); recognized venue; open-access PDF metadata; human evidence signal","Task designs can simplify cognition enough that ecological validity becomes uncertain.; Cross-species alignment between circuits, behavior, and subjective experience remains imperfect.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1007/s00429-010-0262-0,7fd8bee2d3a38b29ae2228466d3431a34c7ae240,https://doi.org/10.1007/s00429-010-0262-0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2899886,Review; JournalArticle,unknown,brain; cortex; neural; neuroscience term,"The insula is a brain structure implicated in disparate cognitive, affective, and regulatory functions, including interoceptive awareness, emotional responses, and empathic processes. While classically considered a limbic region, recent evidence from network analysis suggests a critical role for the insula, particularly the anterior division, in high-level cognitive control and attentional processes. The crucial insight and view we present here is of the anterior insula as an integral hub in mediating dynamic interactions between other large-scale brain networks involved in externally oriented attention and internally oriented or self-related cognition. The model we present postulates that the insula is sensitive to salient events, and that its core function is to mark such events for additional processing and initiate appropriate control signals. The anterior insula and the anterior cingulate cortex form a ""salience network"" that functions to segregate the most relevant among internal and extrapersonal stimuli in order to guide behavior. Within the framework of our network model, the disparate functions ascribed to the insula can be conceptualized by a few basic mechanisms: (1) bottom-up detection of salient events, (2) switching between other large-scale networks to facilitate access to attention and working memory resources when a salient event is detected, (3) interaction of the anterior and posterior insula to modulate autonomic reactivity to salient stimuli, and (4) strong functional coupling with the anterior cingulate cortex that facilitates rapid access to the motor system. In this manner, with the insula as its integral hub, the salience network assists target brain regions in the generation of appropriate behavioral responses to salient stimuli. We suggest that this framework provides a parsimonious account of insula function in neurotypical adults, and may provide novel insights into the neural basis of disorders of affective and social cognition."
6,2010,Fate Mapping Analysis Reveals That Adult Microglia Derive from Primitive Macrophages,"F. Ginhoux, F. Ginhoux, M. Greter, M. Leboeuf, Sayan Nandi, Peter See, et al.",Science,2010-10-21,4725,270,175.7,"Cellular, Molecular, and Synaptic Neuroscience",human;non-human,Primitive Origins for Microglia Microglia are the resident macrophages of the central nervous system and are associated with neurodegeneration and brain inflammatory diseases.,"high citation signal (4,725); recognized venue; open-access PDF metadata; human evidence signal","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1126/science.1194637,ca1f6780aab9a846b98ef72efe4edde3b6e5782a,https://doi.org/10.1126/science.1194637,https://www.science.org/cms/asset/a3bcaa06-401f-45e2-8f94-24b44ce4223b/pap.pdf,JournalArticle,unknown,brain; glia; microglia,"Primitive Origins for Microglia Microglia are the resident macrophages of the central nervous system and are associated with neurodegeneration and brain inflammatory diseases. Although the developmental origins of other tissue macrophage populations are well established, the origins of microglia remain controversial. Ginhoux et al. (p. 841, published online 21 October) used in vivo lineage tracing studies to show that microglia arise early in mouse development and derive from primitive macrophages in the yolk sac. This is in contrast to other cells of the mononuclear phagocyte system, which arise later in development from a distinct progenitor population. The developmental origins of adult microglia are revealed. Microglia are the resident macrophages of the central nervous system and are associated with the pathogenesis of many neurodegenerative and brain inflammatory diseases; however, the origin of adult microglia remains controversial. We show that postnatal hematopoietic progenitors do not significantly contribute to microglia homeostasis in the adult brain. In contrast to many macrophage populations, we show that microglia develop in mice that lack colony stimulating factor-1 (CSF-1) but are absent in CSF-1 receptor-deficient mice. In vivo lineage tracing studies established that adult microglia derive from primitive myeloid progenitors that arise before embryonic day 8. These results identify microglia as an ontogenically distinct population in the mononuclear phagocyte system and have implications for the use of embryonically derived microglial progenitors for the treatment of various brain disorders."
7,2010,Structure and function of the blood-brain barrier.,"N. Abbott, A. Patabendige, D. Dolman, Siti R. Yusof, D. Begley",Neurobiology of Disease,2010,4706,292,160.22,General Brain Science and Reviews,,Positions Structure and function of the blood-brain barrier. within General Brain Science and Reviews.,"high citation signal (4,706)","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1016/j.nbd.2009.07.030,9b9dabba093c689a7a7ce9d60155a6b543ea5686,https://doi.org/10.1016/j.nbd.2009.07.030,,Review; JournalArticle,unknown,brain; brain in title,
8,2010,Hypothetical model of dynamic biomarkers of the Alzheimer's pathological cascade,"C. Jack, D. Knopman, W. Jagust, L. Shaw, P. Aisen, M. Weiner, et al.",Lancet Neurology,2010-01-01,4684,220,184.74,Clinical Neurology and Neurodegeneration,MRI;human;non-human,"Currently available evidence strongly supports the position that the initiating event in Alzheimer's disease (AD) is related to abnormal processing of β-amyloid (Aβ) peptide, ultimately leading to formation of Aβ plaques in the brain.","high citation signal (4,684); recognized venue; open-access PDF metadata; human evidence signal","Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1016/S1474-4422(09)70299-6,fa9e7e5541f4f4304383fe3a987b7f3270363d98,https://doi.org/10.1016/S1474-4422(09)70299-6,https://europepmc.org/articles/pmc2819840?pdf=render,JournalArticle,unknown,brain; cerebral; neuron; mri; neuroscience term,"Currently available evidence strongly supports the position that the initiating event in Alzheimer's disease (AD) is related to abnormal processing of β-amyloid (Aβ) peptide, ultimately leading to formation of Aβ plaques in the brain. This process occurs while individuals are still cognitively normal. Biomarkers of brain β-amyloidosis are reductions in CSF Aβ42 and increased amyloid PET tracer retention. After a lag period, which varies from patient to patient, neuronal dysfunction and neurodegeneration become the dominant pathological processes. Biomarkers of neuronal injury and neurodegeneration are increased CSF tau and structural MRI measures of cerebral atrophy. Neurodegeneration is accompanied by synaptic dysfunction, which is indicated by decreased fluorodeoxyglucose uptake on PET. We propose a model that relates disease stage to AD biomarkers in which Aβ biomarkers become abnormal first, before neurodegenerative biomarkers and cognitive symptoms, and neurodegenerative biomarkers become abnormal later, and correlate with clinical symptom severity."
9,2010,A Reproducible Evaluation of ANTs Similarity Metric Performance in Brain Image Registration,"B. Avants, N. Tustison, G. Song, Philip A Cook, A. Klein, J. Gee",NeuroImage,2010-09-17,4589,417,183.17,Neuroimaging and Brain Mapping,MRI;non-human,The United States National Institutes of Health (NIH) commit significant support to open-source data and software resources in order to foment reproducibility in the biomedical imaging sciences.,"high citation signal (4,589); recognized venue; open-access PDF metadata","Scanner, protocol, site, and preprocessing variation can limit reproducibility across cohorts.; Associational imaging biomarkers often need stronger longitudinal or intervention evidence before causal claims are made.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1016/j.neuroimage.2010.09.025,2dd32ff6608812d9b5d3877340df1cf9fceda08f,https://doi.org/10.1016/j.neuroimage.2010.09.025,https://europepmc.org/articles/pmc3065962?pdf=render,JournalArticle; Study,unknown,brain; cortical; neuroimaging; mri; brain in title,"The United States National Institutes of Health (NIH) commit significant support to open-source data and software resources in order to foment reproducibility in the biomedical imaging sciences. Here, we report and evaluate a recent product of this commitment: Advanced Neuroimaging Tools (ANTs), which is approaching its 2.0 release. The ANTs open source software library consists of a suite of state-of-the-art image registration, segmentation and template building tools for quantitative morphometric analysis. In this work, we use ANTs to quantify, for the first time, the impact of similarity metrics on the affine and deformable components of a template-based normalization study. We detail the ANTs implementation of three similarity metrics: squared intensity difference, a new and faster cross-correlation, and voxel-wise mutual information. We then use two-fold cross-validation to compare their performance on openly available, manually labeled, T1-weighted MRI brain image data of 40 subjects (UCLA's LPBA40 dataset). We report evaluation results on cortical and whole brain labels for both the affine and deformable components of the registration. Results indicate that the best ANTs methods are competitive with existing brain extraction results (Jaccard=0.958) and cortical labeling approaches. Mutual information affine mapping combined with cross-correlation diffeomorphic mapping gave the best cortical labeling results (Jaccard=0.669±0.022). Furthermore, our two-fold cross-validation allows us to quantify the similarity of templates derived from different subgroups. Our open code, data and evaluation scripts set performance benchmark parameters for this state-of-the-art toolkit. This is the first study to use a consistent transformation framework to provide a reproducible evaluation of the isolated effect of the similarity metric on optimal template construction and brain labeling."
10,2010,Central sensitization: Implications for the diagnosis and treatment of pain,C. Woolf,Pain,2010-10-18,4361,150,168.25,"Cellular, Molecular, and Synaptic Neuroscience",EEG;human,"&NA; Nociceptor inputs can trigger a prolonged but reversible increase in the excitability and synaptic efficacy of neurons in central nociceptive pathways, the phenomenon of central sensitization.","high citation signal (4,361); open-access PDF metadata; human evidence signal","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1016/j.pain.2010.09.030,c986f15dcec7fc383639318093f14dee45b62cd5,https://doi.org/10.1016/j.pain.2010.09.030,https://europepmc.org/articles/pmc3268359?pdf=render,Review; JournalArticle,unknown,brain; neuron; neural; neuroscience term,"&NA; Nociceptor inputs can trigger a prolonged but reversible increase in the excitability and synaptic efficacy of neurons in central nociceptive pathways, the phenomenon of central sensitization. Central sensitization manifests as pain hypersensitivity, particularly dynamic tactile allodynia, secondary punctate or pressure hyperalgesia, aftersensations, and enhanced temporal summation. It can be readily and rapidly elicited in human volunteers by diverse experimental noxious conditioning stimuli to skin, muscles or viscera, and in addition to producing pain hypersensitivity, results in secondary changes in brain activity that can be detected by electrophysiological or imaging techniques. Studies in clinical cohorts reveal changes in pain sensitivity that have been interpreted as revealing an important contribution of central sensitization to the pain phenotype in patients with fibromyalgia, osteoarthritis, musculoskeletal disorders with generalized pain hypersensitivity, headache, temporomandibular joint disorders, dental pain, neuropathic pain, visceral pain hypersensitivity disorders and post-surgical pain. The comorbidity of those pain hypersensitivity syndromes that present in the absence of inflammation or a neural lesion, their similar pattern of clinical presentation and response to centrally acting analgesics, may reflect a commonality of central sensitization to their pathophysiology. An important question that still needs to be determined is whether there are individuals with a higher inherited propensity for developing central sensitization than others, and if so, whether this conveys an increased risk in both developing conditions with pain hypersensitivity, and their chronification. Diagnostic criteria to establish the presence of central sensitization in patients will greatly assist the phenotyping of patients for choosing treatments that produce analgesia by normalizing hyperexcitable central neural activity. We have certainly come a long way since the first discovery of activity-dependent synaptic plasticity in the spinal cord and the revelation that it occurs and produces pain hypersensitivity in patients. Nevertheless, discovering the genetic and environmental contributors to and objective biomarkers of central sensitization will be highly beneficial, as will additional treatment options to prevent or reduce this prevalent and promiscuous form of pain plasticity."
