rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,openAccessPdf,workType,language,relevanceReason,abstract
1,2013,The WU-Minn Human Connectome Project: An Overview,"D. C. Essen, Stephen M. Smith, D. Barch, Timothy Edward John Behrens, E. Yacoub, K. Uğurbil",NeuroImage,2013-05-16,5814,712,179.83,"Brain Development, Plasticity, and Connectomics",EEG;human;non-human;connectome,"The Human Connectome Project consortium led by Washington University, University of Minnesota, and Oxford University is undertaking a systematic effort to map macroscopic human brain circuits and their relationship to behavior in a large population of healthy adults.","high citation signal (5,814); recognized venue; open-access PDF metadata; human evidence signal","Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1016/j.neuroimage.2013.05.041,7072ef929fa3d7c3177ca868309523c588a67bd1,https://doi.org/10.1016/j.neuroimage.2013.05.041,https://www.research.unipd.it/bitstream/11577/3177401/2/D.%20VanEssen%2c%20The%20WU-Minn%20Human%20Connectome%20Project-An%20Overview.pdf,Review; JournalArticle,unknown,brain; connectome,"The Human Connectome Project consortium led by Washington University, University of Minnesota, and Oxford University is undertaking a systematic effort to map macroscopic human brain circuits and their relationship to behavior in a large population of healthy adults. This overview article focuses on progress made during the first half of the 5-year project in refining the methods for data acquisition and analysis. Preliminary analyses based on a finalized set of acquisition and preprocessing protocols demonstrate the exceptionally high quality of the data from each modality. The first quarterly release of imaging and behavioral data via the ConnectomeDB database demonstrates the commitment to making HCP datasets freely accessible. Altogether, the progress to date provides grounds for optimism that the HCP datasets and associated methods and software will become increasingly valuable resources for characterizing human brain connectivity and function, their relationship to behavior, and their heritability and genetic underpinnings."
2,2013,Neuroimaging standards for research into small vessel disease and its contribution to ageing and neurodegeneration,"J. Wardlaw, Eric E. Smith, G. Biessels, C. Cordonnier, F. Fazekas, R. Frayne, et al.",Lancet Neurology,2013-08-01,4886,354,182.7,Clinical Neurology and Neurodegeneration,MRI;EEG;human;non-human,Summary Cerebral small vessel disease (SVD) is a common accompaniment of ageing.,"high citation signal (4,886); recognized venue; open-access PDF metadata; human evidence signal","Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1016/S1474-4422(13)70124-8,f276505d65ea8348b58c300a0f8996abedf0f3ff,https://doi.org/10.1016/S1474-4422(13)70124-8,https://europepmc.org/articles/pmc3714437,JournalArticle; Review,unknown,brain; cerebral; cortical; neuroimaging; mri,"Summary Cerebral small vessel disease (SVD) is a common accompaniment of ageing. Features seen on neuroimaging include recent small subcortical infarcts, lacunes, white matter hyperintensities, perivascular spaces, microbleeds, and brain atrophy. SVD can present as a stroke or cognitive decline, or can have few or no symptoms. SVD frequently coexists with neurodegenerative disease, and can exacerbate cognitive deficits, physical disabilities, and other symptoms of neurodegeneration. Terminology and definitions for imaging the features of SVD vary widely, which is also true for protocols for image acquisition and image analysis. This lack of consistency hampers progress in identifying the contribution of SVD to the pathophysiology and clinical features of common neurodegenerative diseases. We are an international working group from the Centres of Excellence in Neurodegeneration. We completed a structured process to develop definitions and imaging standards for markers and consequences of SVD. We aimed to achieve the following: first, to provide a common advisory about terms and definitions for features visible on MRI; second, to suggest minimum standards for image acquisition and analysis; third, to agree on standards for scientific reporting of changes related to SVD on neuroimaging; and fourth, to review emerging imaging methods for detection and quantification of preclinical manifestations of SVD. Our findings and recommendations apply to research studies, and can be used in the clinical setting to standardise image interpretation, acquisition, and reporting. This Position Paper summarises the main outcomes of this international effort to provide the STandards for ReportIng Vascular changes on nEuroimaging (STRIVE)."
3,2013,Sleep Drives Metabolite Clearance from the Adult Brain,"Lulu Xie, Hongyi Kang, Qiwu Xu, Michael J. Chen, Yonghong Liao, M. Thiyagarajan, et al.",Science,2013-10-18,4774,225,179.88,Cognitive and Systems Neuroscience,human;non-human,Taking Out the Trash The purpose of sleep remains mysterious.,"high citation signal (4,774); recognized venue; open-access PDF metadata; human evidence signal","Task designs can simplify cognition enough that ecological validity becomes uncertain.; Cross-species alignment between circuits, behavior, and subjective experience remains imperfect.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1126/science.1241224,014fa65ae6f6f866bc132c1bcccd045b16432f53,https://doi.org/10.1126/science.1241224,https://europepmc.org/articles/pmc3880190?pdf=render,JournalArticle,unknown,brain; neural; brain in title,"Taking Out the Trash The purpose of sleep remains mysterious. Using state-of-the-art in vivo two-photon imaging to directly compare two arousal states in the same mouse, Xie et al. (p. 373; see the Perspective by Herculano-Houzel) found that metabolic waste products of neural activity were cleared out of the sleeping brain at a faster rate than during the awake state. This finding suggests a mechanistic explanation for how sleep serves a restorative function, in addition to its well-described effects on memory consolidation. During sleep, metabolic waste products are removed from the extracellular spaces in the brain. [Also see Perspective by Herculano-Houzel] The conservation of sleep across all animal species suggests that sleep serves a vital function. We here report that sleep has a critical function in ensuring metabolic homeostasis. Using real-time assessments of tetramethylammonium diffusion and two-photon imaging in live mice, we show that natural sleep or anesthesia are associated with a 60% increase in the interstitial space, resulting in a striking increase in convective exchange of cerebrospinal fluid with interstitial fluid. In turn, convective fluxes of interstitial fluid increased the rate of β-amyloid clearance during sleep. Thus, the restorative function of sleep may be a consequence of the enhanced removal of potentially neurotoxic waste products that accumulate in the awake central nervous system."
4,2013,Cerebral organoids model human brain development and microcephaly,"Madeline A. Lancaster, M. Renner, Carol-Anne Martin, D. Wenzel, L. Bicknell, M. Hurles, et al.",Nature,2013-08-28,4615,278,193.27,"Cellular, Molecular, and Synaptic Neuroscience",human;non-human,"The complexity of the human brain has made it difficult to study many brain disorders in model organisms, highlighting the need for an in vitro model of human brain development.","high citation signal (4,615); recognized venue; open-access PDF metadata; human evidence signal","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1038/nature12517,368de9e76b2650b8303edec53d6091dcdfdc748e,https://doi.org/10.1038/nature12517,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3817409,JournalArticle,unknown,brain; cerebral; cortex; cortical; neuron; glia; brain in title; neuroscience term,"The complexity of the human brain has made it difficult to study many brain disorders in model organisms, highlighting the need for an in vitro model of human brain development. Here we have developed a human pluripotent stem cell-derived three-dimensional organoid culture system, termed cerebral organoids, that develop various discrete, although interdependent, brain regions. These include a cerebral cortex containing progenitor populations that organize and produce mature cortical neuron subtypes. Furthermore, cerebral organoids are shown to recapitulate features of human cortical development, namely characteristic progenitor zone organization with abundant outer radial glial stem cells. Finally, we use RNA interference and patient-specific induced pluripotent stem cells to model microcephaly, a disorder that has been difficult to recapitulate in mice. We demonstrate premature neuronal differentiation in patient organoids, a defect that could help to explain the disease phenotype. Together, these data show that three-dimensional organoids can recapitulate development and disease even in this most complex human tissue."
5,2013,BrainNet Viewer: A Network Visualization Tool for Human Brain Connectomics,"Mingrui Xia, Jinhui Wang, Yong He",PLoS ONE,2013-07-04,4032,208,168.04,"Brain Development, Plasticity, and Connectomics",human;non-human;connectome,The human brain is a complex system whose topological organization can be represented using connectomics.,"high citation signal (4,032); open-access PDF metadata; human evidence signal","Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1371/journal.pone.0068910,a55df99552d6093b6150fe2ca79d017644b73935,https://doi.org/10.1371/journal.pone.0068910,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0068910&type=printable,JournalArticle,unknown,brain; neuroimaging; connectome; brain in title,"The human brain is a complex system whose topological organization can be represented using connectomics. Recent studies have shown that human connectomes can be constructed using various neuroimaging technologies and further characterized using sophisticated analytic strategies, such as graph theory. These methods reveal the intriguing topological architectures of human brain networks in healthy populations and explore the changes throughout normal development and aging and under various pathological conditions. However, given the huge complexity of this methodology, toolboxes for graph-based network visualization are still lacking. Here, using MATLAB with a graphical user interface (GUI), we developed a graph-theoretical network visualization toolbox, called BrainNet Viewer, to illustrate human connectomes as ball-and-stick models. Within this toolbox, several combinations of defined files with connectome information can be loaded to display different combinations of brain surface, nodes and edges. In addition, display properties, such as the color and size of network elements or the layout of the figure, can be adjusted within a comprehensive but easy-to-use settings panel. Moreover, BrainNet Viewer draws the brain surface, nodes and edges in sequence and displays brain networks in multiple views, as required by the user. The figure can be manipulated with certain interaction functions to display more detailed information. Furthermore, the figures can be exported as commonly used image file formats or demonstration video for further use. BrainNet Viewer helps researchers to visualize brain networks in an easy, flexible and quick manner, and this software is freely available on the NITRC website (www.nitrc.org/projects/bnv/)."
6,2013,Traumatic brain injury.,K. Barlow,Handbook of Clinical Neurology,2013,3745,260,169.31,Clinical Neurology and Neurodegeneration,human,Positions Traumatic brain injury. within Clinical Neurology and Neurodegeneration.,"high citation signal (3,745); recognized venue; human evidence signal","Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1016/B978-0-444-52910-7.00011-8,4b60c51e0d035accad72193b8e1b29540218a2b2,https://doi.org/10.1016/B978-0-444-52910-7.00011-8,,Review; JournalArticle,unknown,brain; brain in title,
7,2013,Neurology of the newborn.,J. Volpe,Major problems in clinical pediatrics,2013-11-23,3648,198,154.84,Clinical Neurology and Neurodegeneration,human,Positions Neurology of the newborn. within Clinical Neurology and Neurodegeneration.,"high citation signal (3,648); human evidence signal","Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",,fa63a6bbc470ee33edf2fadccb7948e5c7b50806,https://www.semanticscholar.org/paper/fa63a6bbc470ee33edf2fadccb7948e5c7b50806,,Review; JournalArticle,unknown,neuroscience term,
8,2013,MEG and EEG data analysis with MNE-Python,"Alexandre Gramfort, M. Luessi, E. Larson, D. Engemann, D. Strohmeier, C. Brodbeck, et al.",Front. Neuroinform.,2013-12-26,3595,549,174.38,"EEG, MEG, and Electrophysiology",fMRI;EEG;MEG;non-human;connectome,Magnetoencephalography and electroencephalography (M/EEG) measure the weak electromagnetic signals generated by neuronal activity in the brain.,"high citation signal (3,595); open-access PDF metadata","Low signal-to-noise ratio, artifacts, and source-localization uncertainty complicate interpretation.; Many studies rely on controlled tasks and may not generalize to everyday behavior or clinical monitoring.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.3389/fnins.2013.00267,be6638e641c5e993474703de6e0261357da71736,https://doi.org/10.3389/fnins.2013.00267,https://www.frontiersin.org/articles/10.3389/fnins.2013.00267/pdf,JournalArticle; Review,unknown,brain; neuron; neural; neuroimaging; eeg; meg; neuroscience term,"Magnetoencephalography and electroencephalography (M/EEG) measure the weak electromagnetic signals generated by neuronal activity in the brain. Using these signals to characterize and locate neural activation in the brain is a challenge that requires expertise in physics, signal processing, statistics, and numerical methods. As part of the MNE software suite, MNE-Python is an open-source software package that addresses this challenge by providing state-of-the-art algorithms implemented in Python that cover multiple methods of data preprocessing, source localization, statistical analysis, and estimation of functional connectivity between distributed brain regions. All algorithms and utility functions are implemented in a consistent manner with well-documented interfaces, enabling users to create M/EEG data analysis pipelines by writing Python scripts. Moreover, MNE-Python is tightly integrated with the core Python libraries for scientific comptutation (NumPy, SciPy) and visualization (matplotlib and Mayavi), as well as the greater neuroimaging ecosystem in Python via the Nibabel package. The code is provided under the new BSD license allowing code reuse, even in commercial products. Although MNE-Python has only been under heavy development for a couple of years, it has rapidly evolved with expanded analysis capabilities and pedagogical tutorials because multiple labs have collaborated during code development to help share best practices. MNE-Python also gives easy access to preprocessed datasets, helping users to get started quickly and facilitating reproducibility of methods by other researchers. Full documentation, including dozens of examples, is available at http://martinos.org/mne."
9,2013,"Methods to detect, characterize, and remove motion artifact in resting state fMRI","Jonathan D. Power, A. Mitra, Timothy O. Laumann, A. Snyder, B. Schlaggar, S. Petersen",NeuroImage,2013-08-29,3586,492,171.93,Neuroimaging and Brain Mapping,fMRI;non-human;connectome,Head motion systematically alters correlations in resting state functional connectivity fMRI (RSFC).,"high citation signal (3,586); recognized venue; open-access PDF metadata","Scanner, protocol, site, and preprocessing variation can limit reproducibility across cohorts.; Associational imaging biomarkers often need stronger longitudinal or intervention evidence before causal claims are made.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1016/j.neuroimage.2013.08.048,a3f132288f4797236098766cb2893b5d3afe69f6,https://doi.org/10.1016/j.neuroimage.2013.08.048,https://europepmc.org/articles/pmc3849338?pdf=render,JournalArticle,unknown,brain; fmri; mri,"Head motion systematically alters correlations in resting state functional connectivity fMRI (RSFC). In this report we examine impact of motion on signal intensity and RSFC correlations. We find that motion-induced signal changes (1) are often complex and variable waveforms, (2) are often shared across nearly all brain voxels, and (3) often persist more than 10 seconds after motion ceases. These signal changes, both during and after motion, increase observed RSFC correlations in a distance-dependent manner. Motion-related signal changes are not removed by a variety of motion-based regressors, but are effectively reduced by global signal regression. We link several measures of data quality to motion, changes in signal intensity, and changes in RSFC correlations. We demonstrate that improvements in data quality measures during processing may represent cosmetic improvements rather than true correction of the data. We demonstrate a within-subject, censoring-based artifact removal strategy based on volume censoring that reduces group differences due to motion to chance levels. We note conditions under which group-level regressions do and do not correct motion-related effects."
10,2013,"Apolipoprotein E and Alzheimer disease: risk, mechanisms, and therapy","Chia-Chen Liu, T. Kanekiyo, Huaxi Xu, G. Bu",Nature Reviews Neurology,2013-01-08,3223,174,174.81,Clinical Neurology and Neurodegeneration,human;non-human,Apolipoprotein E (Apo-E) is a major cholesterol carrier that supports lipid transport and injury repair in the brain.,"high citation signal (3,223); recognized venue; open-access PDF metadata; human evidence signal","Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1038/nrneurol.2012.263,e7cefce9886a5c0a766e4065e160efc5e9746664,https://doi.org/10.1038/nrneurol.2012.263,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3726719,Review,unknown,brain; cerebral; neuron; neuroscience term,"Apolipoprotein E (Apo-E) is a major cholesterol carrier that supports lipid transport and injury repair in the brain. APOE polymorphic alleles are the main genetic determinants of Alzheimer disease (AD) risk: individuals carrying the ε4 allele are at increased risk of AD compared with those carrying the more common ε3 allele, whereas the ε2 allele decreases risk. Presence of the APOE ε4 allele is also associated with increased risk of cerebral amyloid angiopathy and age-related cognitive decline during normal ageing. Apo-E-lipoproteins bind to several cell-surface receptors to deliver lipids, and also to hydrophobic amyloid-β (Aβ) peptide, which is thought to initiate toxic events that lead to synaptic dysfunction and neurodegeneration in AD. Apo-E isoforms differentially regulate Aβ aggregation and clearance in the brain, and have distinct functions in regulating brain lipid transport, glucose metabolism, neuronal signalling, neuroinflammation, and mitochondrial function. In this Review, we describe current knowledge on Apo-E in the CNS, with a particular emphasis on the clinical and pathological features associated with carriers of different Apo-E isoforms. We also discuss Aβ-dependent and Aβ-independent mechanisms that link Apo-E4 status with AD risk, and consider how to design effective strategies for AD therapy by targeting Apo-E."
