rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,openAccessPdf,workType,language,relevanceReason,abstract
1,1973,"Brain dopamine and the syndromes of Parkinson and Huntington. Clinical, morphological and neurochemical correlations.","H. Bernheimer, W. Birkmayer, O. Hornykiewicz, K. Jellinger, F. Seitelberger",Journal of Neurological Sciences,1973-12-01,2790,70,164.01,Clinical Neurology and Neurodegeneration,human,"Positions Brain dopamine and the syndromes of Parkinson and Huntington. Clinical, morphological and neurochemical correlations. within Clinical Neurology and Neurodegeneration.","high citation signal (2,790); recognized venue; human evidence signal","Clinical cohorts often differ in disease stage, comorbidity, treatment history, and follow-up duration.; Biomarkers may not transfer cleanly across populations, scanners, care settings, or diagnostic criteria.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1016/0022-510X(73)90175-5,63d2138af78c9976b3d06e616fa16df09a8ac2c7,https://doi.org/10.1016/0022-510X(73)90175-5,,JournalArticle,unknown,brain; brain in title,
2,1973,Recognition of the fetal alcohol syndrome in early infancy.,"KennethLyons Jones, David W. Smith",The Lancet,1973-11-03,2745,91,157.72,"EEG, MEG, and Electrophysiology",ECoG,"Positions Recognition of the fetal alcohol syndrome in early infancy. within EEG, MEG, and Electrophysiology.","high citation signal (2,745); recognized venue","Low signal-to-noise ratio, artifacts, and source-localization uncertainty complicate interpretation.; Many studies rely on controlled tasks and may not generalize to everyday behavior or clinical monitoring.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1016/S0140-6736(73)91092-1,5eed37a86f285b7a1aa7f8d5b77a4f015150cc61,https://doi.org/10.1016/S0140-6736(73)91092-1,,JournalArticle,unknown,ecog,
3,1973,Electrical Signs of Selective Attention in the Human Brain,"S. Hillyard, R. F. Hink, V. L. Schwent, T. Picton",Science,1973-10-12,1995,86,160.98,Cognitive and Systems Neuroscience,human,Positions Electrical Signs of Selective Attention in the Human Brain within Cognitive and Systems Neuroscience.,"high citation signal (1,995); recognized venue; open-access PDF metadata; human evidence signal","Task designs can simplify cognition enough that ecological validity becomes uncertain.; Cross-species alignment between circuits, behavior, and subjective experience remains imperfect.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1126/science.182.4108.177,35058a8a5bce748fc371f1f3c52222cb35ddcc9d,https://doi.org/10.1126/science.182.4108.177,http://www.ece.uvic.ca/~bctill/papers/attention/Hillyard_etal_1973.pdf,JournalArticle,unknown,brain; brain in title,
4,1973,A mathematical theory of the functional dynamics of cortical and thalamic nervous tissue,"H. Wilson, J. Cowan",Kybernetik,1973-09-01,1579,127,134.57,General Brain Science and Reviews,,Positions A mathematical theory of the functional dynamics of cortical and thalamic nervous tissue within General Brain Science and Reviews.,"high citation signal (1,579)","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1007/BF00288786,e5e6a4ea6a090d9f55ed63e3e8278c7e2e539f34,https://doi.org/10.1007/BF00288786,,JournalArticle,unknown,cortical,
5,1973,The Working Brain,A. Luria,Unknown venue,1973-03-01,1565,29,140.41,General Brain Science and Reviews,,Positions The Working Brain within General Brain Science and Reviews.,"high citation signal (1,565)","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",,2c170525414ffb7dbcd61ac6620eb947e354ad4c,https://www.semanticscholar.org/paper/2c170525414ffb7dbcd61ac6620eb947e354ad4c,,paper,unknown,brain; brain in title,
6,1973,Quantitative growth and development of human brain,"J. Dobbing, J. Sands",Archives of Disease in Childhood,1973-10-01,1466,28,143.44,"Brain Development, Plasticity, and Connectomics",human,"Positions Quantitative growth and development of human brain within Brain Development, Plasticity, and Connectomics.","high citation signal (1,466); open-access PDF metadata; human evidence signal","Developmental and aging studies are sensitive to cohort composition, attrition, and longitudinal sampling intervals.; Network measures can depend heavily on parcellation, thresholding, and acquisition choices.; Human cohort effects can depend on recruitment, demographics, comorbidity, and measurement context.",10.1136/adc.48.10.757,03d1766c1d775af529e6462ff078c6264b24343f,https://doi.org/10.1136/adc.48.10.757,https://adc.bmj.com/content/archdischild/48/10/757.full.pdf,JournalArticle,unknown,brain; brain in title,
7,1973,MYELINATION IN RAT BRAIN: METHOD OF MYELIN ISOLATION 1,"W. T. Norton, S. Poduslo",Journal of Neurochemistry,1973-10-01,1424,47,139.91,General Brain Science and Reviews,non-human,Positions MYELINATION IN RAT BRAIN: METHOD OF MYELIN ISOLATION 1 within General Brain Science and Reviews.,"high citation signal (1,424)","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1111/j.1471-4159.1973.tb07519.x,53c7dd87f0c4f0d3c2f2d660932de89f62d12cb9,https://doi.org/10.1111/j.1471-4159.1973.tb07519.x,,JournalArticle,unknown,brain; brain in title,
8,1973,Isolated removal of hypothalamic or other brain nuclei of the rat.,M. Palkovits,Brain Research,1973-09-14,1422,39,151.89,General Brain Science and Reviews,non-human,Positions Isolated removal of hypothalamic or other brain nuclei of the rat. within General Brain Science and Reviews.,"high citation signal (1,422); recognized venue","Broad reviews can dominate citation-ranked lists while obscuring narrower empirical advances.; Taxonomy boundaries are imperfect because many brain papers combine methods, scales, and diseases.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1016/0006-8993(73)90290-4,35e6c2be94ce428f61fb9d00be9ad65900e12c4e,https://doi.org/10.1016/0006-8993(73)90290-4,,JournalArticle,unknown,brain; brain in title,
9,1973,Toward direct brain-computer communication.,J. Vidal,Annual Review of Biophysics and Bioengineering,1973,1303,44,140.12,"Brain Stimulation, Neurotechnology, and BCI",,"Positions Toward direct brain-computer communication. within Brain Stimulation, Neurotechnology, and BCI.","high citation signal (1,303); open-access PDF metadata","Small cohorts, invasive risk, device maintenance, and long-term stability remain major translation barriers.; Closed-loop effects are hard to separate from placebo, training, medication, and disease fluctuation.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1146/ANNUREV.BB.02.060173.001105,ed7d4fdb6c8cf9e6556c39770194ed670de7d8a2,https://doi.org/10.1146/ANNUREV.BB.02.060173.001105,https://www.annualreviews.org/doi/pdf/10.1146/annurev.bb.02.060173.001105,Review; JournalArticle,unknown,brain; brain in title,
10,1973,"Neuronal migration, with special reference to developing human brain: a review.","R. Sidman, R. Sidman, P. Rakić, P. Rakić",Brain Research,1973-11-09,1270,44,167.06,"Cellular, Molecular, and Synaptic Neuroscience",human;non-human,"Positions Neuronal migration, with special reference to developing human brain: a review. within Cellular, Molecular, and Synaptic Neuroscience.","high citation signal (1,270); recognized venue; synthesis or review value; human evidence signal","Cellular mechanisms can be difficult to connect directly to whole-brain dynamics or human behavior.; Single-cell sampling, dissociation, alignment, and batch effects can bias inferred cell populations.; Non-human findings need careful translation to human brain organization and clinical outcomes.",10.1016/0006-8993(73)90617-3,08f389feda47d030d43196a8e6320cacb038e586,https://doi.org/10.1016/0006-8993(73)90617-3,,Review; JournalArticle,unknown,brain; neuron; brain in title; neuroscience term,
